M,S,tau_label,tau,shared,hetero,beta,n_datasets,B,R3_reject,R3_reject_lo,R3_reject_hi,R3_reject_prime,R3_reject_prime_lo,R3_reject_prime_hi,R3_coverage,R3_min_attainable_p
3,93,p8_sma0.03,0.042426406871192854,True,False,0.05,1000,1999,0.699,0.6698531605689392,0.7266237895538098,0.606,0.5753643006840624,0.6358244265169998,0.75,0.0005
3,93,p8_sma0.03,0.042426406871192854,False,False,0.0,1000,1999,0.248,0.2222322443017442,0.2756964419749756,0.17,0.1479915956385524,0.19453406496191405,0.752,0.0005
3,93,p8_sma0.03,0.042426406871192854,False,False,0.05,1000,1999,0.714,0.6852148435109845,0.741147303857198,0.614,0.5834448620601524,0.643682637005141,0.731,0.0005
6,19,0,0.0,True,False,0.0,1000,1999,0.068,0.05399245780853015,0.08531386152298948,0.003,0.0010207838811386186,0.008783014053503173,0.932,0.0005
6,19,0,0.0,True,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.928,0.0005
6,19,0,0.0,False,False,0.0,1000,1999,0.012,0.006877647806403522,0.02085726847549828,0.0,2.168404344971009e-19,0.0038267584855551234,0.988,0.0005
6,19,0,0.0,False,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.993,0.0005
6,19,p8_sma0.03,0.042426406871192854,True,False,0.0,1000,1999,0.101,0.08382401065239914,0.12122974261907385,0.02,0.012983682916415136,0.030690005229717786,0.899,0.0005
6,19,p8_sma0.03,0.042426406871192854,True,False,0.05,1000,1999,0.793,0.7667904475082261,0.8169670720192386,0.498,0.46707750038234924,0.5289378066515931,0.879,0.0005
6,19,p8_sma0.03,0.042426406871192854,False,False,0.0,1000,1999,0.091,0.07470470437164412,0.11042558406953998,0.027,0.018621382774294995,0.03899873075304015,0.909,0.0005
6,19,p8_sma0.03,0.042426406871192854,False,False,0.05,1000,1999,0.825,0.800218354614785,0.8472942523696041,0.555,0.5240461066241248,0.5855329499424643,0.88,0.0005
6,93,0,0.0,True,False,0.0,1000,1999,0.042,0.031220885546165447,0.056284425226603055,0.001,0.00017654637062607809,0.0056425585979579355,0.958,0.0005
6,93,0,0.0,True,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.952,0.0005
6,93,0,0.0,False,False,0.0,1000,1999,0.003,0.0010207838811386186,0.008783014053503173,0.0,2.168404344971009e-19,0.0038267584855551234,0.997,0.0005
6,93,0,0.0,False,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.994,0.0005
6,93,p8_sma0.03,0.042426406871192854,True,False,0.0,1000,1999,0.143,0.12266731749770252,0.16606498806098383,0.04,0.02951097368545276,0.05400964412125796,0.857,0.0005
6,93,p8_sma0.03,0.042426406871192854,True,False,0.05,1000,1999,0.836,0.8117726060331938,0.857655812264513,0.605,0.5743548264576065,0.634841554260427,0.868,0.0005
6,93,p8_sma0.03,0.042426406871192854,False,False,0.0,1000,1999,0.12,0.10129926060130913,0.14160907584771276,0.037,0.026961180875554734,0.05058239748206931,0.88,0.0005
6,93,p8_sma0.03,0.042426406871192854,False,False,0.05,1000,1999,0.83,0.805465935038086,0.8520084043614475,0.6,0.5693094295142662,0.6299252187886226,0.86,0.0005
8,19,0,0.0,True,False,0.0,1000,1999,0.072,0.05756392168091441,0.08971178358272076,0.008,0.004059195818806103,0.015706334530980144,0.928,0.0005
8,19,0,0.0,True,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.941,0.0005
8,19,0,0.0,False,False,0.0,1000,1999,0.004,0.0015565881404084308,0.010239556277262253,0.0,2.168404344971009e-19,0.0038267584855551234,0.996,0.0005
8,19,0,0.0,False,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.992,0.0005
8,19,p8_sma0.03,0.042426406871192854,True,False,0.0,1000,1999,0.099,0.08199544136866538,0.11907361893674984,0.012,0.006877647806403522,0.02085726847549828,0.901,0.0005
8,19,p8_sma0.03,0.042426406871192854,True,False,0.05,1000,1999,0.877,0.8551887673529645,0.8959258567489271,0.568,0.5370956553028252,0.5983839055431392,0.906,0.0005
8,19,p8_sma0.03,0.042426406871192854,False,False,0.0,1000,1999,0.095,0.07834523457904741,0.11475443979425223,0.024,0.016180168466636995,0.03546290561161149,0.905,0.0005
8,19,p8_sma0.03,0.042426406871192854,False,False,0.05,1000,1999,0.901,0.8809263810632503,0.9180045586313347,0.606,0.5753643006840624,0.6358244265169998,0.914,0.0005
8,93,0,0.0,True,False,0.0,1000,1999,0.042,0.031220885546165447,0.056284425226603055,0.003,0.0010207838811386186,0.008783014053503173,0.958,0.0005
8,93,0,0.0,True,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.963,0.0005
8,93,0,0.0,False,False,0.0,1000,1999,0.003,0.0010207838811386186,0.008783014053503173,0.0,2.168404344971009e-19,0.0038267584855551234,0.997,0.0005
8,93,0,0.0,False,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.997,0.0005
8,93,p8_sma0.03,0.042426406871192854,True,False,0.0,1000,1999,0.109,0.09116003338451377,0.12983249175119035,0.027,0.018621382774294995,0.03899873075304015,0.891,0.0005
8,93,p8_sma0.03,0.042426406871192854,True,False,0.05,1000,1999,0.913,0.8939135189433066,0.928925578547625,0.656,0.6260105435553518,0.684795507797155,0.897,0.0005
8,93,p8_sma0.03,0.042426406871192854,False,False,0.0,1000,1999,0.114,0.09576165709721693,0.13519260045363163,0.032,0.022757107858710962,0.04482473808376865,0.886,0.0005
8,93,p8_sma0.03,0.042426406871192854,False,False,0.05,1000,1999,0.911,0.8917426484378812,0.9271117560869926,0.688,0.6586108249018996,0.7159503139075316,0.886,0.0005
12,19,0,0.0,True,False,0.0,1000,1999,0.058,0.04513327823499824,0.0742495762662325,0.002,0.000548643588120728,0.007262807863492177,0.942,0.0005
12,19,0,0.0,True,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.94,0.0005
12,19,0,0.0,False,False,0.0,1000,1999,0.002,0.000548643588120728,0.007262807863492177,0.0,2.168404344971009e-19,0.0038267584855551234,0.998,0.0005
12,19,0,0.0,False,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.993,0.0005
12,19,p8_sma0.03,0.042426406871192854,True,False,0.0,1000,1999,0.065,0.051323770569062045,0.0820055093133709,0.008,0.004059195818806103,0.015706334530980144,0.935,0.0005
12,19,p8_sma0.03,0.042426406871192854,True,False,0.05,1000,1999,0.955,0.9403171620637766,0.9662004877143683,0.69,0.6606534768407168,0.7178923549347722,0.923,0.0005
12,19,p8_sma0.03,0.042426406871192854,False,False,0.0,1000,1999,0.069,0.054883945585911253,0.08641472022863728,0.008,0.004059195818806103,0.015706334530980144,0.931,0.0005
12,19,p8_sma0.03,0.042426406871192854,False,False,0.05,1000,1999,0.974,0.9621761711573101,0.9821960617983837,0.776,0.7491310659769607,0.8007565633390129,0.94,0.0005
12,93,0,0.0,True,False,0.0,1000,1999,0.056,0.043374813385442,0.07202334814973096,0.002,0.000548643588120728,0.007262807863492177,0.944,0.0005
12,93,0,0.0,True,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.946,0.0005
12,93,0,0.0,False,False,0.0,1000,1999,0.003,0.0010207838811386186,0.008783014053503173,0.0,2.168404344971009e-19,0.0038267584855551234,0.997,0.0005
12,93,0,0.0,False,False,0.05,1000,1999,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.998,0.0005
12,93,p8_sma0.03,0.042426406871192854,True,False,0.0,1000,1999,0.074,0.05935499258410698,0.09190540564558597,0.008,0.004059195818806103,0.015706334530980144,0.926,0.0005
12,93,p8_sma0.03,0.042426406871192854,True,False,0.05,1000,1999,0.976,0.9645370943883885,0.9838198315333629,0.813,0.7876522642371055,0.8359521849509368,0.914,0.0005
12,93,p8_sma0.03,0.042426406871192854,False,False,0.0,1000,1999,0.093,0.07652372564174531,0.11259125576549656,0.014,0.00835757513042392,0.02336203411753566,0.907,0.0005
12,93,p8_sma0.03,0.042426406871192854,False,False,0.05,1000,1999,0.982,0.9717267448294926,0.9885842599904322,0.838,0.8138772231121078,0.8595358881516569,0.921,0.0005
