end,dps,filed,concept,eps,ticker,dps_prev,gap
2020-09-26,0.0,2020-10-30,CommonStockDividendsPerShareDeclared,0.74,AAPL,0.82,91.0
2020-12-26,0.205,2021-01-28,CommonStockDividendsPerShareDeclared,1.7,AAPL,0.0,91.0
2021-03-27,0.205,2021-04-29,CommonStockDividendsPerShareDeclared,1.41,AAPL,0.205,91.0
2021-06-26,0.22,2021-07-28,CommonStockDividendsPerShareDeclared,1.31,AAPL,0.205,91.0
2021-09-25,0.21999999999999997,2021-10-29,CommonStockDividendsPerShareDeclared,1.25,AAPL,0.22,91.0
2021-12-25,0.22,2022-01-28,CommonStockDividendsPerShareDeclared,2.11,AAPL,0.21999999999999997,91.0
2022-03-26,0.22,2022-04-29,CommonStockDividendsPerShareDeclared,1.54,AAPL,0.22,91.0
2022-06-25,0.23,2022-07-29,CommonStockDividendsPerShareDeclared,1.2,AAPL,0.22,91.0
2022-09-24,0.22999999999999998,2022-10-28,CommonStockDividendsPerShareDeclared,1.3000000000000007,AAPL,0.23,91.0
2022-12-31,0.23,2023-02-03,CommonStockDividendsPerShareDeclared,1.89,AAPL,0.22999999999999998,98.0
2023-04-01,0.23,2023-05-05,CommonStockDividendsPerShareDeclared,1.53,AAPL,0.23,91.0
2023-07-01,0.24,2023-08-04,CommonStockDividendsPerShareDeclared,1.27,AAPL,0.23,91.0
2023-09-30,0.24,2023-11-03,CommonStockDividendsPerShareDeclared,1.4700000000000006,AAPL,0.24,91.0
2023-12-30,0.24,2024-02-02,CommonStockDividendsPerShareDeclared,2.19,AAPL,0.24,91.0
2024-03-30,0.24,2024-05-03,CommonStockDividendsPerShareDeclared,1.53,AAPL,0.24,91.0
2024-06-29,0.25,2024-08-02,CommonStockDividendsPerShareDeclared,1.4,AAPL,0.24,91.0
2024-09-28,0.25,2024-11-01,CommonStockDividendsPerShareDeclared,0.9900000000000012,AAPL,0.25,91.0
2024-12-28,0.25,2025-01-31,CommonStockDividendsPerShareDeclared,2.41,AAPL,0.25,91.0
2025-03-29,0.25,2025-05-02,CommonStockDividendsPerShareDeclared,1.65,AAPL,0.25,91.0
2025-06-28,0.26,2025-08-01,CommonStockDividendsPerShareDeclared,1.57,AAPL,0.25,91.0
2025-09-27,0.26,2025-10-31,CommonStockDividendsPerShareDeclared,1.8599999999999997,AAPL,0.26,91.0
2025-12-27,0.26,2026-01-30,CommonStockDividendsPerShareDeclared,2.85,AAPL,0.26,91.0
2026-03-28,0.26,2026-05-01,CommonStockDividendsPerShareDeclared,2.02,AAPL,0.26,91.0
2026-06-27,0.27,2026-07-31,CommonStockDividendsPerShareDeclared,2.03,AAPL,0.26,91.0
2008-06-30,0.36,2009-08-07,CommonStockDividendsPerShareDeclared,0.86,ABT,,
2008-09-30,0.36,2009-11-06,CommonStockDividendsPerShareDeclared,0.7,ABT,0.36,92.0
2009-03-31,0.4,2010-05-04,CommonStockDividendsPerShareDeclared,0.93,ABT,0.36,182.0
2009-06-30,0.4,2009-08-07,CommonStockDividendsPerShareDeclared,0.83,ABT,0.4,91.0
2009-09-30,0.4,2009-11-06,CommonStockDividendsPerShareDeclared,0.95,ABT,0.4,92.0
2009-12-31,0.3999999999999999,2012-02-21,CommonStockDividendsPerShareDeclared,0.99,ABT,0.4,92.0
2010-03-31,0.44,2010-05-04,CommonStockDividendsPerShareDeclared,0.65,ABT,0.3999999999999999,90.0
2010-06-30,0.44,2010-08-05,CommonStockDividendsPerShareDeclared,0.83,ABT,0.44,91.0
2010-09-30,0.44,2010-11-05,CommonStockDividendsPerShareDeclared,0.58,ABT,0.44,92.0
2010-12-31,0.43999999999999995,2012-02-21,CommonStockDividendsPerShareDeclared,0.93,ABT,0.44,92.0
2011-03-31,0.48,2011-05-06,CommonStockDividendsPerShareDeclared,0.56,ABT,0.43999999999999995,90.0
2011-06-30,0.48,2011-08-04,CommonStockDividendsPerShareDeclared,1.24,ABT,0.48,91.0
2011-09-30,0.48,2011-11-04,CommonStockDividendsPerShareDeclared,0.19,ABT,0.48,92.0
2011-12-31,0.48,2012-02-21,CommonStockDividendsPerShareDeclared,1.03,ABT,0.48,92.0
2012-03-31,0.51,2012-05-08,CommonStockDividendsPerShareDeclared,0.79,ABT,0.48,91.0
2012-06-30,0.51,2012-08-07,CommonStockDividendsPerShareDeclared,1.09,ABT,0.51,91.0
2012-09-30,0.51,2012-11-07,CommonStockDividendsPerShareDeclared,1.22,ABT,0.51,92.0
2013-03-31,0.14,2013-05-08,CommonStockDividendsPerShareDeclared,0.35,ABT,0.51,182.0
2013-06-30,0.14,2013-08-06,CommonStockDividendsPerShareDeclared,0.3,ABT,0.14,91.0
2013-09-30,0.14,2013-11-07,CommonStockDividendsPerShareDeclared,0.62,ABT,0.14,92.0
2014-03-31,0.22,2014-05-07,CommonStockDividendsPerShareDeclared,0.24,ABT,0.14,182.0
2014-06-30,0.22,2014-08-05,CommonStockDividendsPerShareDeclared,0.3,ABT,0.22,91.0
2014-09-30,0.22,2014-11-06,CommonStockDividendsPerShareDeclared,0.36,ABT,0.22,92.0
2015-03-31,0.24,2015-05-06,CommonStockDividendsPerShareDeclared,1.52,ABT,0.22,182.0
2015-06-30,0.24,2015-08-04,CommonStockDividendsPerShareDeclared,0.52,ABT,0.24,91.0
2015-09-30,0.24,2015-11-05,CommonStockDividendsPerShareDeclared,0.39,ABT,0.24,92.0
2016-03-31,0.26,2016-05-04,CommonStockDividendsPerShareDeclared,0.21,ABT,0.24,183.0
2016-06-30,0.26,2016-08-03,CommonStockDividendsPerShareDeclared,0.41,ABT,0.26,91.0
2016-09-30,0.26,2016-11-03,CommonStockDividendsPerShareDeclared,-0.22,ABT,0.26,92.0
2017-03-31,0.265,2017-05-03,CommonStockDividendsPerShareDeclared,0.24,ABT,0.26,182.0
2017-06-30,0.265,2017-08-02,CommonStockDividendsPerShareDeclared,0.16,ABT,0.265,91.0
2017-09-30,0.265,2017-11-02,CommonStockDividendsPerShareDeclared,0.34,ABT,0.265,92.0
2018-03-31,0.28,2018-05-02,CommonStockDividendsPerShareDeclared,0.24,ABT,0.265,182.0
2018-06-30,0.28,2018-08-01,CommonStockDividendsPerShareDeclared,0.42,ABT,0.28,91.0
2018-09-30,0.28,2018-10-31,CommonStockDividendsPerShareDeclared,0.32,ABT,0.28,92.0
2019-03-31,0.32,2020-04-29,CommonStockDividendsPerShareDeclared,0.38,ABT,0.28,182.0
2020-03-31,0.36,2020-04-29,CommonStockDividendsPerShareDeclared,0.32,ABT,0.32,366.0
2023-09-30,0.51,2024-10-31,CommonStockDividendsPerShareDeclared,0.82,ABT,0.36,1278.0
2024-03-31,0.55,2025-04-30,CommonStockDividendsPerShareDeclared,0.7,ABT,0.51,183.0
2024-06-30,0.55,2025-07-30,CommonStockDividendsPerShareDeclared,0.74,ABT,0.55,91.0
2024-09-30,0.55,2024-10-31,CommonStockDividendsPerShareDeclared,0.94,ABT,0.55,92.0
2024-12-31,0.5900000000000001,2025-02-21,CommonStockDividendsPerShareDeclared,5.29,ABT,0.55,92.0
2025-03-31,0.59,2025-04-30,CommonStockDividendsPerShareDeclared,0.76,ABT,0.5900000000000001,90.0
2025-06-30,0.59,2025-07-30,CommonStockDividendsPerShareDeclared,1.02,ABT,0.59,91.0
2025-09-30,0.59,2025-10-29,CommonStockDividendsPerShareDeclared,0.94,ABT,0.59,92.0
2025-12-31,0.6299999999999999,2026-02-20,CommonStockDividendsPerShareDeclared,1.0100000000000002,ABT,0.59,92.0
2026-03-31,0.63,2026-04-29,CommonStockDividendsPerShareDeclared,0.62,ABT,0.6299999999999999,90.0
2024-02-03,0.86,2025-02-19,CommonStockDividendsPerShareDeclared,0.93,ADI,,
2024-05-04,0.92,2025-05-22,CommonStockDividendsPerShareDeclared,0.61,ADI,0.86,91.0
2024-08-03,0.92,2025-08-20,CommonStockDividendsPerShareDeclared,0.79,ADI,0.92,91.0
2024-11-02,0.9199999999999999,2024-11-26,CommonStockDividendsPerShareDeclared,0.9699999999999998,ADI,0.92,91.0
2025-02-01,0.92,2025-02-19,CommonStockDividendsPerShareDeclared,0.79,ADI,0.9199999999999999,91.0
2025-05-03,0.99,2025-05-22,CommonStockDividendsPerShareDeclared,1.15,ADI,0.92,91.0
2025-08-02,0.99,2025-08-20,CommonStockDividendsPerShareDeclared,1.05,ADI,0.99,91.0
2025-11-01,0.9899999999999998,2025-11-25,CommonStockDividendsPerShareDeclared,1.5999999999999996,ADI,0.99,91.0
2026-01-31,0.99,2026-02-18,CommonStockDividendsPerShareDeclared,1.7,ADI,0.9899999999999998,91.0
2026-05-02,1.1,2026-05-20,CommonStockDividendsPerShareDeclared,2.41,ADI,0.99,91.0
2026-08-01,1.1,2026-08-19,CommonStockDividendsPerShareDeclared,2.76,ADI,1.1,91.0
2009-09-30,0.14,2009-11-06,CommonStockDividendsPerShareDeclared,0.77,ADM,,
2012-03-31,0.175,2013-05-07,CommonStockDividendsPerShareDeclared,0.6,ADM,0.14,913.0
2012-06-30,0.175,2013-08-07,CommonStockDividendsPerShareDeclared,0.43,ADM,0.175,91.0
2012-09-30,0.175,2013-11-01,CommonStockDividendsPerShareDeclared,0.28,ADM,0.175,92.0
2013-03-31,0.19,2013-05-07,CommonStockDividendsPerShareDeclared,0.41,ADM,0.175,182.0
2013-06-30,0.19,2013-08-07,CommonStockDividendsPerShareDeclared,0.34,ADM,0.19,91.0
2013-09-30,0.19,2013-11-01,CommonStockDividendsPerShareDeclared,0.72,ADM,0.19,92.0
2014-03-31,0.24,2014-05-02,CommonStockDividendsPerShareDeclared,0.4,ADM,0.19,182.0
2014-06-30,0.24,2014-08-05,CommonStockDividendsPerShareDeclared,0.81,ADM,0.24,91.0
2014-09-30,0.24,2014-11-05,CommonStockDividendsPerShareDeclared,1.15,ADM,0.24,92.0
2015-03-31,0.28,2015-05-06,CommonStockDividendsPerShareDeclared,0.78,ADM,0.24,182.0
2015-06-30,0.28,2015-08-04,CommonStockDividendsPerShareDeclared,0.62,ADM,0.28,91.0
2015-09-30,0.28,2015-11-03,CommonStockDividendsPerShareDeclared,0.41,ADM,0.28,92.0
2016-03-31,0.3,2016-05-03,CommonStockDividendsPerShareDeclared,0.39,ADM,0.28,183.0
2016-06-30,0.3,2016-08-02,CommonStockDividendsPerShareDeclared,0.48,ADM,0.3,91.0
2016-09-30,0.3,2016-11-01,CommonStockDividendsPerShareDeclared,0.58,ADM,0.3,92.0
2017-03-31,0.32,2017-05-02,CommonStockDividendsPerShareDeclared,0.59,ADM,0.3,182.0
2017-06-30,0.32,2017-08-01,CommonStockDividendsPerShareDeclared,0.48,ADM,0.32,91.0
2017-09-30,0.32,2017-10-31,CommonStockDividendsPerShareDeclared,0.34,ADM,0.32,92.0
2018-03-31,0.335,2018-05-01,CommonStockDividendsPerShareDeclared,0.7,ADM,0.32,182.0
2018-06-30,0.335,2018-07-31,CommonStockDividendsPerShareDeclared,1.0,ADM,0.335,91.0
2018-09-30,0.335,2018-11-06,CommonStockDividendsPerShareDeclared,0.95,ADM,0.335,92.0
2019-03-31,0.35,2019-04-26,CommonStockDividendsPerShareDeclared,0.41,ADM,0.335,182.0
2019-06-30,0.35,2019-08-01,CommonStockDividendsPerShareDeclared,0.42,ADM,0.35,91.0
2019-09-30,0.35,2019-10-31,CommonStockDividendsPerShareDeclared,0.72,ADM,0.35,92.0
2020-03-31,0.36,2020-05-01,CommonStockDividendsPerShareDeclared,0.69,ADM,0.35,183.0
2020-06-30,0.36,2020-07-30,CommonStockDividendsPerShareDeclared,0.84,ADM,0.36,91.0
2020-09-30,0.36,2020-10-30,CommonStockDividendsPerShareDeclared,0.4,ADM,0.36,92.0
2021-03-31,0.37,2021-04-28,CommonStockDividendsPerShareDeclared,1.22,ADM,0.36,182.0
2021-06-30,0.37,2021-07-27,CommonStockDividendsPerShareDeclared,1.26,ADM,0.37,91.0
2021-09-30,0.37,2021-10-26,CommonStockDividendsPerShareDeclared,0.93,ADM,0.37,92.0
2022-03-31,0.4,2022-04-26,CommonStockDividendsPerShareDeclared,1.86,ADM,0.37,182.0
2022-06-30,0.4,2022-07-26,CommonStockDividendsPerShareDeclared,2.18,ADM,0.4,91.0
2022-09-30,0.4,2022-10-25,CommonStockDividendsPerShareDeclared,1.84,ADM,0.4,92.0
2023-03-31,0.45,2023-04-25,CommonStockDividendsPerShareDeclared,2.13,ADM,0.4,182.0
2023-06-30,0.45,2023-07-25,CommonStockDividendsPerShareDeclared,1.7,ADM,0.45,91.0
2023-09-30,0.45,2023-10-24,CommonStockDividendsPerShareDeclared,1.52,ADM,0.45,92.0
2024-03-31,0.5,2024-04-30,CommonStockDividendsPerShareDeclared,1.42,ADM,0.45,183.0
2024-06-30,0.5,2024-07-30,CommonStockDividendsPerShareDeclared,0.99,ADM,0.5,91.0
2024-09-30,0.5,2024-11-18,CommonStockDividendsPerShareDeclared,0.04,ADM,0.5,92.0
2025-03-31,0.51,2025-05-06,CommonStockDividendsPerShareDeclared,0.61,ADM,0.5,182.0
2025-06-30,0.51,2025-08-05,CommonStockDividendsPerShareDeclared,0.45,ADM,0.51,91.0
2025-09-30,0.51,2025-11-04,CommonStockDividendsPerShareDeclared,0.22,ADM,0.51,92.0
2026-03-31,0.52,2026-05-05,CommonStockDividendsPerShareDeclared,0.62,ADM,0.51,182.0
2026-06-30,0.52,2026-08-04,CommonStockDividendsPerShareDeclared,1.87,ADM,0.52,91.0
2008-09-30,0.29,2009-11-06,CommonStockDividendsPerShareDeclared,0.55,ADP,,
2008-12-31,0.33,2010-02-09,CommonStockDividendsPerShareDeclared,0.6,ADP,0.29,92.0
2009-09-30,0.33,2009-11-06,CommonStockDividendsPerShareDeclared,0.57,ADP,0.33,273.0
2009-12-31,0.34,2010-02-09,CommonStockDividendsPerShareDeclared,0.63,ADP,0.33,92.0
2010-03-31,0.34,2011-05-06,CommonStockDividendsPerShareDeclared,0.8,ADP,0.34,90.0
2010-06-30,0.3400000000000001,2010-08-25,CommonStockDividendsPerShareDeclared,0.4199999999999999,ADP,0.34,91.0
2010-09-30,0.34,2010-11-04,CommonStockDividendsPerShareDeclared,0.57,ADP,0.3400000000000001,92.0
2010-12-31,0.36,2011-02-09,CommonStockDividendsPerShareDeclared,0.63,ADP,0.34,92.0
2011-03-31,0.36,2011-05-06,CommonStockDividendsPerShareDeclared,0.85,ADP,0.36,90.0
2011-06-30,0.3599999999999999,2011-08-24,CommonStockDividendsPerShareDeclared,0.4900000000000002,ADP,0.36,91.0
2011-09-30,0.36,2012-11-02,CommonStockDividendsPerShareDeclared,0.62,ADP,0.3599999999999999,92.0
2011-12-31,0.395,2012-02-07,CommonStockDividendsPerShareDeclared,0.77,ADP,0.36,92.0
2012-03-31,0.395,2012-05-04,CommonStockDividendsPerShareDeclared,0.93,ADP,0.395,91.0
2012-06-30,0.40000000000000013,2012-08-20,CommonStockDividendsPerShareDeclared,0.5299999999999998,ADP,0.395,91.0
2012-09-30,0.395,2012-11-02,CommonStockDividendsPerShareDeclared,0.63,ADP,0.40000000000000013,92.0
2012-12-31,0.435,2013-02-06,CommonStockDividendsPerShareDeclared,0.81,ADP,0.395,92.0
2013-03-31,0.435,2013-05-03,CommonStockDividendsPerShareDeclared,1.0,ADP,0.435,90.0
2013-06-30,0.43499999999999983,2013-08-19,CommonStockDividendsPerShareDeclared,0.4700000000000002,ADP,0.435,91.0
2013-09-30,0.435,2013-11-01,CommonStockDividendsPerShareDeclared,0.68,ADP,0.43499999999999983,92.0
2013-12-31,0.48,2014-02-05,CommonStockDividendsPerShareDeclared,0.79,ADP,0.435,92.0
2014-03-31,0.48,2014-05-01,CommonStockDividendsPerShareDeclared,1.09,ADP,0.48,90.0
2014-06-30,0.4849999999999999,2014-08-08,CommonStockDividendsPerShareDeclared,0.6099999999999994,ADP,0.48,91.0
2014-09-30,0.48,2014-10-30,CommonStockDividendsPerShareDeclared,0.62,ADP,0.4849999999999999,92.0
2014-12-31,0.49,2015-02-05,CommonStockDividendsPerShareDeclared,0.7,ADP,0.48,92.0
2015-03-31,0.49,2015-05-06,CommonStockDividendsPerShareDeclared,1.04,ADP,0.49,90.0
2015-06-30,0.49,2015-08-07,CommonStockDividendsPerShareDeclared,0.71,ADP,0.49,91.0
2015-09-30,0.49,2015-11-05,CommonStockDividendsPerShareDeclared,0.73,ADP,0.49,92.0
2015-12-31,0.53,2016-02-03,CommonStockDividendsPerShareDeclared,0.75,ADP,0.49,92.0
2016-03-31,0.53,2016-05-05,CommonStockDividendsPerShareDeclared,1.17,ADP,0.53,91.0
2016-06-30,0.53,2016-08-05,CommonStockDividendsPerShareDeclared,0.6200000000000001,ADP,0.53,91.0
2016-09-30,0.53,2016-11-03,CommonStockDividendsPerShareDeclared,0.82,ADP,0.53,92.0
2016-12-31,0.57,2017-02-01,CommonStockDividendsPerShareDeclared,1.14,ADP,0.53,92.0
2017-03-31,0.57,2017-05-04,CommonStockDividendsPerShareDeclared,1.32,ADP,0.57,90.0
2017-06-30,0.5700000000000003,2017-08-04,CommonStockDividendsPerShareDeclared,0.5899999999999999,ADP,0.57,91.0
2017-09-30,0.57,2017-11-02,CommonStockDividendsPerShareDeclared,0.91,ADP,0.5700000000000003,92.0
2017-12-31,0.63,2018-02-01,CommonStockDividendsPerShareDeclared,1.06,ADP,0.57,92.0
2018-03-31,0.63,2018-05-04,CommonStockDividendsPerShareDeclared,1.46,ADP,0.63,90.0
2018-06-30,0.69,2018-08-03,CommonStockDividendsPerShareDeclared,0.25,ADP,0.63,91.0
2018-09-30,0.69,2018-11-01,CommonStockDividendsPerShareDeclared,1.16,ADP,0.69,92.0
2018-12-31,0.79,2019-01-31,CommonStockDividendsPerShareDeclared,1.28,ADP,0.69,92.0
2019-03-31,0.79,2019-05-03,CommonStockDividendsPerShareDeclared,1.74,ADP,0.79,90.0
2019-06-30,0.79,2019-08-09,CommonStockDividendsPerShareDeclared,1.09,ADP,0.79,91.0
2019-09-30,0.79,2019-11-04,CommonStockDividendsPerShareDeclared,1.35,ADP,0.79,92.0
2019-12-31,0.91,2020-01-31,CommonStockDividendsPerShareDeclared,1.51,ADP,0.79,92.0
2020-03-31,0.91,2020-05-01,CommonStockDividendsPerShareDeclared,1.91,ADP,0.91,91.0
2020-06-30,0.9099999999999997,2020-08-05,CommonStockDividendsPerShareDeclared,0.96,ADP,0.91,91.0
2020-09-30,0.91,2020-10-30,CommonStockDividendsPerShareDeclared,1.4,ADP,0.9099999999999997,92.0
2020-12-31,0.93,2021-02-01,CommonStockDividendsPerShareDeclared,1.51,ADP,0.91,92.0
2021-03-31,0.93,2021-04-30,CommonStockDividendsPerShareDeclared,1.9,ADP,0.93,90.0
2021-06-30,0.9300000000000002,2021-08-04,CommonStockDividendsPerShareDeclared,1.2899999999999991,ADP,0.93,91.0
