ticker,end,filing_lag_cal,ann_lag_cal
AAPL,2024-03-30,34,33.0
AAPL,2024-06-29,34,33.0
AAPL,2024-09-28,34,33.0
AAPL,2024-12-28,34,33.0
AAPL,2025-03-29,34,33.0
AAPL,2025-06-28,34,33.0
AAPL,2025-09-27,34,33.0
AAPL,2025-12-27,34,33.0
AAPL,2026-03-28,34,33.0
AAPL,2026-06-27,34,33.0
ABT,2008-03-31,1054,16.0
ABT,2008-06-30,403,16.0
ABT,2008-09-30,402,15.0
ABT,2008-12-31,779,12.0
ABT,2009-03-31,399,15.0
ABT,2009-06-30,38,15.0
ABT,2009-09-30,37,14.0
ABT,2009-12-31,414,27.0
ABT,2010-03-31,34,21.0
ABT,2010-06-30,36,21.0
ABT,2010-09-30,36,20.0
ABT,2010-12-31,49,26.0
ABT,2011-03-31,36,20.0
ABT,2011-06-30,35,20.0
ABT,2011-09-30,35,19.0
ABT,2011-12-31,52,25.0
ABT,2012-03-31,38,18.0
ABT,2012-06-30,38,18.0
ABT,2012-09-30,38,17.0
ABT,2012-12-31,46,23.0
ABT,2013-03-31,38,16.0
ABT,2013-06-30,37,17.0
ABT,2013-09-30,38,16.0
ABT,2013-12-31,52,22.0
ABT,2014-03-31,37,16.0
ABT,2014-06-30,36,16.0
ABT,2014-09-30,37,22.0
ABT,2014-12-31,58,27.0
ABT,2015-03-31,36,22.0
ABT,2015-06-30,35,22.0
ABT,2015-09-30,36,21.0
ABT,2015-12-31,50,28.0
ABT,2016-03-31,34,20.0
ABT,2016-06-30,34,20.0
ABT,2016-09-30,34,19.0
ABT,2016-12-31,48,24.0
ABT,2017-03-31,33,18.0
ABT,2017-06-30,33,20.0
ABT,2017-09-30,33,18.0
ABT,2017-12-31,47,24.0
ABT,2018-03-31,32,18.0
ABT,2018-06-30,32,18.0
ABT,2018-09-30,31,17.0
ABT,2018-12-31,53,23.0
ABT,2019-03-31,31,17.0
ABT,2019-06-30,31,17.0
ABT,2019-09-30,31,16.0
ABT,2019-12-31,52,22.0
ABT,2020-03-31,29,16.0
ABT,2020-06-30,29,16.0
ABT,2020-09-30,35,21.0
ABT,2020-12-31,50,27.0
ABT,2021-03-31,35,20.0
ABT,2021-06-30,35,22.0
ABT,2021-09-30,34,20.0
ABT,2021-12-31,49,26.0
ABT,2022-03-31,33,20.0
ABT,2022-06-30,33,20.0
ABT,2022-09-30,32,19.0
ABT,2022-12-31,48,25.0
ABT,2023-03-31,34,19.0
ABT,2023-06-30,34,20.0
ABT,2023-09-30,32,18.0
ABT,2023-12-31,47,24.0
ABT,2024-03-31,32,17.0
ABT,2024-06-30,31,18.0
ABT,2024-09-30,31,16.0
ABT,2024-12-31,52,22.0
ABT,2025-03-31,30,16.0
ABT,2025-06-30,30,17.0
ABT,2025-09-30,29,15.0
ABT,2025-12-31,51,22.0
ABT,2026-03-31,29,16.0
ACGL,2009-06-30,401,23.0
ACGL,2009-09-30,404,27.0
ACGL,2010-03-31,404,27.0
ACGL,2010-06-30,36,26.0
ACGL,2010-09-30,39,25.0
ACGL,2010-12-31,425,46.0
ACGL,2011-03-31,39,26.0
ACGL,2011-06-30,36,26.0
ACGL,2011-09-30,39,26.0
ACGL,2011-12-31,60,11.0
ACGL,2012-03-31,40,25.0
ACGL,2012-06-30,39,26.0
ACGL,2012-09-30,40,33.0
ACGL,2012-12-31,60,43.0
ACGL,2013-03-31,40,29.0
ACGL,2013-06-30,40,25.0
ACGL,2013-09-30,39,28.0
ACGL,2013-12-31,62,42.0
ACGL,2014-03-31,42,31.0
ACGL,2014-06-30,39,31.0
ACGL,2014-09-30,38,29.0
ACGL,2014-12-31,58,41.0
ACGL,2015-03-31,38,28.0
ACGL,2015-06-30,38,29.0
ACGL,2015-09-30,40,28.0
ACGL,2015-12-31,57,41.0
ACGL,2016-03-31,36,27.0
ACGL,2016-06-30,36,27.0
ACGL,2016-09-30,35,26.0
ACGL,2016-12-31,60,44.0
ACGL,2017-03-31,35,25.0
ACGL,2017-06-30,35,26.0
ACGL,2017-09-30,34,12.0
ACGL,2017-12-31,59,9.0
ACGL,2018-03-31,39,31.0
ACGL,2018-06-30,39,31.0
ACGL,2018-09-30,40,30.0
ACGL,2018-12-31,59,10.0
ACGL,2019-03-31,37,30.0
ACGL,2019-06-30,38,29.0
ACGL,2019-09-30,39,7.0
ACGL,2019-12-31,59,42.0
ACGL,2020-03-31,38,15.0
ACGL,2020-06-30,37,14.0
ACGL,2020-09-30,36,13.0
ACGL,2020-12-31,57,21.0
ACGL,2021-03-31,36,16.0
ACGL,2021-06-30,36,28.0
ACGL,2021-09-30,35,12.0
ACGL,2021-12-31,56,40.0
ACGL,2022-03-31,34,27.0
ACGL,2022-06-30,34,27.0
ACGL,2022-09-30,34,20.0
ACGL,2022-12-31,55,44.0
ACGL,2023-03-31,34,26.0
ACGL,2023-06-30,33,26.0
ACGL,2023-09-30,40,30.0
ACGL,2023-12-31,54,45.0
ACGL,2024-03-31,39,29.0
ACGL,2024-06-30,37,30.0
ACGL,2024-09-30,38,30.0
ACGL,2024-12-31,58,41.0
ACGL,2025-03-31,37,29.0
ACGL,2025-06-30,36,29.0
ACGL,2025-09-30,37,27.0
ACGL,2025-12-31,57,40.0
ACGL,2026-03-31,35,28.0
ACGL,2026-06-30,35,28.0
ADBE,2008-05-30,392,17.0
ADBE,2008-08-29,398,18.0
ADBE,2009-02-27,406,5.0
ADBE,2009-05-29,28,18.0
ADBE,2009-08-28,34,18.0
ADBE,2009-11-27,426,18.0
ADBE,2010-03-05,35,18.0
ADBE,2010-06-04,28,18.0
ADBE,2010-09-03,35,18.0
ADBE,2010-12-03,55,17.0
ADBE,2011-03-04,35,18.0
ADBE,2011-06-03,26,18.0
ADBE,2011-09-02,35,18.0
ADBE,2011-12-02,55,13.0
ADBE,2012-03-02,28,17.0
ADBE,2012-06-01,26,18.0
ADBE,2012-08-31,27,19.0
ADBE,2012-11-30,53,13.0
ADBE,2013-03-01,27,18.0
ADBE,2013-05-31,28,18.0
ADBE,2013-08-30,34,18.0
ADBE,2013-11-29,53,13.0
ADBE,2014-02-28,28,18.0
ADBE,2014-05-30,26,18.0
ADBE,2014-08-29,27,18.0
ADBE,2014-11-28,53,13.0
ADBE,2015-02-27,26,18.0
ADBE,2015-05-29,26,18.0
ADBE,2015-08-28,26,20.0
ADBE,2015-11-27,53,13.0
ADBE,2016-03-04,26,13.0
ADBE,2016-06-03,26,18.0
ADBE,2016-09-02,25,18.0
ADBE,2016-12-02,49,13.0
ADBE,2017-03-03,26,13.0
ADBE,2017-06-02,26,18.0
ADBE,2017-09-01,26,18.0
ADBE,2017-12-01,52,13.0
ADBE,2018-03-02,26,13.0
ADBE,2018-06-01,26,13.0
ADBE,2018-08-31,26,13.0
ADBE,2018-11-30,56,13.0
ADBE,2019-03-01,26,13.0
ADBE,2019-05-31,26,18.0
ADBE,2019-08-30,27,18.0
ADBE,2019-11-29,53,13.0
ADBE,2020-02-28,26,13.0
ADBE,2020-05-29,26,13.0
ADBE,2020-08-28,26,18.0
ADBE,2020-11-27,49,13.0
ADBE,2021-03-05,26,18.0
ADBE,2021-06-04,26,13.0
ADBE,2021-09-03,26,18.0
ADBE,2021-12-03,49,13.0
ADBE,2022-03-04,26,18.0
ADBE,2022-06-03,26,13.0
ADBE,2022-09-02,26,13.0
ADBE,2022-12-02,46,13.0
ADBE,2023-03-03,26,12.0
ADBE,2023-06-02,26,13.0
ADBE,2023-09-01,26,13.0
ADBE,2023-12-01,47,12.0
ADBE,2024-03-01,26,13.0
ADBE,2024-05-31,26,13.0
ADBE,2024-08-30,26,13.0
ADBE,2024-11-29,45,12.0
ADBE,2025-02-28,26,12.0
ADBE,2025-05-30,26,13.0
ADBE,2025-08-29,26,13.0
ADBE,2025-11-28,48,12.0
ADBE,2026-02-27,26,13.0
ADBE,2026-05-29,17,13.0
ADI,2008-08-02,381,17.0
ADI,2009-01-31,382,18.0
ADI,2009-05-02,381,17.0
ADI,2009-08-01,17,17.0
ADI,2009-10-31,387,23.0
ADI,2010-01-30,18,18.0
ADI,2010-05-01,17,17.0
ADI,2010-07-31,17,17.0
ADI,2010-10-30,23,23.0
ADI,2011-01-29,17,17.0
ADI,2011-02-04,662,11.0
ADI,2011-04-30,17,17.0
ADI,2011-07-30,17,17.0
ADI,2011-10-29,395,23.0
ADI,2012-02-04,18,18.0
ADI,2012-05-05,17,17.0
ADI,2012-08-04,17,17.0
ADI,2012-11-03,24,24.0
ADI,2013-02-02,17,17.0
ADI,2013-05-04,17,17.0
ADI,2013-08-03,17,17.0
ADI,2013-11-02,24,24.0
ADI,2014-02-01,17,17.0
ADI,2014-05-03,17,17.0
ADI,2014-08-02,24,24.0
ADI,2014-11-01,39,24.0
ADI,2015-01-31,17,17.0
ADI,2015-05-02,17,17.0
ADI,2015-08-01,17,17.0
ADI,2015-10-31,24,24.0
ADI,2016-01-30,18,18.0
ADI,2016-04-30,18,18.0
ADI,2016-07-30,18,18.0
ADI,2016-10-29,24,24.0
ADI,2017-01-28,18,18.0
ADI,2017-04-29,32,32.0
ADI,2017-07-29,32,32.0
ADI,2017-10-28,25,24.0
ADI,2018-02-03,25,25.0
ADI,2018-05-05,25,25.0
ADI,2018-08-04,18,18.0
ADI,2018-11-03,24,17.0
ADI,2019-02-02,18,18.0
ADI,2019-05-04,18,18.0
ADI,2019-08-03,18,18.0
ADI,2019-11-02,24,24.0
ADI,2020-02-01,18,18.0
ADI,2020-05-02,18,18.0
ADI,2020-08-01,18,18.0
ADI,2020-10-31,752,24.0
ADI,2021-01-30,18,18.0
ADI,2021-05-01,18,18.0
ADI,2021-07-31,18,18.0
ADI,2021-10-30,388,24.0
ADI,2022-01-29,18,18.0
ADI,2022-04-30,18,18.0
ADI,2022-07-30,18,18.0
ADI,2022-10-29,24,24.0
ADI,2023-01-28,18,18.0
ADI,2023-04-29,25,25.0
ADI,2023-07-29,25,25.0
ADI,2023-10-28,24,24.0
ADI,2024-02-03,18,18.0
ADI,2024-05-04,18,18.0
ADI,2024-08-03,18,18.0
ADI,2024-11-02,24,24.0
ADI,2025-02-01,18,18.0
ADI,2025-05-03,19,19.0
ADI,2025-08-02,18,18.0
ADI,2025-11-01,24,24.0
ADI,2026-01-31,18,18.0
ADI,2026-05-02,18,18.0
ADI,2026-08-01,18,18.0
ADM,2008-09-30,402,35.0
ADM,2008-12-31,404,34.0
ADM,2009-03-31,405,35.0
ADM,2009-06-30,426,35.0
ADM,2009-09-30,37,34.0
ADM,2009-12-31,39,33.0
ADM,2010-03-31,40,34.0
ADM,2010-06-30,61,34.0
ADM,2010-09-30,39,33.0
ADM,2010-12-31,40,32.0
ADM,2011-03-31,40,33.0
ADM,2011-06-30,56,33.0
ADM,2011-09-30,332,32.0
ADM,2011-12-31,37,31.0
ADM,2012-03-31,39,31.0
ADM,2012-06-30,58,31.0
ADM,2012-09-30,151,30.0
ADM,2012-12-31,59,36.0
ADM,2013-03-31,332,32.0
ADM,2013-06-30,241,37.0
ADM,2013-09-30,149,29.0
ADM,2013-12-31,57,35.0
ADM,2014-03-31,326,29.0
ADM,2014-06-30,36,36.0
ADM,2014-09-30,36,35.0
ADM,2014-12-31,51,34.0
ADM,2015-03-31,36,35.0
ADM,2015-06-30,35,35.0
ADM,2015-09-30,34,34.0
ADM,2015-12-31,50,33.0
ADM,2016-03-31,33,33.0
ADM,2016-06-30,33,33.0
ADM,2016-09-30,32,32.0
ADM,2016-12-31,48,38.0
ADM,2017-03-31,32,32.0
ADM,2017-06-30,32,32.0
ADM,2017-09-30,31,31.0
ADM,2017-12-31,47,37.0
ADM,2018-03-31,31,31.0
ADM,2018-06-30,31,31.0
ADM,2018-09-30,37,37.0
ADM,2018-12-31,50,36.0
ADM,2019-03-31,26,26.0
ADM,2019-06-30,32,32.0
ADM,2019-09-30,31,31.0
ADM,2019-12-31,49,29.0
ADM,2020-03-31,31,30.0
ADM,2020-06-30,30,30.0
ADM,2020-09-30,30,29.0
ADM,2020-12-31,49,26.0
ADM,2021-03-31,28,27.0
ADM,2021-06-30,27,27.0
ADM,2021-09-30,26,26.0
ADM,2021-12-31,48,25.0
ADM,2022-03-31,26,26.0
ADM,2022-06-30,26,26.0
ADM,2022-09-30,25,25.0
ADM,2022-12-31,437,26.0
ADM,2023-03-31,25,25.0
ADM,2023-06-30,25,25.0
ADM,2023-09-30,24,24.0
ADM,2023-12-31,72,22.0
ADM,2024-03-31,30,30.0
ADM,2024-06-30,30,30.0
ADM,2024-09-30,49,36.0
ADM,2024-12-31,51,35.0
ADM,2025-03-31,36,36.0
ADM,2025-06-30,36,36.0
ADM,2025-09-30,35,35.0
ADM,2025-12-31,48,34.0
ADM,2026-03-31,35,35.0
ADM,2026-06-30,35,35.0
ADP,2008-09-30,402,34.0
ADP,2008-12-31,405,34.0
ADP,2009-09-30,37,35.0
ADP,2009-12-31,40,33.0
ADP,2010-03-31,401,27.0
ADP,2010-06-30,56,29.0
ADP,2010-09-30,35,27.0
ADP,2010-12-31,40,26.0
ADP,2011-03-31,36,32.0
ADP,2011-06-30,55,28.0
ADP,2011-09-30,35,26.0
ADP,2011-12-31,38,25.0
ADP,2012-03-31,34,31.0
ADP,2012-06-30,51,32.0
ADP,2012-09-30,33,32.0
ADP,2012-12-31,37,36.0
ADP,2013-03-31,33,33.0
ADP,2013-06-30,50,32.0
ADP,2013-09-30,32,30.0
ADP,2013-12-31,36,36.0
ADP,2014-03-31,31,30.0
ADP,2014-06-30,39,31.0
ADP,2014-09-30,30,29.0
ADP,2014-12-31,36,35.0
ADP,2015-03-31,36,30.0
ADP,2015-06-30,38,30.0
ADP,2015-09-30,36,28.0
ADP,2015-12-31,34,34.0
ADP,2016-03-31,35,28.0
ADP,2016-06-30,36,28.0
ADP,2016-09-30,34,33.0
ADP,2016-12-31,32,32.0
ADP,2017-03-31,34,33.0
ADP,2017-06-30,35,27.0
ADP,2017-09-30,33,33.0
ADP,2017-12-31,32,31.0
ADP,2018-03-31,34,32.0
ADP,2018-06-30,34,32.0
ADP,2018-09-30,32,31.0
ADP,2018-12-31,31,30.0
ADP,2019-03-31,33,31.0
ADP,2019-06-30,40,31.0
ADP,2019-09-30,35,30.0
ADP,2019-12-31,31,29.0
ADP,2020-03-31,31,29.0
ADP,2020-06-30,36,29.0
ADP,2020-09-30,30,28.0
ADP,2020-12-31,32,27.0
ADP,2021-03-31,30,28.0
ADP,2021-06-30,35,28.0
ADP,2021-09-30,29,27.0
ADP,2021-12-31,31,26.0
ADP,2022-03-31,29,27.0
ADP,2022-06-30,34,27.0
ADP,2022-09-30,33,26.0
ADP,2022-12-31,33,25.0
ADP,2023-03-31,31,26.0
ADP,2023-06-30,34,26.0
ADP,2023-09-30,33,25.0
ADP,2023-12-31,32,31.0
ADP,2024-03-31,32,31.0
ADP,2024-06-30,38,31.0
ADP,2024-09-30,32,30.0
ADP,2024-12-31,30,29.0
ADP,2025-03-31,31,30.0
ADP,2025-06-30,37,30.0
ADP,2025-09-30,31,29.0
ADP,2025-12-31,29,28.0
ADP,2026-03-31,30,29.0
ADP,2026-06-30,36,29.0
ADSK,2008-04-30,399,15.0
ADSK,2008-07-31,393,14.0
ADSK,2008-10-31,403,10.0
ADSK,2009-01-31,412,26.0
ADSK,2009-04-30,34,21.0
ADSK,2009-07-31,28,13.0
ADSK,2009-10-31,38,17.0
ADSK,2010-01-31,411,23.0
ADSK,2010-04-30,35,19.0
ADSK,2010-07-31,32,12.0
ADSK,2010-10-31,37,18.0
ADSK,2011-01-31,46,24.0
ADSK,2011-04-30,34,19.0
ADSK,2011-07-31,32,18.0
ADSK,2011-10-31,36,15.0
ADSK,2012-01-31,44,23.0
ADSK,2012-04-30,32,17.0
ADSK,2012-07-31,36,23.0
ADSK,2012-10-31,34,15.0
ADSK,2013-01-31,46,25.0
ADSK,2013-04-30,36,16.0
ADSK,2013-07-31,34,22.0
ADSK,2013-10-31,36,21.0
ADSK,2014-01-31,38,26.0
ADSK,2014-04-30,34,15.0
ADSK,2014-07-31,33,14.0
ADSK,2014-10-31,35,20.0
ADSK,2015-01-31,46,26.0
ADSK,2015-04-30,28,19.0
ADSK,2015-07-31,31,27.0
ADSK,2015-10-31,39,19.0
ADSK,2016-01-31,52,3.0
ADSK,2016-04-30,37,19.0
ADSK,2016-07-31,30,25.0
ADSK,2016-10-31,31,29.0
ADSK,2017-01-31,49,7.0
ADSK,2017-04-30,31,18.0
ADSK,2017-07-31,31,24.0
ADSK,2017-10-31,35,28.0
ADSK,2018-01-31,50,34.0
ADSK,2018-04-30,39,24.0
ADSK,2018-07-31,30,23.0
ADSK,2018-10-31,36,20.0
ADSK,2019-01-31,53,28.0
ADSK,2019-04-30,35,23.0
ADSK,2019-07-31,35,27.0
ADSK,2019-10-31,35,26.0
ADSK,2020-01-31,48,27.0
ADSK,2020-04-30,33,27.0
ADSK,2020-07-31,33,25.0
ADSK,2020-10-31,34,12.0
ADSK,2021-01-31,47,25.0
ADSK,2021-04-30,34,27.0
ADSK,2021-07-31,32,25.0
ADSK,2021-10-31,33,23.0
ADSK,2022-01-31,42,24.0
ADSK,2022-04-30,33,26.0
ADSK,2022-07-31,31,24.0
ADSK,2022-10-31,36,22.0
ADSK,2023-01-31,42,23.0
ADSK,2023-04-30,32,25.0
ADSK,2023-07-31,29,23.0
ADSK,2023-10-31,34,21.0
ADSK,2024-01-31,131,29.0
ADSK,2024-04-30,41,34.0
ADSK,2024-07-31,34,29.0
ADSK,2024-10-31,33,26.0
ADSK,2025-01-31,34,27.0
ADSK,2025-04-30,29,22.0
ADSK,2025-07-31,33,28.0
ADSK,2025-10-31,26,25.0
ADSK,2026-01-31,31,26.0
ADSK,2026-04-30,29,28.0
ADSK,2026-07-31,28,27.0
AEE,2012-03-31,702,34.0
AEE,2012-06-30,611,33.0
AEE,2012-09-30,404,40.0
AEE,2012-12-31,427,51.0
AEE,2013-03-31,337,32.0
AEE,2013-06-30,246,32.0
AEE,2013-09-30,39,38.0
AEE,2013-12-31,62,52.0
AEE,2014-03-31,42,38.0
AEE,2014-06-30,42,36.0
AEE,2014-09-30,41,37.0
AEE,2014-12-31,61,56.0
AEE,2015-03-31,41,37.0
AEE,2015-06-30,37,31.0
AEE,2015-09-30,37,37.0
AEE,2015-12-31,57,50.0
AEE,2016-03-31,40,40.0
AEE,2016-06-30,36,36.0
AEE,2016-09-30,35,35.0
AEE,2016-12-31,59,47.0
AEE,2017-03-31,334,34.0
AEE,2017-06-30,243,35.0
AEE,2017-09-30,34,34.0
AEE,2017-12-31,59,47.0
AEE,2018-03-31,332,39.0
AEE,2018-06-30,39,34.0
AEE,2018-09-30,33,31.0
AEE,2018-12-31,57,45.0
AEE,2019-03-31,334,39.0
AEE,2019-06-30,33,33.0
AEE,2019-09-30,39,39.0
AEE,2019-12-31,59,57.0
AEE,2020-03-31,405,3.0
AEE,2020-06-30,38,37.0
AEE,2020-09-30,36,35.0
AEE,2020-12-31,53,50.0
AEE,2021-03-31,40,40.0
AEE,2021-06-30,37,36.0
AEE,2021-09-30,35,34.0
AEE,2021-12-31,54,48.0
AEE,2022-03-31,36,35.0
AEE,2022-06-30,39,35.0
AEE,2022-09-30,35,34.0
AEE,2022-12-31,53,46.0
AEE,2023-03-31,35,34.0
AEE,2023-06-30,34,33.0
AEE,2023-09-30,40,39.0
AEE,2023-12-31,60,53.0
AEE,2024-03-31,36,32.0
AEE,2024-06-30,36,32.0
AEE,2024-09-30,38,37.0
AEE,2024-12-31,49,44.0
AEE,2025-03-31,35,31.0
AEE,2025-06-30,35,31.0
AEE,2025-09-30,37,36.0
AEE,2025-12-31,49,42.0
AEE,2026-03-31,38,35.0
AEE,2026-06-30,34,30.0
AEP,2008-06-30,400,31.0
AEP,2008-09-30,395,31.0
AEP,2009-03-31,395,24.0
AEP,2009-06-30,35,31.0
AEP,2009-09-30,30,29.0
AEP,2009-12-31,421,28.0
AEP,2010-03-31,30,29.0
AEP,2010-06-30,30,30.0
AEP,2010-09-30,32,19.0
AEP,2010-12-31,56,28.0
AEP,2011-03-31,33,21.0
AEP,2011-06-30,29,29.0
AEP,2011-09-30,28,26.0
AEP,2011-12-31,59,27.0
AEP,2012-03-31,27,20.0
AEP,2012-06-30,27,20.0
AEP,2012-09-30,26,24.0
AEP,2012-12-31,57,46.0
AEP,2013-03-31,26,26.0
AEP,2013-06-30,26,25.0
AEP,2013-09-30,25,23.0
AEP,2013-12-31,56,27.0
AEP,2014-03-31,25,25.0
AEP,2014-06-30,25,25.0
AEP,2014-09-30,23,23.0
AEP,2014-12-31,51,28.0
AEP,2015-03-31,23,23.0
AEP,2015-06-30,23,23.0
AEP,2015-09-30,22,22.0
AEP,2015-12-31,55,28.0
AEP,2016-03-31,28,28.0
AEP,2016-06-30,28,28.0
AEP,2016-09-30,33,32.0
AEP,2016-12-31,59,26.0
AEP,2017-03-31,28,27.0
AEP,2017-06-30,27,27.0
AEP,2017-09-30,27,26.0
AEP,2017-12-31,54,25.0
AEP,2018-03-31,26,26.0
AEP,2018-06-30,26,25.0
AEP,2018-09-30,25,25.0
AEP,2018-12-31,52,24.0
AEP,2019-03-31,26,25.0
AEP,2019-06-30,25,25.0
AEP,2019-09-30,24,24.0
AEP,2019-12-31,51,51.0
AEP,2020-03-31,36,36.0
AEP,2020-06-30,37,37.0
AEP,2020-09-30,22,22.0
AEP,2020-12-31,56,56.0
AEP,2021-03-31,22,22.0
AEP,2021-06-30,22,22.0
AEP,2021-09-30,28,28.0
AEP,2021-12-31,55,55.0
AEP,2022-03-31,28,28.0
AEP,2022-06-30,27,27.0
AEP,2022-09-30,27,27.0
AEP,2022-12-31,54,54.0
AEP,2023-03-31,34,34.0
AEP,2023-06-30,27,27.0
AEP,2023-09-30,33,33.0
AEP,2023-12-31,57,57.0
AEP,2024-03-31,30,30.0
AEP,2024-06-30,30,30.0
AEP,2024-09-30,37,37.0
AEP,2024-12-31,44,44.0
AEP,2025-03-31,36,36.0
AEP,2025-06-30,30,30.0
AEP,2025-09-30,29,29.0
AEP,2025-12-31,43,43.0
AEP,2026-03-31,35,35.0
AES,2008-06-30,403,39.0
AES,2008-09-30,402,38.0
AES,2009-03-31,699,38.0
AES,2009-06-30,38,38.0
AES,2009-09-30,37,37.0
AES,2009-12-31,424,57.0
AES,2010-03-31,334,37.0
AES,2010-06-30,37,37.0
AES,2010-09-30,35,35.0
AES,2010-12-31,59,59.0
AES,2011-03-31,39,39.0
AES,2011-06-30,36,36.0
AES,2011-09-30,35,35.0
AES,2011-12-31,58,58.0
AES,2012-03-31,34,34.0
AES,2012-06-30,37,37.0
AES,2012-09-30,38,38.0
AES,2012-12-31,58,58.0
AES,2013-03-31,39,25.0
AES,2013-06-30,39,
AES,2013-09-30,38,38.0
AES,2013-12-31,57,57.0
AES,2014-03-31,38,38.0
AES,2014-06-30,38,38.0
AES,2014-09-30,37,37.0
AES,2014-12-31,57,57.0
AES,2015-03-31,41,41.0
AES,2015-06-30,41,41.0
AES,2015-09-30,36,36.0
AES,2015-12-31,55,55.0
AES,2016-03-31,39,28.0
AES,2016-06-30,36,36.0
AES,2016-09-30,35,35.0
AES,2016-12-31,58,58.0
AES,2017-03-31,38,38.0
AES,2017-06-30,39,39.0
AES,2017-09-30,33,33.0
AES,2017-12-31,58,16.0
AES,2018-03-31,38,38.0
AES,2018-06-30,38,38.0
