s_int,s_rep,i,sigma2_int,sigma2_rep,truth_R1,est_R1,ucl90_R1,covers_R1,mls90_R1,mls_covers_R1,n_seeds_mls_R1,truth_R3,est_R3,ucl90_R3,covers_R3,mls90_R3,mls_covers_R3,n_seeds_mls_R3,n_seeds_truth_R1,n_seeds_plugin_R1
0.03,0.04,10,0.0013653894200730049,0.001598766351391281,0.06403124237432849,0.06754940505182534,0.06987991883170659,True,0.07196454440956715,True,68,0.0443471156521669,0.04930754155637714,0.052340943713181216,True,0.05485227016729823,True,40,54,64
0.03,0.04,11,0.0012977421630939064,0.001671543908309032,0.06403124237432849,0.06812363745214997,0.06883060540399642,True,0.07249845871651418,True,69,0.0443471156521669,0.04911318324679496,0.05003572190134585,True,0.054636055889117845,True,39,54,62
0.03,0.04,12,0.0011351461677618238,0.0016478017605563052,0.06403124237432849,0.06656387675664958,0.06731313445528894,True,0.07074918200486494,True,66,0.0443471156521669,0.04726183105635414,0.048178519587698754,True,0.05257651555675778,True,37,54,60
0.03,0.04,13,0.00029386608815303635,0.0015218538519226304,0.06403124237432849,0.05777173869634094,0.058733972477843684,False,0.060903948273816504,False,49,0.0443471156521669,0.03617230049040458,0.03700914596363043,False,0.040239945786056955,False,22,54,46
0.03,0.04,14,0.0013487049698849174,0.0014856931960648965,0.06403124237432849,0.06572740191133916,0.06604826612283204,True,0.070073739567644,True,65,0.0443471156521669,0.048364936685525065,0.04879383856952961,True,0.0538036675518571,True,38,54,57
0.03,0.04,15,0.0007726070757261053,0.0015916426434837896,0.06403124237432849,0.06289588510144113,0.06340498658869566,False,0.06663989096069223,True,58,0.0443471156521669,0.0428217488127466,0.04359307408282447,False,0.04763713745953676,True,30,54,53
0.03,0.04,16,0.0018858378485926868,0.0014876585185426977,0.06403124237432849,0.06972198280082174,0.0708349823451011,True,0.07465379514244883,True,73,0.0443471156521669,0.05364336113898735,0.055060002428643236,True,0.059675661065221396,True,47,54,66
0.03,0.04,17,0.001357172241015519,0.0013888175827832408,0.06403124237432849,0.06430246812200913,0.06508360159845675,True,0.06861611371808056,True,62,0.0443471156521669,0.0477812790697118,0.048732952763160364,True,0.053154376505959285,True,37,54,56
0.03,0.04,18,0.0012238003714349019,0.0015420003753468241,0.06403124237432849,0.06563384128731573,0.06614697989600815,True,0.06986571019741211,True,64,0.0443471156521669,0.047453141325586846,0.04798714975626214,True,0.05278933903654398,True,37,54,58
0.03,0.04,19,0.0011673588389222245,0.001576072427845721,0.06403124237432849,0.06572293126918234,0.066886771935385,True,0.06990805071084773,True,64,0.0443471156521669,0.047096430765179775,0.048259312652869285,True,0.05239251568227868,True,36,54,59
0.03,0.04,20,0.0007360662616981563,0.0016292861670864764,0.06403124237432849,0.06320315336967855,0.06373750721192284,False,0.06692854669005596,True,59,0.0443471156521669,0.042687902733160914,0.04306698060396426,False,0.04748824012889468,True,30,54,54
0.03,0.04,21,0.0009855323733025162,0.0015015012673911,0.06403124237432849,0.06315484865063581,0.06422302644721062,True,0.06709334631323305,True,59,0.0443471156521669,0.04457054204550261,0.04525279062014974,True,0.04958258588065093,True,33,54,54
0.03,0.04,22,0.0009172192707878474,0.001545399021696342,0.06403124237432849,0.06330890390917009,0.06398634986331718,False,0.0671926581816021,True,59,0.0443471156521669,0.044130321608300965,0.04421910501925462,False,0.049092861802095086,True,32,54,54
0.03,0.04,23,0.0011770524757806044,0.001651044092668779,0.06403124237432849,0.06692638239975444,0.06836250393880214,True,0.07115954608671005,True,67,0.0443471156521669,0.0477257638761266,0.04948447797835494,True,0.05309261852126147,True,37,54,61
0.03,0.04,24,0.0008754828614102887,0.0016008765025049677,0.06403124237432849,0.0638532369298552,0.06551200539857974,True,0.06772096464290743,True,60,0.0443471156521669,0.04407645474718069,0.045579926927562894,True,0.04903293750804252,True,32,54,56
0.03,0.04,25,0.0012203218284672689,0.0016121271212517808,0.06403124237432849,0.06666765385830546,0.06743135842238283,True,0.07092945695322608,True,66,0.0443471156521669,0.04790692270053591,0.04865582867061357,True,0.05329414900657938,True,38,54,60
0.03,0.04,26,0.0007505324324052053,0.0017433558835359389,0.06403124237432849,0.06509411800982547,0.06583836744218532,True,0.06890667787610047,True,62,0.0443471156521669,0.04373522251110461,0.044400155160794784,True,0.04865333304567776,True,31,54,57
0.03,0.04,27,0.0005896210317513108,0.0015409852983466381,0.06403124237432849,0.06059365996904781,0.062162550863259704,False,0.0640910092227709,True,54,0.0443471156521669,0.040211249221858335,0.04122880208167933,False,0.04473308213024595,True,27,54,51
0.03,0.04,28,0.0012123543863680464,0.001700535885888068,0.06403124237432849,0.06792220666427279,0.06861184680554978,True,0.07221836873698162,True,69,0.0443471156521669,0.04843598844826119,0.04947110729045302,True,0.05388270922301827,True,38,54,62
0.03,0.04,29,0.0007617062356758042,0.0016347092215527905,0.06403124237432849,0.06349113858469846,0.06438077385292576,True,0.06724920196498008,True,60,0.0443471156521669,0.04302920384317684,0.0437918144137234,False,0.047867921210207304,True,30,54,55
0.03,0.04,30,0.0012040759406294252,0.0014013161871207086,0.06403124237432849,0.06329856487212678,0.06397889923138574,False,0.06744062248704849,True,60,0.0443471156521669,0.04624161255885472,0.04690259597583917,True,0.05144157151192991,True,35,54,54
0.03,0.04,31,0.0008051630981901943,0.001553923660355083,0.06403124237432849,0.06255405997135885,0.06294097441928895,False,0.06631275616089509,True,58,0.0443471156521669,0.042908183428031335,0.04324189158303432,False,0.047733291814829125,True,30,54,52
0.03,0.04,32,0.0007682711157105628,0.0013952281973015068,0.06403124237432849,0.05965507111984342,0.060751774283597126,False,0.06327227056368208,False,53,0.0443471156521669,0.04121193088469528,0.04252674082382474,False,0.04584629238548924,True,28,54,49
0.03,0.04,33,0.0011571165048880527,0.0015933409234355036,0.06403124237432849,0.06590749844865196,0.06734764309804049,True,0.07008975958992564,True,65,0.0443471156521669,0.04710991177213547,0.048297825353358706,True,0.052407512654594084,True,36,54,60
0.03,0.04,34,0.0013053029624930969,0.0015872282351240292,0.06403124237432849,0.06693100501816146,0.06785759019465565,True,0.07127491669406877,True,67,0.0443471156521669,0.04861537945179951,0.04950535187017157,True,0.054082273092582026,True,39,54,61
0.03,0.04,35,0.0009338706880532325,0.0015652214163368707,0.06403124237432849,0.06375196875961536,0.06465191817331238,True,0.06766616812569623,True,60,0.0443471156521669,0.04446742214563166,0.04531906255406709,True,0.0494678699481829,True,32,54,55
0.03,0.04,36,0.0013208048830033678,0.001621028752095437,0.06403124237432849,0.06754896288762872,0.06853634978011829,True,0.07192545440554093,True,68,0.0443471156521669,0.049005007067989076,0.04988542887693177,True,0.05451571508934908,True,39,54,62
0.03,0.04,37,0.0009149064604432393,0.0014423846620956564,0.06403124237432849,0.06164151023972849,0.06307874043315466,False,0.06546385083918442,True,56,0.0443471156521669,0.043318543779467894,0.04510068376169223,True,0.048189797983103785,True,31,54,52
0.03,0.04,38,0.0012943134138007329,0.0015698330188403545,0.06403124237432849,0.06658813296287441,0.0674413313860361,True,0.07091185293126084,True,66,0.0443471156521669,0.048382525354659846,0.04870093737408513,True,0.053823234100924676,True,38,54,60
0.03,0.04,39,0.0009046213599325937,0.0015404200495125538,0.06403124237432849,0.06313051131550972,0.06423237145528671,True,0.06699682511983877,True,59,0.0443471156521669,0.04394960818491593,0.045216823856274624,True,0.048891826804009865,True,32,54,54
0.03,0.04,40,0.0008989905178622002,0.0014114010029444752,0.06403124237432849,0.0610064957504621,0.06211681193666497,False,0.06479205872044835,True,55,0.0443471156521669,0.042894341349707,0.04399091557543246,False,0.04771789316796989,True,30,54,51
0.03,0.04,41,0.0004652256686965843,0.0015878824371446942,0.06403124237432849,0.06034062100265436,0.06182218669352293,False,0.0637247911991841,False,53,0.0443471156521669,0.039036059741300484,0.0400062728397572,False,0.04342574031496559,False,25,54,50
0.03,0.04,42,0.0010331769883708034,0.0017382882748413718,0.06403124237432849,0.0671546985553025,0.06854219342715032,True,0.07127531244770545,True,67,0.0443471156521669,0.046819182375016456,0.04825247173022812,True,0.05208409017330662,True,36,54,62
0.03,0.04,43,0.0005806321385206227,0.0017066883514767163,0.06403124237432849,0.0631981711877334,0.06465205833620885,True,0.06679736959410162,True,59,0.0443471156521669,0.04145388248208404,0.04242034220744608,False,0.04611545190893056,True,28,54,55
0.03,0.04,44,0.00137917665443229,0.001615804645712944,0.06403124237432849,0.06790276832249315,0.06911368479660887,True,0.07234054087639391,True,69,0.0443471156521669,0.04956187800693445,0.050704981842602304,True,0.05513520724464998,True,40,54,63
0.03,0.04,45,0.000635975281766918,0.0015209426494467283,0.06403124237432849,0.06064536734706431,0.06141766333216179,False,0.06418411408369971,True,54,0.0443471156521669,0.04061941713103152,0.04176594148472666,False,0.045187149311875556,True,27,54,50
0.03,0.04,46,0.000670210282841435,0.0015668776804564795,0.06403124237432849,0.06167629726040948,0.062148276828574614,False,0.06528565806818316,True,56,0.0443471156521669,0.041410088180849784,0.04152916423501449,False,0.046066732853644814,True,28,54,51
0.03,0.04,47,0.0009659130890750964,0.0014279896124249677,0.06403124237432849,0.06182145512623455,0.06254271572624391,False,0.06569644868544669,True,57,0.0443471156521669,0.04379390555802342,0.04434296903670158,False,0.04871861511495616,True,31,54,52
0.03,0.04,48,0.0009876609961639925,0.0018478771975854724,0.06403124237432849,0.06843548342296514,0.06931125811476134,True,0.07256650242551377,True,69,0.0443471156521669,0.047112409489301656,0.04820035429155108,True,0.05241029124489642,True,36,54,63
0.03,0.04,49,0.0009744210672942789,0.0015561103156324031,0.06403124237432849,0.06392684646186675,0.06521965659249272,True,0.06788253414487663,True,61,0.0443471156521669,0.04485340504780599,0.046374325849284505,True,0.04989725737577989,True,33,54,56
0.03,0.04,50,0.0004424895579770644,0.0015720658362283985,0.06403124237432849,0.059888406477663615,0.06100433568437629,False,0.06323445236705032,False,53,0.0443471156521669,0.038607427378627504,0.03966640304710697,False,0.042948907412378,False,25,54,49
0.03,0.04,51,0.0006789429302912328,0.001694749477787822,0.06403124237432849,0.0637843388761448,0.06467694564599887,True,0.06748637732175955,True,60,0.0443471156521669,0.04252970627083044,0.04369127059017862,False,0.047312254167774716,True,30,54,55
0.03,0.04,52,0.0013434487433343558,0.001626039194856505,0.06403124237432849,0.06779031739892774,0.06795536675622527,True,0.07219380315861781,True,69,0.0443471156521669,0.04926941113143826,0.049404216421086375,True,0.05480985190217443,True,40,54,61
0.03,0.04,53,0.0007671363978643646,0.0014221655427298335,0.06403124237432849,0.06009548638062622,0.06088993235529083,False,0.06372806403016779,False,53,0.0443471156521669,0.04141553766020977,0.04225298442060682,False,0.04607279513752046,True,28,54,49
0.03,0.04,54,0.000873669962380584,0.0016253932964518582,0.06403124237432849,0.06422193204259975,0.06534505953302104,True,0.0681018841363359,True,61,0.0443471156521669,0.04424099335851863,0.045182725547815085,True,0.04921597880511756,True,32,54,56
0.03,0.04,55,0.001190233796837846,0.0015432246783544188,0.06403124237432849,0.06539635428329842,0.06659708463701139,True,0.0695910112793355,True,64,0.0443471156521669,0.047106796208977376,0.04870706104910676,True,0.05240404674032058,True,36,54,58
0.03,0.04,56,0.0006401730150351692,0.0015183479586196684,0.06403124237432849,0.06063719099920861,0.06231796689535075,False,0.06417919495734696,True,54,0.0443471156521669,0.040649784592889066,0.041758618632042395,False,0.04522093165367414,True,27,54,51
0.03,0.04,57,0.0008559246916458167,0.0016364655489862975,0.06403124237432849,0.06425617316350556,0.06501459453577407,True,0.06812247067492,True,61,0.0443471156521669,0.04412370932167137,0.04437135224873945,True,0.049085505951018724,True,32,54,56
0.03,0.04,58,0.0010636192910363498,0.00148977783497578,0.06403124237432849,0.06358596512586649,0.06444363189819584,True,0.06760885928144023,True,60,0.0443471156521669,0.04535200672906918,0.046181086797282965,True,0.050451927782440634,True,34,54,55
0.03,0.04,59,0.001623194062723412,0.0014852646453704474,0.06403124237432849,0.06777701198388955,0.06884646979180674,True,0.07242675846447115,True,69,0.0443471156521669,0.051121135482013476,0.052512999390056325,True,0.056869806244797295,True,43,54,62
0.03,0.04,60,0.001196394539498846,0.0017640333773019576,0.06403124237432849,0.06873471680383038,0.0691152135006239,True,0.07304498803919615,True,70,0.0443471156521669,0.04870746134868337,0.04856416128398268,True,0.05418470977723433,True,39,54,63
0.03,0.04,61,0.0010691813069036973,0.0015709610265331735,0.06403124237432849,0.06489301472400588,0.06562814665336399,True,0.06896480542646842,True,63,0.0443471156521669,0.046005311192576594,0.04650597735024314,True,0.051178697599038314,True,35,54,57
0.03,0.04,62,0.0008546245446974558,0.0015249273380703483,0.06403124237432849,0.062485832160883895,0.06293433275211058,False,0.06628490009529894,True,58,0.0443471156521669,0.04325786367907791,0.04324397612213413,False,0.048122294287820895,True,31,54,52
0.03,0.04,63,0.00111110291360799,0.0016555624863962436,0.06403124237432849,0.06649983373212656,0.06731021186273724,True,0.07066252224896599,True,66,0.0443471156521669,0.04706178107415987,0.04808521177852781,True,0.05235396956634905,True,36,54,60
0.03,0.04,64,0.0006194218692776063,0.0016123032823900016,0.06403124237432849,0.06200022930649216,0.06333037623486404,False,0.06558049700590005,True,57,0.0443471156521669,0.04116176288989909,0.04178174821102739,False,0.045790482902447666,True,28,54,53
0.03,0.04,65,0.0010119595330551985,0.0016150024692233277,0.06403124237432849,0.0651303652031973,0.06684543867562466,True,0.06916095532115744,True,63,0.0443471156521669,0.045701508135626664,0.04713893252939734,True,0.050840731299533905,True,34,54,59
0.03,0.04,66,0.0005349446028185248,0.0015645807051786816,0.06403124237432849,0.06053185948883354,0.06101044916138189,False,0.06398108204229781,False,54,0.0443471156521669,0.03972402807207471,0.040066437843678734,False,0.044191072017886246,False,26,54,49
0.03,0.04,67,0.0010009622180798077,0.0018041104243936479,0.06403124237432849,0.06789096454512267,0.06942536407671553,True,0.0720122979233899,True,68,0.0443471156521669,0.04694360979951272,0.048621044702348036,True,0.052222509702840175,True,36,54,63
0.03,0.04,68,0.001394381662397206,0.0015309019674800866,0.06403124237432849,0.06675466723276642,0.06794178962696129,True,0.07117176950354558,True,67,0.0443471156521669,0.04914247627104883,0.05045683477244015,True,0.054668642970721854,True,39,54,61
0.03,0.04,69,0.0004544438345082001,0.00165800658148978,0.06403124237432849,0.061404047077434236,0.06262806525183502,False,0.06482636680726586,True,55,0.0443471156521669,0.03949406987765868,0.0404460955600337,False,0.04393525457882634,False,26,54,52
0.03,0.04,70,0.0006041316611213687,0.0016989216632899826,0.06403124237432849,0.06326116492526307,0.06425856340254868,True,0.06688163660063758,True,59,0.0443471156521669,0.04167428587648132,0.0423647126448243,False,0.046360640092191464,True,29,54,54
0.03,0.04,71,0.0009759293610892437,0.0016919432506518801,0.06403124237432849,0.06602890172033005,0.06652829929373352,True,0.07006133822671663,True,65,0.0443471156521669,0.0458681973505663,0.0471135659784515,True,0.051026165039753726,True,34,54,58
0.03,0.04,72,0.0010191223612573607,0.0015341633573462091,0.06403124237432849,0.06393316100389358,0.06440928455090991,True,0.06792824775193552,True,61,0.0443471156521669,0.0451873647474767,0.045504809518622305,True,0.05026877149092559,True,33,54,55
0.03,0.04,73,0.0005311583104071974,0.0016554093045766185,0.06403124237432849,0.06198368268794969,0.06270359284497887,False,0.06549180292418581,True,56,0.0443471156521669,0.040432221228350496,0.04108263501116356,False,0.04497890286713383,True,27,54,52
0.03,0.04,74,0.0007273827416004427,0.0014871272881373503,0.06403124237432849,0.06084108248441298,0.06207872879020581,False,0.0644666529469538,True,55,0.0443471156521669,0.04145842415833011,0.042296926888387605,False,0.04612050430547272,True,28,54,51
0.03,0.04,75,0.0010502692085155268,0.0015675905826239627,0.06403124237432849,0.06469505679542643,0.06495067299857729,True,0.06874360115845095,True,62,0.0443471156521669,0.045774770309980825,0.04598242929783319,True,0.05092223194738355,True,34,54,56
0.03,0.04,76,0.001129969383484216,0.0012906248693496135,0.06403124237432849,0.06091977611731221,0.06186942999056167,False,0.06492037916959827,True,55,0.0443471156521669,0.044613741863361166,0.045724685606935586,True,0.04963064360175322,True,33,54,50
0.03,0.04,77,0.0006712077636641205,0.001755075061929251,0.06403124237432849,0.06466342001102805,0.06598854009265274,True,0.06839544999355691,True,62,0.0443471156521669,0.04290988003887086,0.04419083597486484,False,0.04773517921284575,True,30,54,57
0.03,0.04,78,0.0009162665691662875,0.0015245140776550122,0.06403124237432849,0.06297058618495076,0.06344013232342526,False,0.06684133118633154,True,59,0.0443471156521669,0.04396145229178584,0.04427787523138758,False,0.04890500280365235,True,32,54,53
0.03,0.04,79,0.0009553203145901627,0.0015354181227707545,0.06403124237432849,0.06345200201831043,0.0645129367817788,True,0.0673741995296968,True,60,0.0443471156521669,0.04448519300213648,0.04586700995787052,True,0.04948763917194337,True,32,54,55
0.03,0.04,80,0.0008964371790974887,0.0016192503437374552,0.06403124237432849,0.06430348253844731,0.06493051089697095,True,0.06820573575426964,True,61,0.0443471156521669,0.044451517502283225,0.045205800258721084,True,0.049450176796865156,True,32,54,56
0.03,0.04,81,0.0012931368066707413,0.001389391336365563,0.06403124237432849,0.06381159361277437,0.0643309890328473,True,0.06805165515432528,True,61,0.0443471156521669,0.0471104839455202,0.04764265902125848,True,0.05240814916998485,True,36,54,54
0.03,0.04,82,0.0009159687468298522,0.0016763188047008576,0.06403124237432849,0.0653345724424027,0.0666995083083351,True,0.06929152324648385,True,63,0.0443471156521669,0.04509450761046653,0.04629683738681205,True,0.05016547238889229,True,33,54,59
0.03,0.04,83,0.0010360528390485019,0.0016581278155894392,0.06403124237432849,0.0659720279378115,0.0670265138011354,True,0.0700528202507795,True,65,0.0443471156521669,0.04627603464834465,0.04740488277525478,True,0.051479864432096394,True,35,54,59
0.03,0.04,84,0.0006519056420090533,0.0017406616338810292,0.06403124237432849,0.06429019295173341,0.06521382978198194,True,0.06799152606307789,True,61,0.0443471156521669,0.042571665826733544,0.04339932895522699,False,0.047358932157060905,True,30,54,56
0.03,0.04,85,0.0008824945584254393,0.0018458742755902591,0.06403124237432849,0.06763315096611984,0.06834223544401437,True,0.07165060195891271,True,67,0.0443471156521669,0.045968221727830036,0.046371593117379865,True,0.05113743735209794,True,35,54,61
0.03,0.04,86,0.0009831215328826382,0.0014460031875040684,0.06403124237432849,0.06225052536236762,0.06306702666988685,False,0.06615582209538212,True,58,0.0443471156521669,0.044126224151691824,0.04486364167830898,True,0.049088303578548965,True,32,54,52
0.03,0.04,87,0.0009971885109459199,0.001514571803201516,0.06403124237432849,0.06345338538918907,0.06446656674004075,True,0.06741255320931458,True,60,0.0443471156521669,0.04479847147407596,0.045505543079993535,True,0.04983614641521719,True,33,54,55
0.03,0.04,88,0.0018836658552179384,0.0015825732076417192,0.06403124237432849,0.07105499469074203,0.0719306746015481,True,0.07601569647118582,True,76,0.0443471156521669,0.05420991293400514,0.05500857418168814,True,0.060305922707622514,True,48,54,68
0.03,0.04,89,0.0004922562367625949,0.001661909776189566,0.06403124237432849,0.06177439428389182,0.06315244346311014,False,0.0652426439550429,True,56,0.0443471156521669,0.040002451019351785,0.04071878174470943,False,0.04450080416519592,True,26,54,53
0.03,0.04,90,0.0008158078334425331,0.0015873377358497493,0.06403124237432849,0.06317027232125909,0.06397632699696966,False,0.06696148188436582,True,59,0.0443471156521669,0.043290102687285226,0.04390125320270003,False,0.04815815863498352,True,31,54,54
0.03,0.04,91,0.0005818616962308862,0.0016673190720680753,0.06403124237432849,0.06258194500306807,0.06340048962256202,False,0.06615603215052049,True,58,0.0443471156521669,0.04115103576188903,0.04248368865808724,False,0.045778549488102636,True,28,54,53
0.03,0.04,92,0.0013399756227215653,0.001749626405874621,0.06403124237432849,0.06956456306533383,0.07114889207973797,True,0.07402091702288792,True,72,0.0443471156521669,0.05006389144521208,0.05183939115237678,True,0.055693673067013776,True,41,54,67
0.03,0.04,93,0.0009431818562554868,0.0017701853843427647,0.06403124237432849,0.06695933560707586,0.06821971254657358,True,0.07099936344631491,True,66,0.0443471156521669,0.046079338600042104,0.047437299733990454,True,0.051261049531945775,True,35,54,61
0.03,0.04,94,0.0005295562471517305,0.0017720242347097801,0.06403124237432849,0.06382479703509672,0.06486653916129748,True,0.06741127757537146,True,60,0.0443471156521669,0.04136309631734852,0.04240272635406844,False,0.04601445666401794,True,28,54,55
0.03,0.04,95,0.0011167851824997379,0.0014511574609525912,0.06403124237432849,0.06339637295938089,0.06446515860033424,True,0.06746114203739476,True,60,0.0443471156521669,0.045653296592923776,0.046609364388811116,True,0.050787098275415325,True,34,54,55
0.03,0.04,96,0.0008953834225249513,0.0015459591364253733,0.06403124237432849,0.06314508449100134,0.06420233272294742,True,0.06700387530575665,True,59,0.0443471156521669,0.043886476810157976,0.044541885372685996,True,0.048821596183805514,True,32,54,54
0.03,0.04,97,0.0009737064641381231,0.0016075320430300822,0.06403124237432849,0.06472071191047181,0.06538517888225046,True,0.0687039985708297,True,62,0.0443471156521669,0.04522603777499024,0.04578934950358853,True,0.050311793375335194,True,34,54,56
0.03,0.04,98,0.0009319353133624088,0.0019276986707784944,0.06403124237432849,0.06919055322021495,0.072130615642551,True,0.07330691161796907,True,71,0.0443471156521669,0.04708574901759631,0.05016940330074047,True,0.05238063275147717,True,36,54,68
0.03,0.04,99,0.0005803983389999442,0.0016381729086980964,0.06403124237432849,0.06210269041189872,0.06303424958528495,False,0.06565539747872255,True,57,0.0443471156521669,0.04089637650777073,0.041259584194810524,False,0.04549525330730384,True,28,54,52
0.03,0.04,100,0.0005949418378675877,0.001497278345649837,0.06403124237432849,0.05991242382984736,0.06035391538491388,False,0.06338624458691913,False,53,0.0443471156521669,0.03991400007057856,0.04027554448371439,False,0.044402406735806435,True,26,54,48
0.03,0.04,101,0.0013641390903163652,0.001619660808779754,0.06403124237432849,0.06784880771152779,0.06851793258643508,True,0.0722719417174185,True,69,0.0443471156521669,0.04943594808270801,0.05030220528188953,True,0.054995116256379595,True,40,54,62
0.03,0.04,102,0.001132792721022295,0.0013037050035980006,0.06403124237432849,0.06115719686364227,0.06171872419768688,False,0.06516760604064012,True,56,0.0443471156521669,0.04474292558704257,0.04526070688381948,True,0.049774354285533465,True,33,54,50
0.03,0.04,103,0.001264417608893227,0.0015209232146948905,0.06403124237432849,0.06562213070514404,0.06596718034539847,True,0.06988970542183863,True,64,0.0443471156521669,0.04773223668224464,0.0482093172841082,True,0.053099819206972425,True,37,54,57
0.03,0.04,104,0.0010491776090007826,0.0013240648057314247,0.06403124237432849,0.06080548676282126,0.06139604164501823,False,0.0647249040563348,True,55,0.0443471156521669,0.04395324196789583,0.0447658093613181,True,0.04889586921292849,True,32,54,50
0.03,0.04,105,0.00042903259164580525,0.0017876408350826214,0.06403124237432849,0.0632796512459657,0.06446453066151694,True,0.0667662803421792,True,59,0.0443471156521669,0.0402590753541056,0.04071197172308528,False,0.04478628640375622,True,27,54,55
0.03,0.04,106,0.0008159133802988876,0.001508837804954057,0.06403124237432849,0.06191598331777508,0.06271161450764616,False,0.0656600019670521,True,57,0.0443471156521669,0.04268261063089111,0.04352076957198972,False,0.04748235291946802,True,30,54,52
0.03,0.04,107,0.0007152671959792312,0.0016191281417863729,0.06403124237432849,0.06287705049978073,0.06369551586621901,False,0.06657219826852341,True,58,0.0443471156521669,0.042363733985216014,0.0431392143921091,False,0.04712761797697219,True,29,54,53
0.03,0.04,108,0.0008150505100389036,0.0015999906593793598,0.06403124237432849,0.0633642788075239,0.06425717795046627,True,0.06716223288198157,True,59,0.0443471156521669,0.04337869234572595,0.04414848839114078,False,0.048256710372211443,True,31,54,54
0.03,0.04,109,0.0005661834603812837,0.0016606790098422936,0.06403124237432849,0.06235015220563516,0.06361166897688464,False,0.06590187849017443,True,57,0.0443471156521669,0.040906024009626576,0.041525496252596154,False,0.04550598568944119,True,28,54,53
0.03,0.04,110,0.001058418305024939,0.0018265429632635538,0.06403124237432849,0.06864039795595628,0.06959660996702939,True,0.07283533435350648,True,70,0.0443471156521669,0.04770863248791887,0.049121680574823294,True,0.05307356067524746,True,37,54,64
0.03,0.04,111,0.0012616367383004904,0.0015941561645077395,0.06403124237432849,0.06670793856293245,0.06743648245762447,True,0.07100684634507987,True,66,0.0443471156521669,0.04821210962651379,0.0487455296835405,True,0.053633654793866004,True,38,54,60
0.03,0.04,112,0.0009436556947861761,0.0015393135025227767,0.06403124237432849,0.06342146876123045,0.06463911398155531,True,0.06733235826364216,True,60,0.0443471156521669,0.044383157801896285,0.04570480489904541,True,0.049374129915681825,True,32,54,55
0.03,0.04,113,0.001020140180139761,0.0014654601462772675,0.06403124237432849,0.06285746155146815,0.06383075651690416,False,0.06681684053670542,True,59,0.0443471156521669,0.04468907708815738,0.04578284822919753,True,0.0497144504185849,True,33,54,54
0.03,0.04,114,0.0007142912138643541,0.001862612091335418,0.06403124237432849,0.06662968855199002,0.06779122642605148,True,0.07047645773806514,True,65,0.0443471156521669,0.04422705742063297,0.04563971639597743,True,0.04920047574400743,True,32,54,60
0.03,0.04,115,0.0006598109687631112,0.0017712410259160235,0.06403124237432849,0.06482509560806801,0.06597180136072861,True,0.06855488631731119,True,62,0.0443471156521669,0.0429026609824355,0.04402075262702159,False,0.047727148359522985,True,30,54,57
