gpt-5-mini: 144 runs in the design, 2 done, 142 pending, 0 abandoned after 3 non-ok attempts; spend so far $3.43 (stop at $177.00)
[47/142] gpt-5-mini__INTJ__static__bull_trap__seed2001__rep0 -> ok (1679s, $0.351, fallbacks 0); spend $59.60; ETA 3.5 h
[48/142] gpt-5-mini__INTJ__static__bull_trap__seed2001__rep1 -> ok (1679s, $0.350, fallbacks 0); spend $59.95; ETA 3.4 h
[49/142] gpt-5-mini__INTJ__static__bull_trap__seed2002__rep0 -> ok (1598s, $0.336, fallbacks 0); spend $64.31; ETA 3.8 h
[50/142] gpt-5-mini__INTJ__static__bull_trap__seed2002__rep1 -> ok (1587s, $0.335, fallbacks 0); spend $64.64; ETA 3.7 h
[51/142] gpt-5-mini__INTJ__static__bull_trap__seed2001__rep2 -> ok (1663s, $0.348, fallbacks 0); spend $65.31; ETA 3.6 h
[52/142] gpt-5-mini__INTJ__static__bull_trap__seed2002__rep2 -> ok (1611s, $0.335, fallbacks 0); spend $65.96; ETA 3.5 h
[53/142] gpt-5-mini__INTJ__static__bull_trap__seed2003__rep1 -> ok (1637s, $0.345, fallbacks 0); spend $66.47; ETA 3.5 h
[54/142] gpt-5-mini__INTJ__static__bull_trap__seed2003__rep0 -> ok (1663s, $0.347, fallbacks 0); spend $67.30; ETA 3.4 h
[55/142] gpt-5-mini__INTJ__static__bull_trap__seed2004__rep1 -> ok (1592s, $0.338, fallbacks 0); spend $67.81; ETA 3.3 h
[56/142] gpt-5-mini__INTJ__static__bull_trap__seed2003__rep2 -> ok (1671s, $0.345, fallbacks 0); spend $68.15; ETA 3.2 h
[57/142] gpt-5-mini__INTJ__static__bull_trap__seed2004__rep0 -> ok (1616s, $0.338, fallbacks 0); spend $68.49; ETA 3.1 h
[58/142] gpt-5-mini__INTJ__static__bull_trap__seed2004__rep2 -> ok (1628s, $0.345, fallbacks 0); spend $69.00; ETA 3.0 h
[59/142] gpt-5-mini__INTJ__static__bull_trap__seed2005__rep0 -> ok (1723s, $0.348, fallbacks 0); spend $71.82; ETA 3.1 h
[60/142] gpt-5-mini__INTJ__static__bull_trap__seed2005__rep1 -> ok (1707s, $0.350, fallbacks 0); spend $72.17; ETA 3.0 h
[61/142] gpt-5-mini__INTJ__static__bull_trap__seed2005__rep2 -> ok (1697s, $0.347, fallbacks 0); spend $76.95; ETA 3.3 h
[62/142] gpt-5-mini__INTJ__static__bull_trap__seed2006__rep1 -> ok (1658s, $0.340, fallbacks 0); spend $77.62; ETA 3.2 h
[63/142] gpt-5-mini__INTJ__static__bull_trap__seed2006__rep0 -> ok (1694s, $0.346, fallbacks 0); spend $77.97; ETA 3.1 h
[64/142] gpt-5-mini__INTJ__static__bull_trap__seed2006__rep2 -> ok (1683s, $0.345, fallbacks 0); spend $78.31; ETA 3.0 h
[65/142] gpt-5-mini__INTJ__static__bull_trap__seed2007__rep0 -> ok (1656s, $0.344, fallbacks 0); spend $78.66; ETA 3.0 h
[66/142] gpt-5-mini__INTJ__static__bull_trap__seed2008__rep1 -> ok (1614s, $0.336, fallbacks 0); spend $79.34; ETA 2.9 h
[67/142] gpt-5-mini__INTJ__static__bull_trap__seed2007__rep1 -> ok (1665s, $0.342, fallbacks 0); spend $79.34; ETA 2.8 h
[68/142] gpt-5-mini__INTJ__static__bull_trap__seed2007__rep2 -> ok (1643s, $0.335, fallbacks 0); spend $79.67; ETA 2.8 h
[69/142] gpt-5-mini__INTJ__static__bull_trap__seed2008__rep0 -> ok (1655s, $0.334, fallbacks 0); spend $80.00; ETA 2.7 h
[70/142] gpt-5-mini__INTJ__static__bull_trap__seed2008__rep2 -> ok (1629s, $0.337, fallbacks 0); spend $80.34; ETA 2.6 h
[71/142] gpt-5-mini__INTJ__memory__bull_trap__seed2001__rep0 -> ok (1968s, $0.403, fallbacks 0); spend $83.08; ETA 2.8 h
[72/142] gpt-5-mini__INTJ__memory__bull_trap__seed2001__rep1 -> ok (1976s, $0.406, fallbacks 0); spend $83.48; ETA 2.7 h
[73/142] gpt-5-mini__INTJ__memory__bull_trap__seed2002__rep1 -> ok (1860s, $0.383, fallbacks 0); spend $86.17; ETA 2.8 h
[74/142] gpt-5-mini__INTJ__memory__bull_trap__seed2002__rep0 -> ok (1908s, $0.385, fallbacks 0); spend $86.56; ETA 2.8 h
[75/142] gpt-5-mini__INTJ__memory__bull_trap__seed2002__rep2 -> ok (1866s, $0.383, fallbacks 0); spend $86.94; ETA 2.7 h
[76/142] gpt-5-mini__INTJ__memory__bull_trap__seed2001__rep2 -> ok (2019s, $0.410, fallbacks 0); spend $87.35; ETA 2.6 h
[77/142] gpt-5-mini__INTJ__memory__bull_trap__seed2003__rep0 -> ok (1917s, $0.391, fallbacks 0); spend $87.74; ETA 2.6 h
[78/142] gpt-5-mini__INTJ__memory__bull_trap__seed2003__rep1 -> ok (1890s, $0.391, fallbacks 0); spend $88.13; ETA 2.5 h
[79/142] gpt-5-mini__INTJ__memory__bull_trap__seed2004__rep1 -> ok (1877s, $0.390, fallbacks 0); spend $88.52; ETA 2.4 h
[80/142] gpt-5-mini__INTJ__memory__bull_trap__seed2003__rep2 -> ok (1932s, $0.392, fallbacks 0); spend $88.91; ETA 2.4 h
[81/142] gpt-5-mini__INTJ__memory__bull_trap__seed2004__rep2 -> ok (1899s, $0.392, fallbacks 0); spend $89.31; ETA 2.3 h
[82/142] gpt-5-mini__INTJ__memory__bull_trap__seed2004__rep0 -> ok (1946s, $0.399, fallbacks 0); spend $89.71; ETA 2.2 h
[83/142] gpt-5-mini__INTJ__memory__bull_trap__seed2005__rep0 -> ok (1959s, $0.395, fallbacks 0); spend $94.52; ETA 2.4 h
[84/142] gpt-5-mini__INTJ__memory__bull_trap__seed2005__rep1 -> ok (1963s, $0.401, fallbacks 0); spend $94.92; ETA 2.3 h
[85/142] gpt-5-mini__INTJ__memory__bull_trap__seed2006__rep0 -> ok (2053s, $0.395, fallbacks 0); spend $99.54; ETA 2.4 h
[86/142] gpt-5-mini__INTJ__memory__bull_trap__seed2005__rep2 -> ok (2139s, $0.403, fallbacks 0); spend $99.94; ETA 2.3 h
[87/142] gpt-5-mini__INTJ__memory__bull_trap__seed2006__rep1 -> ok (2117s, $0.404, fallbacks 0); spend $100.51; ETA 2.3 h
[88/142] gpt-5-mini__INTJ__memory__bull_trap__seed2006__rep2 -> ok (2063s, $0.402, fallbacks 0); spend $100.91; ETA 2.2 h
[89/142] gpt-5-mini__INTJ__memory__bull_trap__seed2007__rep0 -> ok (2039s, $0.395, fallbacks 0); spend $101.30; ETA 2.2 h
[90/142] gpt-5-mini__INTJ__memory__bull_trap__seed2007__rep1 -> ok (2060s, $0.400, fallbacks 0); spend $101.70; ETA 2.1 h
[91/142] gpt-5-mini__INTJ__memory__bull_trap__seed2008__rep0 -> ok (2028s, $0.390, fallbacks 0); spend $102.25; ETA 2.0 h
[92/142] gpt-5-mini__INTJ__memory__bull_trap__seed2008__rep1 -> ok (2014s, $0.391, fallbacks 0); spend $102.64; ETA 2.0 h
[93/142] gpt-5-mini__INTJ__memory__bull_trap__seed2008__rep2 -> ok (2067s, $0.390, fallbacks 0); spend $103.52; ETA 1.9 h
[94/142] gpt-5-mini__INTJ__memory__bull_trap__seed2007__rep2 -> ok (2129s, $0.405, fallbacks 0); spend $103.93; ETA 1.9 h
[95/142] gpt-5-mini__ENTJ__static__bull_trap__seed2001__rep0 -> ok (1790s, $0.353, fallbacks 0); spend $107.70; ETA 1.9 h
[96/142] gpt-5-mini__ENTJ__static__bull_trap__seed2001__rep1 -> ok (1797s, $0.342, fallbacks 0); spend $108.04; ETA 1.8 h
[97/142] gpt-5-mini__ENTJ__static__bull_trap__seed2002__rep0 -> ok (1618s, $0.338, fallbacks 0); spend $112.60; ETA 1.9 h
[98/142] gpt-5-mini__ENTJ__static__bull_trap__seed2002__rep2 -> ok (1598s, $0.334, fallbacks 0); spend $113.09; ETA 1.8 h
[99/142] gpt-5-mini__ENTJ__static__bull_trap__seed2002__rep1 -> ok (1618s, $0.334, fallbacks 0); spend $113.43; ETA 1.8 h
[100/142] gpt-5-mini__ENTJ__static__bull_trap__seed2001__rep2 -> ok (1774s, $0.356, fallbacks 0); spend $114.11; ETA 1.7 h
[101/142] gpt-5-mini__ENTJ__static__bull_trap__seed2004__rep0 -> ok (1643s, $0.341, fallbacks 0); spend $115.26; ETA 1.7 h
[102/142] gpt-5-mini__ENTJ__static__bull_trap__seed2003__rep1 -> ok (1665s, $0.347, fallbacks 0); spend $116.09; ETA 1.6 h
[103/142] gpt-5-mini__ENTJ__static__bull_trap__seed2003__rep2 -> ok (1657s, $0.348, fallbacks 0); spend $116.44; ETA 1.5 h
[104/142] gpt-5-mini__ENTJ__static__bull_trap__seed2003__rep0 -> ok (1718s, $0.349, fallbacks 0); spend $116.95; ETA 1.5 h
[105/142] gpt-5-mini__ENTJ__static__bull_trap__seed2004__rep1 -> ok (1622s, $0.339, fallbacks 0); spend $117.29; ETA 1.4 h
[106/142] gpt-5-mini__ENTJ__static__bull_trap__seed2004__rep2 -> ok (1641s, $0.337, fallbacks 0); spend $117.62; ETA 1.4 h
[107/142] gpt-5-mini__ENTJ__static__bull_trap__seed2005__rep0 -> ok (1642s, $0.341, fallbacks 0); spend $122.10; ETA 1.4 h
[108/142] gpt-5-mini__ENTJ__static__bull_trap__seed2005__rep1 -> ok (1682s, $0.348, fallbacks 0); spend $122.76; ETA 1.4 h
[109/142] gpt-5-mini__ENTJ__static__bull_trap__seed2005__rep2 -> ok (1658s, $0.339, fallbacks 0); spend $129.80; ETA 1.4 h
[110/142] gpt-5-mini__ENTJ__static__bull_trap__seed2006__rep0 -> ok (1660s, $0.339, fallbacks 0); spend $130.94; ETA 1.3 h
[111/142] gpt-5-mini__ENTJ__static__bull_trap__seed2006__rep1 -> ok (1664s, $0.342, fallbacks 0); spend $131.28; ETA 1.3 h
[112/142] gpt-5-mini__ENTJ__static__bull_trap__seed2007__rep1 -> ok (1645s, $0.341, fallbacks 0); spend $132.10; ETA 1.2 h
[113/142] gpt-5-mini__ENTJ__static__bull_trap__seed2007__rep0 -> ok (1661s, $0.340, fallbacks 0); spend $132.44; ETA 1.2 h
[114/142] gpt-5-mini__ENTJ__static__bull_trap__seed2006__rep2 -> ok (1707s, $0.350, fallbacks 0); spend $132.79; ETA 1.1 h
[115/142] gpt-5-mini__ENTJ__static__bull_trap__seed2007__rep2 -> ok (1680s, $0.342, fallbacks 0); spend $133.29; ETA 1.1 h
[116/142] gpt-5-mini__ENTJ__static__bull_trap__seed2008__rep1 -> ok (1679s, $0.345, fallbacks 0); spend $133.95; ETA 1.0 h
[117/142] gpt-5-mini__ENTJ__static__bull_trap__seed2008__rep2 -> ok (1671s, $0.341, fallbacks 0); spend $134.76; ETA 1.0 h
[118/142] gpt-5-mini__ENTJ__static__bull_trap__seed2008__rep0 -> ok (1728s, $0.346, fallbacks 0); spend $135.58; ETA 0.9 h
[119/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2001__rep0 -> ok (1329s, $0.282, fallbacks 0); spend $137.93; ETA 0.9 h
[120/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2001__rep1 -> ok (1335s, $0.283, fallbacks 0); spend $138.21; ETA 0.9 h
[121/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2001__rep2 -> ok (1334s, $0.283, fallbacks 0); spend $138.50; ETA 0.8 h
[122/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2002__rep0 -> ok (1336s, $0.285, fallbacks 0); spend $138.78; ETA 0.8 h
[123/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2002__rep1 -> ok (1374s, $0.290, fallbacks 0); spend $139.07; ETA 0.8 h
[124/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2002__rep2 -> ok (1385s, $0.294, fallbacks 0); spend $139.37; ETA 0.7 h
[125/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2003__rep2 -> ok (1381s, $0.291, fallbacks 0); spend $139.66; ETA 0.7 h
[126/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2003__rep1 -> ok (1419s, $0.298, fallbacks 0); spend $139.96; ETA 0.6 h
[127/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2004__rep0 -> ok (1375s, $0.290, fallbacks 0); spend $140.25; ETA 0.6 h
[128/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2004__rep1 -> ok (1370s, $0.285, fallbacks 0); spend $140.53; ETA 0.5 h
[129/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2003__rep0 -> ok (1447s, $0.299, fallbacks 0); spend $140.83; ETA 0.5 h
[130/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2004__rep2 -> ok (1353s, $0.284, fallbacks 0); spend $141.11; ETA 0.5 h
[131/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2005__rep0 -> ok (1369s, $0.293, fallbacks 0); spend $141.41; ETA 0.4 h
[132/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2005__rep1 -> ok (1423s, $0.304, fallbacks 0); spend $141.71; ETA 0.4 h
[133/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2005__rep2 -> ok (1418s, $0.300, fallbacks 0); spend $142.01; ETA 0.4 h
[134/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2006__rep1 -> ok (1428s, $0.305, fallbacks 0); spend $142.32; ETA 0.3 h
[135/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2006__rep0 -> ok (1489s, $0.301, fallbacks 0); spend $142.62; ETA 0.3 h
[136/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2007__rep0 -> ok (1309s, $0.283, fallbacks 0); spend $142.90; ETA 0.2 h
[137/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2007__rep1 -> ok (1300s, $0.282, fallbacks 0); spend $143.18; ETA 0.2 h
[138/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2007__rep2 -> ok (1352s, $0.283, fallbacks 0); spend $143.47; ETA 0.2 h
[139/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2008__rep1 -> ok (1341s, $0.293, fallbacks 0); spend $143.76; ETA 0.1 h
[140/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2006__rep2 -> ok (1435s, $0.305, fallbacks 0); spend $144.06; ETA 0.1 h
[141/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2008__rep2 -> ok (1370s, $0.296, fallbacks 0); spend $144.36; ETA 0.0 h
[142/142] gpt-5-mini__ENTJ__memory__bull_trap__seed2008__rep0 -> ok (1386s, $0.299, fallbacks 0); spend $144.66; ETA 0.0 h
