seed,attempts,rejected,det_len,panic_len,front_load,delta,D_V,delta_end,setup_len,mode,trunc,rv_calm,depth,duration,ep_peak_rel_event,rise,onset_lag_before_event,realised_det_len,decay_half_life,stress_spell
220016,1,0,4,46,0.2484084749952601,0.8447841244455213,0.22592646976998335,0.9431017537007275,69,v21,,0.0003273054659029245,-0.3787616634518177,74.0,-24.0,29.0,-1.0,25.0,16.0,32.0
220017,1,0,3,61,0.13453750142072343,0.6794434009104146,0.1750563592165953,0.7644895735444472,79,v21,,0.0005161731824815095,-0.5332458554633357,93.0,-40.0,47.0,24.0,16.0,19.0,52.0
220018,1,0,17,62,0.16852064938600578,0.8494714123244018,0.1988404683264804,0.9331352124269612,50,v21,,0.00028442141700742586,-0.41688715277695887,78.0,-42.0,70.0,27.0,15.0,15.0,46.0
220019,1,0,6,27,0.25758381320088375,0.7822136599834103,0.2733931393787714,0.8768907180311418,110,v21,,0.0005419904940935464,-0.5017822620877868,103.0,-91.0,114.0,83.0,8.0,11.0,21.0
220020,1,0,23,28,0.5350720450631047,0.7436541779170288,0.16234891115631805,0.9847635145016405,71,v21,,0.0003029696037166524,-0.5223449769562257,100.0,-33.0,55.0,9.0,24.0,13.0,51.0
220021,1,0,14,20,0.12734637159058884,0.8763916629954943,0.23339591726745146,0.9188614129081276,59,v21,,0.00024467203331142955,-0.5537234116001006,86.0,-60.0,68.0,32.0,28.0,10.0,29.0
220022,1,0,4,34,0.3955400431608257,0.8538850792688457,0.28212979407726757,0.8999157686051452,95,v21,,0.00039060385042735376,-0.5137755652596998,74.0,-41.0,71.0,31.0,10.0,17.0,41.0
220023,1,0,15,95,0.31355773272681725,0.6838795260856785,0.16770442865717633,0.8702554928826679,77,v21,,0.0003334051152405101,,,,,,,,
220024,1,0,8,30,0.1113840461153763,0.8942046134838595,0.2563468993619269,0.9505387974881326,85,v21,,0.0003319824819629946,-0.7341611420635575,17.0,10.0,34.0,-11.0,1.0,8.0,31.0
220025,1,0,8,34,0.3029991368792789,0.751712012732565,0.27434833125887814,0.9654040933093095,79,v21,,0.0003459572688762708,-0.44891273835490475,104.0,-53.0,45.0,7.0,46.0,16.0,29.0
220026,1,0,20,63,0.21434018955148973,0.7214607030419568,0.1030670116816824,0.9992905185497828,72,v21,,0.0005923782683479672,-0.40832725620541444,15.0,25.0,18.0,-27.0,2.0,23.0,60.0
220027,1,0,7,16,0.09884321137067734,0.8247854561452698,0.2506461870587672,0.8698094744951216,72,v21,,0.0002946070943791003,-0.39597395922005396,68.0,-47.0,49.0,27.0,20.0,15.0,26.0
220028,1,0,6,16,0.25602176968841167,0.85684093983723,0.2530979021314876,0.9710386076252471,60,v21,,0.000289062044352815,-0.4636222284815861,26.0,-3.0,28.0,-2.0,5.0,16.0,53.0
220029,1,0,4,83,0.11541569890787594,0.8891682939632357,0.23293881440530026,0.9368655645594897,80,v21,,0.00037928078865328137,-0.4367245069337773,44.0,-35.0,94.0,25.0,10.0,27.0,46.0
220030,1,0,4,42,0.16043803924996147,0.6567396183806198,0.12371759036328954,0.9338210914028551,101,v21,,0.00042800091028010183,,,,,,,,
220031,1,0,13,67,0.32136978989313725,0.6794920871204166,0.19732196933139645,0.8903253615023874,110,v21,panic_len,0.00033946133903080185,-0.5209352621262183,77.0,-10.0,58.0,-1.0,11.0,13.0,28.0
220032,2,1,3,38,0.25627318784966746,0.950094520346775,0.2788579693596841,0.9731533445512769,98,v21,,0.0005929391095638867,-0.3826906161363284,76.0,-4.0,19.0,0.0,4.0,3.0,93.0
220033,1,0,8,31,0.2260591948836371,0.7850441414744566,0.15921043768093088,0.8440837352276384,89,v21,,0.00035772634423966455,-0.5001881482104276,76.0,-1.0,28.0,-3.0,4.0,17.0,23.0
220034,1,0,7,37,0.1767462930483552,0.8739966429552175,0.22289326410713328,0.9315524304177325,73,v21,,0.00022137073701851052,-0.5031963850088168,76.0,-33.0,60.0,24.0,9.0,20.0,104.0
220035,1,0,22,65,0.37663013984898747,0.7514819328976873,0.12961961160634855,0.9750599406061506,103,v21,panic_len,0.00027939518647349386,,,,,,,,
220036,1,0,6,93,0.3149221323531435,0.8461624618479814,0.23913432531783232,0.9080064314328842,67,v21,,0.00034416305884743434,-0.7178369079255313,123.0,-35.0,101.0,20.0,15.0,20.0,86.0
220037,1,0,7,32,0.39320195889906295,0.8630095622011308,0.2541887953350439,0.896426296947966,53,v21,,0.00044105947942554526,-0.42351461308230254,49.0,-11.0,30.0,-1.0,12.0,18.0,92.0
220038,1,0,13,17,0.1818886509112787,0.7758879436134465,0.26317809872152564,1.0,98,v21,,0.00035523732784539547,-0.3441690826984207,47.0,-18.0,32.0,0.0,18.0,19.0,81.0
220039,1,0,5,46,0.5546895469481994,0.854657365293476,0.2915742654215846,0.9584731515523086,55,v21,,0.0008397568896100589,-0.5246818739234161,68.0,-8.0,28.0,4.0,4.0,15.0,21.0
220040,3,1,8,36,0.1476214626558516,0.8221609029726837,0.18872783047705075,0.9058201018201006,69,v21,,0.00039477222473912883,-0.37296409652076024,55.0,-12.0,34.0,-3.0,15.0,14.0,84.0
220041,1,0,4,22,0.125503045069597,0.7894367715703544,0.1501703050485947,0.8575760394910757,69,v21,,0.0004611116199420732,-0.6156148536564634,109.0,-19.0,22.0,0.0,19.0,14.0,105.0
220042,2,1,7,84,0.2061480829916609,0.8713295741893976,0.2848945350253028,0.9264700991453169,86,v21,,0.0004726551000264509,-0.5178019481521307,69.0,-3.0,28.0,-1.0,4.0,21.0,79.0
220043,1,0,23,69,0.34128550213640924,0.7708175754174756,0.13822436957384854,0.9526794152965651,80,v21,,0.00043107881044209255,-0.35796564634910644,69.0,8.0,44.0,-26.0,18.0,19.0,82.0
220044,1,0,17,17,0.10451453297924422,0.7528377050751517,0.1721614160242392,0.9982774662783835,101,v21,,0.00037112119565942104,-0.48467261578857324,72.0,-21.0,62.0,-3.0,24.0,7.0,21.0
220045,1,0,12,66,0.563322052529239,0.7102936160204252,0.14214586970823778,0.872367420581931,58,v21,,0.00042577247163638553,-0.330808129724143,95.0,-59.0,106.0,34.0,25.0,14.0,21.0
220046,1,0,4,30,0.3826994095348698,0.8796430974690884,0.23383383014850806,0.9617206038215874,50,v21,,0.0005364591290132859,-0.4244692298626219,9.0,-1.0,31.0,-1.0,2.0,17.0,32.0
220047,1,0,6,35,0.16497752491337503,0.6902481920417503,0.1730418202524199,0.8336376322486547,74,v21,,0.00028697522618334183,-0.5164053462253282,102.0,-65.0,88.0,48.0,17.0,16.0,43.0
220048,1,0,3,43,0.28913413254206444,0.8400591377746287,0.254081203715377,0.9190598652083486,69,v21,,0.0003110128167278128,-0.4792651094803142,35.0,-5.0,42.0,0.0,5.0,15.0,53.0
220049,2,1,4,86,0.5327872655035355,0.5938538443314825,0.15648782635372077,0.8355685381990882,89,v21,,0.0008846806206226476,,,,,,,,
220050,2,1,7,48,0.4410616127938844,0.7598364674027677,0.11882261409248399,0.9194156966435675,73,v21,,0.0002487775175212824,-0.6076981505737948,124.0,-73.0,116.0,63.0,10.0,19.0,45.0
220051,1,0,3,80,0.20000959524154396,0.722362441201767,0.1485647188614723,0.8971379741472535,107,v21,panic_len,0.000623883003043505,-0.5664459676212723,89.0,-27.0,74.0,6.0,21.0,8.0,22.0
220052,1,0,7,16,0.367202639673109,0.7597665737508227,0.1336773103764774,0.8280646149670614,110,v21,,0.000378917027868106,,,,,,,,
220053,1,0,5,64,0.27688888463063666,0.7754684822692856,0.17137377891971065,0.9395766584208923,55,v21,,0.00047849012666351484,-0.48727769528486997,32.0,-16.0,42.0,5.0,11.0,21.0,39.0
220054,1,0,7,53,0.5179324220409532,0.8285649095259893,0.19776468438098654,0.8701588788209486,107,v21,,0.0005120574143818123,,,,,,,,
220055,1,0,8,71,0.33026696070962835,0.7194727481411055,0.10711410319460546,0.9454097853126543,96,v21,,0.00033785718309741803,-0.6786326811992827,17.0,49.0,2.0,-50.0,1.0,19.0,39.0
220056,2,1,5,57,0.4330217367213435,0.8142971302117871,0.16879721169198836,0.8930085399017025,53,v21,,0.0004170353437379704,-0.40696360968201784,74.0,-12.0,59.0,4.0,8.0,13.0,58.0
220057,1,0,7,24,0.4032790750016001,0.744591796474216,0.19054763160320798,0.9264562227237991,83,v21,,0.0009183815121984646,-0.7261112978456208,80.0,-61.0,78.0,51.0,10.0,14.0,24.0
220058,1,0,26,30,0.2936597699387335,0.6112818481715862,0.11640478211184596,0.7364624739855566,63,v21,,0.00030246291851103056,-0.590958904102607,119.0,-64.0,108.0,52.0,12.0,14.0,29.0
220059,1,0,15,22,0.18798909113936663,0.6799206637246957,0.1748518752638612,0.8241878792599743,87,v21,,0.000286283584391201,-0.5009565854849902,115.0,-79.0,105.0,65.0,14.0,12.0,79.0
220060,1,0,15,39,0.23943804485688078,0.747374650139096,0.13432687642919272,0.8459173435778484,64,v21,,0.00026674168915117235,,,,,,,,
220061,1,0,12,17,0.4058267315392725,0.8114777360800642,0.22270922335128848,0.9306105749155129,85,v21,,0.0003284436767895694,-0.5019257494111418,40.0,-13.0,28.0,-1.0,14.0,19.0,99.0
220062,1,0,14,44,0.243035639018191,0.6319793602537056,0.12391824908254608,0.8619699254093472,93,v21,,0.0005510355578159018,-0.7135111126262546,89.0,-41.0,86.0,39.0,2.0,24.0,55.0
220063,1,0,9,33,0.5161396610729193,0.73925368067186,0.1988933767249848,0.8809737037784322,79,v21,,0.00030903621100283185,-0.4502524734112765,86.0,-3.0,65.0,-3.0,6.0,8.0,21.0
220064,1,0,15,41,0.3408600325651031,0.8525301046012281,0.291888779390634,0.8978301200099679,79,v21,,0.0003171336708023974,-0.5697895205114052,114.0,-4.0,44.0,-5.0,9.0,15.0,32.0
220065,1,0,9,21,0.2256240395700624,0.8002694445938805,0.19494450734863605,0.9127036733442296,101,v21,,0.00028145232157200526,,,,,,,,
220066,1,0,11,54,0.31205269596878543,0.8872412355772135,0.29975072055510443,0.9786551418579441,58,v21,,0.0003971003468112703,-0.4829874667816242,28.0,-1.0,34.0,-1.0,2.0,15.0,114.0
220067,1,0,5,67,0.2505480502647603,0.7166627931220212,0.28380698879529664,0.8514604392355922,69,v21,,0.00022486137178801414,-0.5648428801275593,68.0,-27.0,50.0,-1.0,28.0,16.0,26.0
220068,1,0,9,73,0.2047384771559524,0.8124714319145596,0.1607174363111295,0.9635029933119227,104,v21,,0.0004518088773929906,-0.6087718792455761,106.0,-31.0,87.0,13.0,18.0,12.0,73.0
220069,1,0,13,16,0.4555815111093425,0.7945379165389883,0.26682341197173864,0.9274547326169194,104,v21,,0.0005839545173443813,-0.3672601014997551,33.0,-15.0,32.0,-4.0,19.0,4.0,71.0
220070,1,0,13,93,0.20587854920422288,0.9258676817552837,0.2801998586342241,0.9728460506581483,84,v21,panic_len,0.00029512459846885527,-0.5167500255598794,108.0,-28.0,105.0,-2.0,30.0,,44.0
220071,1,0,18,32,0.43545503125866036,0.6757693150824328,0.193901607243958,0.9070064508906356,81,v21,,0.0005330074883445268,-0.582992638364926,24.0,23.0,14.0,-26.0,3.0,18.0,32.0
220072,1,0,13,32,0.11235494770119533,0.6867804084916664,0.15275326576379827,0.7805952258761488,106,v21,,0.0010485824181580496,-0.44982589888975644,51.0,-8.0,33.0,-2.0,10.0,16.0,23.0
220073,1,0,8,45,0.12729304357138574,0.8048874684109947,0.18571621377419995,0.8736087729545498,104,v21,,0.00025305840844338725,-0.5318075845284425,86.0,-36.0,53.0,-3.0,39.0,15.0,39.0
220074,1,0,4,70,0.17432704582718825,0.695806949784732,0.20072990009660696,0.9860257323562818,77,v21,,0.00028079539065111066,-0.6373312509792846,113.0,-41.0,74.0,16.0,25.0,30.0,74.0
220075,1,0,25,88,0.4153923168874754,0.7580858631655791,0.18877374311605422,0.9705516567639478,77,v21,panic_len,0.0002908303706136742,-0.3638295513195412,43.0,-13.0,82.0,-5.0,18.0,12.0,52.0
220076,1,0,15,53,0.36001918183845405,0.7125054078105125,0.1527677046510924,0.8007247731407175,58,v21,,0.00047120447865925337,,,,,,,,
220077,1,0,9,35,0.21243984559317236,0.6402303703701747,0.27792042907797887,0.9255932529658639,99,v21,,0.0008366188849245384,,,,,,,,
220078,2,1,7,22,0.18964307654189616,0.7996935121903451,0.2104229788905248,0.9505854427509658,57,v21,,0.0002485110059919953,,,,,,,,
220079,1,0,4,90,0.16176843261992133,0.7840193455109256,0.13952624137613429,0.9717707570069933,62,v21,,0.0006890683479713179,-0.41122100893462676,37.0,-3.0,74.0,0.0,3.0,9.0,49.0
220080,1,0,6,16,0.32321963035597834,0.8049629942109252,0.24447620564436304,0.9346817672909427,105,v21,,0.00029411395527133895,-0.4483612978360534,57.0,-38.0,42.0,22.0,16.0,11.0,85.0
220081,1,0,3,66,0.16695264427187395,0.7652229832315078,0.20412209440181844,0.8816762103684799,52,v21,,0.00016992703515695076,-0.48560039549227596,82.0,-27.0,69.0,0.0,27.0,15.0,58.0
220082,1,0,5,53,0.2467887295287056,0.8882809744271448,0.26477454258397237,0.9314784592194885,75,v21,,0.0007084171371648317,-0.7072001681074835,54.0,18.0,8.0,-19.0,1.0,21.0,105.0
220083,1,0,5,15,0.4813963416413107,0.5882750724970695,0.17443263054271718,0.7042130301016595,52,v21,,0.0003055460177089892,,,,,,,,
220084,1,0,8,79,0.29637094239533257,0.8940192628011596,0.24140464174282053,0.9988881665747081,88,v21,,0.00028975999725160877,,,,,,,,
220085,2,1,6,92,0.17070936553998237,0.5882112059710884,0.13331448087855757,0.8100171781300813,62,v21,,0.00044986665595944886,-0.6206469664951331,101.0,-43.0,85.0,32.0,11.0,21.0,101.0
220086,1,0,10,70,0.2166163208900262,0.7129202356335197,0.14954907079559082,0.8291706357408027,110,v21,panic_len,0.00035624930391569014,-0.6478919182471765,26.0,29.0,25.0,-31.0,2.0,17.0,42.0
220087,1,0,3,46,0.40958726620807157,0.6883456446171853,0.26146965982227816,0.8260824640768327,105,v21,,0.0003781250902086517,-0.5596856961429855,61.0,-9.0,20.0,0.0,9.0,6.0,24.0
220088,1,0,26,23,0.31546108718212035,0.5534957191669283,0.10083405840916167,0.7187086202650015,59,v21,,0.0005130221032624101,-0.605600863763544,105.0,-60.0,98.0,51.0,9.0,14.0,26.0
220089,1,0,7,80,0.17259401949850003,0.9512087652745799,0.2999719055253678,0.9719960561523462,103,v21,panic_len,0.0003951616848127943,-0.4882070532144429,77.0,-10.0,78.0,-1.0,11.0,8.0,28.0
220090,1,0,17,81,0.1253140607080716,0.6910460707365866,0.1680006452587856,1.0,88,v21,,0.0003898676080686583,-0.6295363860564351,82.0,-26.0,80.0,19.0,7.0,,75.0
220091,1,0,19,56,0.3042496503154935,0.7706288679145116,0.15254756713137863,0.8320554060756236,109,v21,,0.0003958265412193443,-0.7085402620181356,33.0,20.0,18.0,-21.0,1.0,13.0,30.0
220092,1,0,6,17,0.31972370931927024,0.8310227809458772,0.24409215437172577,0.8985608203216827,94,v21,,0.00035856549451104987,-0.4526671492354729,77.0,-53.0,124.0,41.0,12.0,,100.0
220093,1,0,6,76,0.4978931715649138,0.6315362478873386,0.16978694966912794,0.7752066636530182,68,v21,,0.0002737978535724765,-0.5746167524425669,62.0,-3.0,72.0,-1.0,4.0,12.0,38.0
220094,1,0,6,41,0.4151611161235596,0.8579349484295004,0.28392465026475183,0.927317758487981,68,v21,,0.0006372288611072626,-0.6292725426211111,47.0,-2.0,44.0,-1.0,3.0,20.0,48.0
220095,1,0,9,17,0.394049196825354,0.7909627185917321,0.20925209748973456,0.8591357533870825,72,v21,,0.0007438442374985783,-0.4038109185364499,66.0,-9.0,23.0,-6.0,15.0,10.0,121.0
220096,1,0,13,16,0.15861741531211399,0.6501792361663273,0.15201124021181428,0.9256271757981199,103,v21,,0.0004487367206225694,,,,,,,,
220097,1,0,4,94,0.35412560094884415,0.6430387515131792,0.19735737889716815,0.7366165532201886,82,v21,,0.00040674547930068033,,,,,,,,
220098,1,0,4,93,0.40310782031231657,0.8741681023034543,0.284447015970841,0.9939691228928497,78,v21,,0.00029467259476580003,,,,,,,,
220099,1,0,3,82,0.40332938684522696,0.812527302681095,0.17087066374497067,0.8882946406652873,56,v21,,0.0006205745512001332,-0.49021754022308384,88.0,-13.0,99.0,6.0,7.0,8.0,85.0
220100,1,0,4,16,0.12495641075121873,0.8723556876831254,0.2740702569852437,0.9334499609063645,91,v21,,0.00033944729316776864,-0.568107541318456,42.0,-24.0,30.0,10.0,14.0,14.0,25.0
220101,1,0,4,31,0.26432500062704684,0.8475993921058707,0.2555173141468337,0.9073483068593686,75,v21,,0.0004606067785588237,-0.6077009688651056,98.0,-40.0,75.0,32.0,8.0,10.0,85.0
220102,1,0,17,16,0.45026809146349733,0.839237260093396,0.20928801519108126,0.9275527946584925,105,v21,,0.00033195853562548346,-0.40228838049348914,30.0,-3.0,33.0,-4.0,7.0,45.0,66.0
220103,1,0,6,43,0.22704381735390303,0.6419814211877671,0.16931234663912853,0.7275254210392086,72,v21,,0.00022938376937022527,-0.5747082378426365,72.0,-37.0,42.0,3.0,34.0,11.0,74.0
220104,1,0,24,38,0.157623175462665,0.613943791729694,0.12205094429498878,0.8401141375715975,84,v21,,0.00031649323050159664,-0.4754678322682674,77.0,-11.0,23.0,-25.0,36.0,18.0,31.0
220105,1,0,4,17,0.2538566794328156,0.6923257579876329,0.26913147324104625,0.7760362519216518,82,v21,,0.00032006414817515997,,,,,,,,
220106,1,0,12,23,0.224503702127013,0.7389222299599886,0.13840916427709954,0.8709517478472275,106,v21,,0.00046828303320325503,-0.49462311743621157,70.0,-34.0,99.0,27.0,7.0,9.0,50.0
220107,1,0,10,39,0.23081082468413708,0.8807754515592994,0.2455810268494676,0.94169515929285,60,v21,,0.0004405596523673101,,,,,,,,
220108,1,0,20,84,0.16181865488883584,0.6227800545277244,0.13439519209179773,0.8750116998954105,86,v21,panic_len,0.0002206509110645459,-0.51501127235494,77.0,26.0,44.0,-28.0,2.0,19.0,57.0
220109,1,0,6,84,0.20030778093535279,0.8156749727104684,0.158362802489737,0.8676791169915391,82,v21,,0.000546462768959479,-0.5057058284057718,25.0,28.0,8.0,-30.0,2.0,49.0,57.0
220110,1,0,5,18,0.5670130784500362,0.7934656771467002,0.17134662922848592,0.892318071674791,62,v21,,0.00042476323951605774,,,,,,,,
220111,1,0,22,19,0.3518185216348897,0.8108065487898339,0.24363270421825456,0.8993978744461095,66,v21,,0.00039616597336333777,-0.4752493103831794,59.0,0.0,29.0,-7.0,7.0,19.0,22.0
220112,1,0,5,59,0.12087662966533384,0.8387277328966413,0.2486097509694156,0.9122286514854651,104,v21,,0.00030697875139514257,-0.49234149193389143,69.0,-12.0,26.0,-1.0,13.0,20.0,47.0
220113,1,0,5,53,0.2680528316214881,0.7100836489702589,0.14108047302518067,0.8369985951533834,108,v21,,0.000619833467985441,-0.6794307544397065,120.0,-65.0,111.0,62.0,3.0,19.0,51.0
220114,1,0,4,29,0.3882336304216446,0.9189716520035728,0.29659296116057754,0.9627947231753428,84,v21,,0.000365295583490106,-0.40371287450179494,12.0,-1.0,17.0,-1.0,2.0,21.0,29.0
220115,1,0,5,18,0.16639812016198066,0.7279278174714839,0.13682302752877887,0.9156059012733154,89,v21,,0.0009148021742547819,-0.4386369117882445,62.0,-30.0,9.0,16.0,14.0,12.0,21.0
220116,1,0,5,44,0.35844136239775287,0.6830526538096933,0.1138859781104408,0.7884314115260845,61,v21,,0.0004797068556854792,-0.5106558923061466,88.0,-43.0,58.0,32.0,11.0,20.0,120.0
220117,1,0,9,51,0.09249253081079455,0.7486667237786696,0.1233908794399684,0.8274726567085346,105,v21,,0.00027252721205363296,,,,,,,,
220118,1,0,10,71,0.1044576230264538,0.8850503031933493,0.22789947996967763,0.9733080647202428,109,v21,panic_len,0.00039742157978164713,-0.4106504850898075,28.0,-19.0,40.0,10.0,9.0,12.0,56.0
220119,1,0,4,53,0.5192096708254246,0.7851696795314946,0.1590632542605644,0.951691362723307,81,v21,,0.00048411977087492106,-0.39054697664350957,61.0,-5.0,85.0,-2.0,7.0,,101.0
220120,1,0,3,35,0.5065523252163522,0.8844161588336669,0.24453911515658477,0.9243598865511987,94,v21,,0.001523853596496007,-0.6473789424736973,115.0,-89.0,120.0,86.0,3.0,21.0,58.0
220121,1,0,7,58,0.3052730388966597,0.960055835658531,0.28731655613495,0.9817320807734163,56,v21,,0.0001566273538872342,-0.43818797891640193,102.0,-49.0,90.0,25.0,24.0,16.0,61.0
220122,1,0,25,54,0.31489879139607674,0.5432270082980605,0.10020898317612743,0.8424578145620272,64,v21,,0.0010375699036451204,-0.470145671077723,16.0,45.0,0.0,-47.0,2.0,16.0,41.0
220123,1,0,20,39,0.2458038114488221,0.7518324042910999,0.1192997616134912,0.9053868735174994,86,v21,,0.00041428501049042246,-0.4583332610679214,15.0,96.0,6.0,-97.0,1.0,4.0,10.0
220124,1,0,24,70,0.13965805917713267,0.9001507975669257,0.2612428935771052,0.959000226688898,96,v21,panic_len,0.0004515983900898964,,,,,,,,
220125,1,0,19,17,0.33961531532186734,0.7607469697768537,0.12699195573596847,0.8944121101532029,101,v21,,0.0004891717543927315,,,,,,,,
220126,1,0,4,42,0.327722845310797,0.5383561984794382,0.10416910521943085,0.6683722551094056,63,v21,,0.0003082760622625998,,,,,,,,
220127,1,0,4,98,0.18351951943120137,0.8176879420495253,0.2388895816453536,0.9206295056684303,60,v21,,0.0003079731444521406,-0.5451774861634768,43.0,-32.0,90.0,23.0,9.0,39.0,88.0
220128,1,0,9,89,0.33847923336199104,0.7276707233099992,0.14504639583864423,0.9882606231697735,76,v21,,0.0002782968386223085,-0.45158441626781287,79.0,-5.0,54.0,-1.0,6.0,30.0,72.0
220129,1,0,12,20,0.5298877575259875,0.9442750530107156,0.2961469385223765,0.9676137610752281,69,v21,,0.0003355385063639202,-0.3845002599944638,27.0,-15.0,28.0,-1.0,16.0,8.0,105.0
220130,1,0,8,32,0.14300194966823998,0.8441505014105088,0.20533378885164172,0.8985088239097778,93,v21,,0.0004079109764166866,-0.47300616127362394,40.0,-1.0,29.0,-1.0,2.0,14.0,42.0
220131,1,0,9,52,0.24326015018447297,0.8067558906245131,0.23983018212043763,0.8979388881965222,71,v21,,0.0005546046233777519,-0.6323539528810039,107.0,-10.0,111.0,-4.0,14.0,2.0,21.0
220132,1,0,8,23,0.4939866030567233,0.8916310691387553,0.24359454825241783,0.9463995502357182,97,v21,,0.0005227265222781907,-0.5556646164472048,120.0,-95.0,94.0,68.0,27.0,20.0,25.0
220133,1,0,3,22,0.41899491901633273,0.897540554051157,0.283643249835439,0.9481330394469702,80,v21,,0.00018887907370623538,-0.5004404289303528,119.0,-6.0,20.0,0.0,6.0,3.0,66.0
220134,1,0,20,72,0.2114259368688823,0.8226164468777879,0.1942778601137477,0.9700466525191649,98,v21,panic_len,0.0006205516834638895,-0.43344148300715457,71.0,-7.0,85.0,-6.0,13.0,,29.0
220135,1,0,8,47,0.39597076042791746,0.8113996984739377,0.23393885701565512,0.8733010559100016,89,v21,,0.00034914704415917356,-0.5081510001336997,125.0,-58.0,89.0,42.0,16.0,20.0,51.0
220136,1,0,25,46,0.22103635379878095,0.7741530760316253,0.28333194823700725,0.975768201751025,99,v21,,0.000430308209010187,,,,,,,,
220137,2,1,5,17,0.28989249630263686,0.8111003128242534,0.2298952519758814,0.9332857232989824,77,v21,,0.0009101571814168205,-0.6103303474586541,75.0,-50.0,65.0,42.0,8.0,7.0,21.0
220138,1,0,9,18,0.20444976254897002,0.7147670610152268,0.11574639216599791,0.8231574532123385,87,v21,,0.00037826267820338996,-0.5191358921640384,60.0,-32.0,53.0,24.0,8.0,14.0,25.0
220139,1,0,7,19,0.32795542963274554,0.7188653884206522,0.1939999690296233,0.8878612395145424,101,v21,,0.0006618565157239189,-0.40549755317889435,27.0,-1.0,16.0,-2.0,3.0,15.0,23.0
220140,1,0,10,73,0.2380029767865381,0.7317871446273486,0.12170865636487148,0.8885278912966476,66,v21,,0.00024705976140695565,-0.48497083645577266,107.0,-8.0,50.0,-1.0,9.0,16.0,84.0
220141,1,0,5,75,0.20818415994797138,0.7673653055831008,0.158356949029469,0.8843009391034958,110,v21,panic_len,0.0008519626029557724,,,,,,,,
220142,1,0,10,70,0.2065653133500423,0.8568602138871911,0.2079303693072847,0.9134926813388748,104,v21,,0.00027999338272684867,,,,,,,,
220143,1,0,11,81,0.16686546902088012,0.6594801870778676,0.2651385500506819,0.8245277892088695,79,v21,,0.0008992462557558612,-0.6658629018486939,110.0,-66.0,97.0,52.0,14.0,16.0,63.0
220144,1,0,3,25,0.31835338955960607,0.7815440235614428,0.16796308508706279,0.9987090852159153,53,v21,,0.000710613432085834,,,,,,,,
