model,agent_type,n_runs,n_ISFJ,c1_mean_ISFJ,c1_median_ISFJ,c1to5_mean_ISFJ,n_INTJ,c1_mean_INTJ,c1_median_INTJ,c1to5_mean_INTJ,n_ENTJ,c1_mean_ENTJ,c1_median_ENTJ,c1to5_mean_ENTJ,kw_p,mwu_p_ISFJ_vs_INTJ,cliff_ISFJ_vs_INTJ,mwu_p_INTJ_vs_ENTJ,cliff_INTJ_vs_ENTJ,mwu_p_ISFJ_vs_ENTJ,cliff_ISFJ_vs_ENTJ,ordering_medians_cons_gt_bal_gt_aggr,crit_ordering_pass,band_hit_all,point_hit_all,band_hit_ISFJ,point_hit_ISFJ,band_hit_INTJ,point_hit_INTJ,band_hit_ENTJ,point_hit_ENTJ,crit_band_pass,auc_ovr_ISFJ,auc_ovr_INTJ,auc_ovr_ENTJ,auc_ovr_macro,auc_lr_cv_macro,crit_auc_pass,rf_r2_oof,rf_persona_share,rf_null_persona_share,rf_n_runs,rf_n_trees,crit_surrogate_pass,gate_pass
deepseek_chat,static,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,0.9935512737557876,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
deepseek_chat,memory,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gemini_2_5_flash,static,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,0.9762100730481947,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gemini_2_5_flash,memory,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,0.992,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gemini_2_5_pro,static,75,25,0.982,1.0,0.957290504484924,25,1.0,1.0,1.0,25,1.0,1.0,1.0,0.1317265590878458,0.16151331846754224,-0.08,1.0,0.0,0.16151331846754224,-0.08,False,False,0.02666666666666667,0.30666666666666664,0.08,0.92,0.0,0.0,0.0,0.0,False,0.46,0.48,0.48,0.47333333333333333,0.5106666666666667,False,-0.5127722110888335,0.7192666914185657,0.251659401921355,75,300,False,False
gemini_2_5_pro,memory,75,25,0.976,1.0,0.9209665264081821,25,1.0,1.0,1.0,25,1.0,1.0,1.0,0.04580631417262027,0.0809955259549278,-0.12,1.0,0.0,0.0809955259549278,-0.12,False,False,0.04,0.29333333333333333,0.12,0.88,0.0,0.0,0.0,0.0,False,0.44,0.47,0.47,0.45999999999999996,0.5133333333333333,False,-0.40285493827158647,0.0,0.5007106549876885,75,300,False,False
gemini_3_1_pro_preview,static,75,25,0.92,0.9,0.8940708197474757,25,0.9620000000000001,1.0,0.9197903111534125,25,0.862,0.8,0.7716954135647964,0.004604664244478782,0.0013668202630145539,-0.47839999999999994,0.007204192157789415,0.37439999999999996,0.3328264425989189,0.1552,False,False,0.24,0.29333333333333333,0.72,0.88,0.0,0.0,0.0,0.0,False,0.41919999999999996,0.2868,0.6324000000000001,0.4461333333333333,0.5741333333333333,False,0.2499072449394777,0.46545504216105316,0.1818767250981757,75,300,False,False
gemini_3_1_pro_preview,memory,75,25,0.9319999999999999,0.9,0.907088072183658,25,0.99,1.0,0.9881161430660835,25,1.0,1.0,0.8790947583787306,1.4434941558823764e-07,7.370636309409127e-05,-0.5359999999999999,0.33705521493367563,-0.04,5.712018665961765e-06,-0.6,False,False,0.2,0.30666666666666664,0.6,0.92,0.0,0.0,0.0,0.0,False,0.21600000000000003,0.376,0.33999999999999997,0.3106666666666667,0.6546666666666666,False,-0.019412133052791658,0.8673431638560848,0.39967363266050954,75,300,False,False
gemma-2-9b-it,static,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,0.5852999695027723,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gemma-2-9b-it,memory,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,0.40764104208962754,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gemma-3-4b-it,static,54,19,1.0,1.0,1.0,16,1.0,1.0,1.0,19,0.7631578947368421,0.7,0.4232488280983911,3.721687235284333e-10,1.0,0.0,8.256481282560786e-07,0.8947368421052632,1.5763797617052517e-07,0.8947368421052632,False,False,0.0,0.35185185185185186,0.0,1.0,0.0,0.0,0.0,0.0,False,0.7428571428571429,0.2763157894736842,0.9473684210526316,0.6555137844611528,0.7798950501253133,False,0.7465487979207244,0.9970113086920716,0.4942648173225071,54,300,True,False
gemma-3-4b-it,memory,54,19,1.0,1.0,1.0,16,0.8500000000000001,0.8,0.5424861137461433,19,0.6578947368421053,0.7,0.301672370026127,4.759447505984181e-11,4.887590773008604e-06,0.75,8.712997176415485e-08,1.0,5.5907194210564046e-09,1.0,True,True,0.0,0.35185185185185186,0.0,1.0,0.0,0.0,0.0,0.0,False,0.9428571428571428,0.4375,1.0,0.793452380952381,0.8584194862155389,True,0.8240089390028527,0.9778510115735426,0.5041975157268417,54,300,True,False
gpt_4_1,static,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,0.84,1.0,0.688,0.015467502259060472,1.0,0.0,0.04099846682716705,0.16,0.04099846682716705,0.16,False,False,0.05333333333333334,0.3333333333333333,0.0,1.0,0.0,0.0,0.16,0.0,False,0.54,0.5,0.58,0.54,0.5266666666666667,False,-0.21381455399061067,0.0,0.2873623317481033,75,300,False,False
gpt_4_1,memory,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,0.96,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gpt_4_1_mini,static,75,25,0.884,1.0,0.6998031847036724,25,1.0,1.0,0.9840000000000001,25,1.0,1.0,0.9123153618191142,0.000500568924092382,0.0051044062076510055,-0.28,1.0,0.0,0.0051044062076510055,-0.28,False,False,0.04,0.24,0.12,0.72,0.0,0.0,0.0,0.0,False,0.36,0.43,0.43,0.4066666666666667,0.5773333333333333,False,0.16137782128051525,0.8292529774928438,0.3527638801637397,75,300,False,False
gpt_4_1_mini,memory,75,25,1.0,1.0,0.9881545094525983,25,1.0,1.0,0.9840000000000001,25,1.0,1.0,0.9279999999999999,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gpt_4o,static,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,0.9881641846570207,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gpt_4o,memory,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gpt_4o_mini,static,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gpt_4o_mini,memory,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,0.8,1.0,0.5800786136136292,0.000500568924092382,1.0,0.0,0.0051044062076510055,0.28,0.0051044062076510055,0.28,False,False,0.04,0.3333333333333333,0.0,1.0,0.0,0.0,0.12,0.0,False,0.5700000000000001,0.46,0.64,0.5566666666666666,0.5506666666666667,False,-0.3062083333333332,0.9419181540501307,0.26053545037687825,75,300,False,False
gpt_5_4,static,75,25,0.972,1.0,0.9397938725529251,25,1.0,1.0,0.9692726365727176,25,1.0,1.0,0.9345586010788319,0.04585863434303195,0.08112479188354836,-0.12,1.0,0.0,0.08112479188354836,-0.12,False,False,0.04,0.29333333333333333,0.12,0.88,0.0,0.0,0.0,0.0,False,0.44,0.47,0.47,0.45999999999999996,0.524,False,-0.2712799747580965,0.0,0.3176110420171995,75,300,False,False
gpt_5_4,memory,75,25,1.0,1.0,1.0,25,1.0,1.0,0.9636608094612705,25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
gpt_5_4_mini,static,75,25,0.98,1.0,0.9473325407824013,25,0.958,1.0,0.8882396786830697,25,0.7919999999999999,0.75,0.7003573882604792,4.930285905396919e-06,0.3800108926497501,0.08320000000000001,0.00028227291272417415,0.5296,2.9078686676630096e-05,0.592,False,False,0.02666666666666667,0.30666666666666664,0.08,0.92,0.0,0.0,0.0,0.0,False,0.6688000000000001,0.38839999999999997,0.7804,0.6125333333333333,0.6421333333333333,False,0.5085919636617752,0.8083589650965125,0.3372997951489624,75,300,True,False
gpt_5_4_mini,memory,75,25,0.9940000000000001,1.0,0.9792548388939767,25,0.858,0.75,0.7746300837332545,25,0.7559999999999999,1.0,0.659028323367222,0.0008266072330404485,4.132771466314067e-05,0.5424000000000001,1.0,0.0015999999999999903,0.0038370376702862932,0.3344,False,False,0.013333333333333334,0.41333333333333333,0.04,0.96,0.0,0.0,0.0,0.28,False,0.7192,0.6512000000000001,0.5839999999999999,0.6514666666666666,0.6330666666666667,False,-0.012534244687395057,1.0,0.30073651417784175,75,300,False,False
gpt_5_mini,static,75,25,0.8967999999999999,0.9,0.8281270197535889,25,0.7879999999999999,0.8,0.5805723313898492,25,0.6920000000000001,0.7,0.4551177498698062,2.0816625549223517e-09,2.3572448022012922e-05,0.6752,0.0023457665408682595,0.48960000000000004,4.746656318990562e-09,0.9391999999999999,True,True,0.28,0.30666666666666664,0.8,0.88,0.04,0.04,0.0,0.0,False,0.9036,0.5464,0.8572000000000001,0.7690666666666667,0.7528,False,0.42774783651346326,1.0,0.37592931318571754,75,300,False,False
gpt_5_mini,memory,75,25,0.998,1.0,0.9891617378253901,25,0.786,0.75,0.5824253086412099,25,0.6399999999999999,0.5,0.4251051871247491,9.071894609924105e-07,8.20645803010217e-08,0.792,0.09277453183188628,0.2736,1.9039571559134052e-05,0.584,True,False,0.013333333333333334,0.4,0.0,1.0,0.04,0.04,0.0,0.16,False,0.844,0.6608,0.7144,0.7397333333333332,0.7405333333333334,False,0.4361322697603156,0.8847977067416608,0.3876920397266911,75,300,False,False
POOLED,static,1329,444,0.9116441441441442,1.0,0.8747604496055899,441,0.9173469387755102,1.0,0.8657696324336926,444,0.8497747747747747,1.0,0.736099238677292,2.0030469471021035e-05,0.017890417881462884,-0.07075953504524932,3.3726819012345746e-06,0.14319421462278606,0.018638917127679736,0.07572944566187809,False,False,0.08878856282919488,0.2708803611738149,0.17567567567567569,0.786036036036036,0.024943310657596373,0.024943310657596373,0.06531531531531531,0.0,False,0.5013666208581463,0.449634583563155,0.5546737415381483,0.5018916486531498,0.531307736019197,False,0.007160323050868778,0.5937791270962194,0.17335083952161703,1329,300,False,False
POOLED,memory,1329,444,0.9272522522522524,1.0,0.9136938048375635,441,0.9129251700680273,1.0,0.8668626963664628,444,0.827927927927928,1.0,0.717387677682014,0.00016473910592632542,0.08963243581974399,0.049401442258585115,0.011588499510384079,0.07832322118036406,4.222869943395978e-05,0.12222526580634688,False,False,0.08502633559066967,0.3077501881113619,0.0990990990990991,0.8198198198198198,0.07709750566893424,0.07709750566893424,0.07882882882882883,0.024774774774774775,False,0.5429683921209344,0.5188926171069028,0.5501743268692422,0.5373451120323597,0.5263468039698871,False,0.00952562899727516,0.8428114196335306,0.2597988425255062,1329,300,False,False
POOLED,both,2658,888,0.9194481981981982,1.0,0.8942271272215767,882,0.9151360544217687,1.0,0.8663161644000776,888,0.8388513513513514,1.0,0.726743458179653,2.2214625196600452e-07,0.6350989044146552,-0.009897652754795594,6.849852018137482e-07,0.10854987640701924,9.098560280296148e-06,0.09754560303546791,False,False,0.08690744920993228,0.28931527464258844,0.1373873873873874,0.8029279279279279,0.05102040816326531,0.05102040816326531,0.07207207207207207,0.012387387387387387,False,0.52200304117677,0.4849833890012461,0.5515145442052222,0.5195003247944127,0.5267920145442341,False,0.007083249236075062,0.7857764881088533,0.09441089372954627,2658,300,False,False
