model,agent_type,scenario,n_runs,n_ISFJ,c1_mean_ISFJ,c1_median_ISFJ,c1to5_mean_ISFJ,n_INTJ,c1_mean_INTJ,c1_median_INTJ,c1to5_mean_INTJ,n_ENTJ,c1_mean_ENTJ,c1_median_ENTJ,c1to5_mean_ENTJ,kw_p,mwu_p_ISFJ_vs_INTJ,cliff_ISFJ_vs_INTJ,mwu_p_INTJ_vs_ENTJ,cliff_INTJ_vs_ENTJ,mwu_p_ISFJ_vs_ENTJ,cliff_ISFJ_vs_ENTJ,ordering_medians_cons_gt_bal_gt_aggr,crit_ordering_pass,band_hit_all,point_hit_all,band_hit_ISFJ,point_hit_ISFJ,band_hit_INTJ,point_hit_INTJ,band_hit_ENTJ,point_hit_ENTJ,crit_band_pass,auc_ovr_ISFJ,auc_ovr_INTJ,auc_ovr_ENTJ,auc_ovr_macro,auc_lr_cv_macro,crit_auc_pass,rf_r2_oof,rf_persona_share,rf_null_persona_share,rf_n_runs,rf_n_trees,crit_surrogate_pass,gate_pass
Qwen2.5-7B-Instruct,memory,bull_trap,15,5,0.5,0.5,0.4969826797707708,5,0.6,0.5,0.5170460168869057,5,0.0,0.0,0.0,0.001776103545734378,0.4237107971667934,-0.2,0.005583616806378765,1.0,0.003976751709788651,1.0,False,False,0.6,0.26666666666666666,0.0,0.0,0.8,0.8,1.0,0.0,False,0.7,0.65,1.0,0.7833333333333333,0.86,True,0.7857837837837839,1.0,,15,100,True,False
Qwen2.5-7B-Instruct,memory,crash,45,15,0.5,0.5,0.49814202865438273,15,0.5,0.5,0.488213891758895,15,0.0,0.0,0.0,2.7894680928689153e-10,1.0,0.0,8.265685662204696e-08,1.0,8.265685662204696e-08,1.0,False,False,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,False,0.75,0.75,1.0,0.8333333333333334,0.8333333333333334,True,1.0,1.0,,45,100,True,False
claude_haiku_4_5,static,flat,15,5,1.0,1.0,0.939269032717327,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
claude_haiku_4_5,static,bull_trap,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
claude_haiku_4_5,static,crash,45,15,1.0,1.0,0.9537305632071169,15,1.0,1.0,1.0,15,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,45,100,False,False
claude_haiku_4_5,memory,flat,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
claude_haiku_4_5,memory,bull_trap,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
claude_haiku_4_5,memory,crash,45,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,45,100,False,False
claude_opus_4_6,static,flat,15,5,0.77,0.75,0.691672727835128,5,0.85,0.75,0.7690696987515966,5,0.8,0.75,0.5711665077909291,0.6270890852730551,0.4385780260809998,-0.28,0.6004712601233854,0.2,1.0,-0.04000000000000001,False,False,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.42,0.38,0.54,0.4466666666666667,0.37999999999999995,False,0.10249441964285777,0.025259430642969115,,15,100,False,False
claude_opus_4_6,static,bull_trap,15,5,0.75,0.75,0.7043160289883763,5,0.85,0.75,0.8490392401326234,5,0.75,0.75,0.5911378340541795,0.11603700224776009,0.17701598287480413,-0.4,0.17701598287480413,0.4,1.0,0.0,False,False,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.4,0.3,0.6,0.4333333333333333,0.5533333333333333,False,-0.09275000000000033,1.0,,15,100,False,False
claude_opus_4_6,static,crash,45,15,0.75,0.75,0.681378842446757,15,0.8,0.75,0.7110393942871881,15,0.7,0.75,0.5432298265477594,0.012277339903068805,0.079231118469792,-0.2,0.017379154939552874,0.36,0.079231118469792,0.2,False,False,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.5,0.36000000000000004,0.64,0.5,0.5496296296296297,False,0.041233333333333455,0.9999999999999981,,45,100,False,False
claude_opus_4_6,memory,flat,15,5,0.79,0.75,0.677447294838673,5,0.75,0.75,0.710384970076136,5,0.85,0.75,0.801968060735587,0.361798928839963,1.0,0.0,0.17701598287480413,-0.4,0.40278369424647564,-0.32,False,False,0.26666666666666666,0.06666666666666667,0.8,0.2,0.0,0.0,0.0,0.0,False,0.42000000000000004,0.6000000000000001,0.31999999999999995,0.4466666666666666,0.42,False,-0.2240937500000002,0.3692450680167203,,15,100,False,False
claude_opus_4_6,memory,bull_trap,15,5,0.7,0.7,0.6682423989552129,5,0.8,0.75,0.7871475324487065,5,0.85,0.75,0.8224083245042644,0.003919988077389482,0.005583616806378765,-1.0,0.6004712601233854,-0.2,0.006501702373081825,-1.0,False,False,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.19999999999999998,0.16666666666666666,0.6733333333333333,False,0.13453681818181729,1.0,,15,100,False,False
claude_opus_4_6,memory,crash,45,15,0.7099999999999999,0.7,0.6620483913429625,15,0.75,0.75,0.6788877722910478,15,0.8333333333333334,0.75,0.8066658365654871,4.2275602885217475e-07,1.228087167486194e-05,-0.8,0.017491599749621257,-0.3333333333333333,1.2915302563467657e-05,-0.8666666666666667,False,False,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.08333333333333334,0.3833333333333333,0.19999999999999998,0.2222222222222222,0.6866666666666666,False,0.1421255837224824,1.0,,45,100,False,False
claude_sonnet_4_6,static,flat,15,5,0.65,0.6,0.48264753323727483,5,0.75,0.75,0.5180246595359044,5,0.7,0.6,0.46197364260305596,0.06956875931672425,0.02315095198524634,-0.8,0.11369260618551544,0.6000000000000001,1.0,-0.03999999999999998,False,False,0.13333333333333333,0.0,0.4,0.0,0.0,0.0,0.0,0.0,False,0.29000000000000004,0.14999999999999997,0.64,0.36000000000000004,0.5266666666666666,False,0.06609242424242612,0.8190597476503683,,15,100,False,False
claude_sonnet_4_6,static,bull_trap,15,5,0.6,0.6,0.4471582813385918,5,0.7300000000000001,0.75,0.5340190670646557,5,0.62,0.6,0.49557764314703895,0.0032906615128961707,0.006501702373081825,-1.0,0.01491457728489247,0.92,0.4237107971667934,-0.2,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.019999999999999997,0.68,0.3,0.7799999999999999,False,0.5454458333333319,1.0,,15,100,True,False
claude_sonnet_4_6,static,crash,45,15,0.6199999999999999,0.6,0.46520484960763375,15,0.73,0.75,0.46552579292132734,15,0.6199999999999999,0.6,0.4735637792401076,2.728658063932341e-07,5.453765562156797e-06,-0.92,5.453765562156797e-06,0.92,1.0,0.0,False,False,0.06666666666666667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,False,0.27,0.039999999999999994,0.73,0.3466666666666667,0.7681481481481481,False,0.6001264044943893,0.997667553117383,,45,100,True,False
claude_sonnet_4_6,memory,flat,15,5,0.62,0.6,0.555752940829143,5,0.75,0.75,0.5194733589056539,5,0.7,0.5,0.48711028567169545,0.1546382645492548,0.005583616806378765,-1.0,0.6501474440948545,0.19999999999999996,0.6612572218537374,0.19999999999999996,False,False,0.06666666666666667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,False,0.30000000000000004,0.19999999999999996,0.6,0.3666666666666667,0.5,False,0.20546723646723586,0.5185666378879441,,15,100,False,False
claude_sonnet_4_6,memory,bull_trap,15,5,0.6,0.6,0.5616586842634714,5,0.7,0.75,0.5415834314338472,5,0.5,0.5,0.48113524028484783,0.008761626328090853,0.10596880912720232,-0.6000000000000001,0.019964453305216043,0.8,0.003976751709788651,1.0,False,False,0.06666666666666667,0.06666666666666667,0.0,0.0,0.2,0.2,0.0,0.0,False,0.6,0.15000000000000002,0.9500000000000001,0.5666666666666668,0.7066666666666667,False,0.2828666666666666,1.0,,15,100,False,False
claude_sonnet_4_6,memory,crash,45,15,0.5999999999999999,0.6,0.5599570823466228,15,0.5933333333333333,0.6,0.4266959289347627,15,0.6,0.5,0.5900151396540471,0.04108021722892326,0.4943298831306563,0.13333333333333336,0.3723463429733824,0.17333333333333334,0.002028034795914204,0.6000000000000001,False,False,0.2222222222222222,0.2222222222222222,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,False,0.6833333333333335,0.44666666666666666,0.6933333333333334,0.6077777777777779,0.3955555555555556,False,-0.5256106557377054,,,45,100,False,False
deepseek_chat,static,flat,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,0.967756368778938,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
deepseek_chat,static,bull_trap,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
deepseek_chat,static,crash,45,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,45,100,False,False
deepseek_chat,memory,flat,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
deepseek_chat,memory,bull_trap,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
deepseek_chat,memory,crash,45,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,45,100,False,False
gemini_2_5_flash,static,flat,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemini_2_5_flash,static,bull_trap,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemini_2_5_flash,static,crash,45,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,0.9603501217469912,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,45,100,False,False
gemini_2_5_flash,memory,flat,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemini_2_5_flash,memory,bull_trap,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,0.96,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemini_2_5_flash,memory,crash,45,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,45,100,False,False
gemini_2_5_pro,static,flat,15,5,0.96,1.0,0.9319536739231518,5,1.0,1.0,1.0,5,1.0,1.0,1.0,0.36787944117144245,0.4237107971667934,-0.2,1.0,0.0,0.4237107971667934,-0.2,False,False,0.06666666666666667,0.26666666666666666,0.2,0.8,0.0,0.0,0.0,0.0,False,0.4,0.45,0.45,0.43333333333333335,0.5,False,-0.14717857142857316,,,15,100,False,False
gemini_2_5_pro,static,bull_trap,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemini_2_5_pro,static,crash,45,15,0.9833333333333333,1.0,0.9514996161671562,15,1.0,1.0,1.0,15,1.0,1.0,1.0,0.367879441171463,0.35064788970445904,-0.06666666666666667,1.0,0.0,0.35064788970445904,-0.06666666666666667,False,False,0.022222222222222223,0.3111111111111111,0.06666666666666667,0.9333333333333333,0.0,0.0,0.0,0.0,False,0.4666666666666667,0.48333333333333334,0.48333333333333334,0.4777777777777778,0.5,False,-0.46311363636363634,4.119449241529232e-15,,45,100,False,False
gemini_2_5_pro,memory,flat,15,5,1.0,1.0,0.9388658411575083,5,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemini_2_5_pro,memory,bull_trap,15,5,0.9199999999999999,1.0,0.8806210502947757,5,1.0,1.0,1.0,5,1.0,1.0,1.0,0.11603700224776009,0.17701598287480413,-0.4,1.0,0.0,0.17701598287480413,-0.4,False,False,0.13333333333333333,0.2,0.4,0.6,0.0,0.0,0.0,0.0,False,0.3,0.4,0.4,0.3666666666666667,0.5533333333333333,False,-0.35023076923077423,0.9999999999999829,,15,100,False,False
gemini_2_5_pro,memory,crash,45,15,0.9866666666666667,1.0,0.9284485801962086,15,1.0,1.0,1.0,15,1.0,1.0,1.0,0.367879441171463,0.35064788970445904,-0.06666666666666667,1.0,0.0,0.35064788970445904,-0.06666666666666667,False,False,0.022222222222222223,0.3111111111111111,0.06666666666666667,0.9333333333333333,0.0,0.0,0.0,0.0,False,0.4666666666666667,0.48333333333333334,0.48333333333333334,0.4777777777777778,0.5,False,-0.6309431818181939,0.0,,45,100,False,False
gemini_3_1_pro_preview,static,flat,15,5,0.96,1.0,0.9060638141759142,5,1.0,1.0,0.9755563311251587,5,0.9099999999999999,1.0,0.8202553881858494,0.27116853548018355,0.17701598287480413,-0.4,0.17971249487899976,0.4,0.72305812692811,0.16000000000000003,False,False,0.13333333333333333,0.3333333333333333,0.4,1.0,0.0,0.0,0.0,0.0,False,0.43999999999999995,0.3,0.6399999999999999,0.45999999999999996,0.4333333333333333,False,-0.3386254416961114,1.0,,15,100,False,False
gemini_3_1_pro_preview,static,bull_trap,15,5,0.93,0.9,0.9204403427910386,5,1.0,1.0,1.0,5,1.0,1.0,0.8889156100886165,0.006737946999085468,0.02315095198524634,-0.8,1.0,0.0,0.02315095198524634,-0.8,False,False,0.2,0.3333333333333333,0.6,1.0,0.0,0.0,0.0,0.0,False,0.1,0.3,0.3,0.2333333333333333,0.7133333333333333,False,0.3712534246575355,0.9999999999999998,,15,100,False,False
gemini_3_1_pro_preview,static,crash,45,15,0.9033333333333334,0.9,0.8812833139234749,15,0.9366666666666668,1.0,0.8744650748806344,15,0.8000000000000002,0.75,0.7164353565165054,0.008029570478984548,0.06994034664654501,-0.3688888888888889,0.010129781591303235,0.5155555555555555,0.01722875388010001,0.5022222222222221,False,False,0.28888888888888886,0.26666666666666666,0.8666666666666667,0.8,0.0,0.0,0.0,0.0,False,0.5333333333333333,0.27888888888888885,0.7544444444444445,0.5222222222222223,0.6407407407407407,False,-0.02182050243111755,0.9999999999999978,,45,100,False,False
gemini_3_1_pro_preview,memory,flat,15,5,1.0,1.0,0.9045259660207694,5,1.0,1.0,1.0,5,1.0,1.0,0.8798406155537235,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemini_3_1_pro_preview,memory,bull_trap,15,5,0.9399999999999998,0.9,0.9298952156197258,5,1.0,1.0,1.0,5,1.0,1.0,0.7245956011124033,0.030197383422318487,0.06679806847513828,-0.6,1.0,0.0,0.06679806847513828,-0.6,False,False,0.2,0.3333333333333333,0.6,1.0,0.0,0.0,0.0,0.0,False,0.2,0.35,0.35,0.3,0.62,False,-0.13145833333332657,1.0,,15,100,False,False
gemini_3_1_pro_preview,memory,crash,45,15,0.9066666666666667,0.9,0.9003397264259314,15,0.9833333333333333,1.0,0.9801935717768059,15,1.0,1.0,0.9303458584091755,2.5319939259347343e-06,0.00036273769580194803,-0.68,0.35064788970445904,-0.06666666666666667,1.7568023070433122e-05,-0.8,False,False,0.26666666666666666,0.28888888888888886,0.8,0.8666666666666667,0.0,0.0,0.0,0.0,False,0.13,0.3466666666666667,0.2833333333333333,0.25333333333333335,0.7303703703703704,False,0.023288461538462313,0.9745051580561125,,45,100,False,False
gemma-2-9b-it,static,flat,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,0.5622601547080203,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemma-2-9b-it,static,bull_trap,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,0.5546208663482111,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemma-2-9b-it,static,crash,45,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,0.6032062754858768,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,45,100,False,False
gemma-2-9b-it,memory,flat,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,0.4070014634317455,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemma-2-9b-it,memory,bull_trap,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,1.0,1.0,0.40518899615648907,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,15,100,False,False
gemma-2-9b-it,memory,crash,45,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,0.40867158361996764,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,45,100,False,False
gemma-3-4b-it,static,flat,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,0.76,0.8,0.4213309391097234,0.0011936144399564298,1.0,0.0,0.006501702373081825,1.0,0.006501702373081825,1.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.75,0.25,1.0,0.6666666666666666,0.8333333333333334,True,0.8504313725490225,1.0,,15,100,True,False
gemma-3-4b-it,static,bull_trap,15,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,0.8200000000000001,0.8,0.45437508386854353,0.006737946999085468,1.0,0.0,0.02315095198524634,0.8,0.02315095198524634,0.8,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.7000000000000001,0.3,0.9,0.6333333333333333,0.7133333333333333,False,0.46573717948718185,0.9999999999999993,,15,100,False,False
