family,model,agent_type,persona,n,p_buy,p_sell,p_hold,chi2_p
mbti,gemini_2_5_pro,static,ISFJ,25,0.08,0.0,0.92,0.12811915872753918
mbti,gemini_2_5_pro,static,INTJ,25,0.0,0.0,1.0,0.12811915872753918
mbti,gemini_2_5_pro,static,ENTJ,25,0.0,0.0,1.0,0.12811915872753918
mbti,gemini_2_5_pro,memory,ISFJ,25,0.12,0.0,0.88,0.0439369336234074
mbti,gemini_2_5_pro,memory,INTJ,25,0.0,0.0,1.0,0.0439369336234074
mbti,gemini_2_5_pro,memory,ENTJ,25,0.0,0.0,1.0,0.0439369336234074
mbti,gemini_2_5_pro,both,ISFJ,50,0.1,0.0,0.9,0.005670863993169139
mbti,gemini_2_5_pro,both,INTJ,50,0.0,0.0,1.0,0.005670863993169139
mbti,gemini_2_5_pro,both,ENTJ,50,0.0,0.0,1.0,0.005670863993169139
mbti,gemini_3_1_pro_preview,static,ISFJ,25,0.76,0.0,0.24,0.00010786658866104493
mbti,gemini_3_1_pro_preview,static,INTJ,25,0.16,0.0,0.84,0.00010786658866104493
mbti,gemini_3_1_pro_preview,static,ENTJ,25,0.52,0.0,0.48,0.00010786658866104493
mbti,gemini_3_1_pro_preview,memory,ISFJ,25,0.6,0.0,0.4,5.243082336305818e-08
mbti,gemini_3_1_pro_preview,memory,INTJ,25,0.04,0.0,0.96,5.243082336305818e-08
mbti,gemini_3_1_pro_preview,memory,ENTJ,25,0.0,0.0,1.0,5.243082336305818e-08
mbti,gemini_3_1_pro_preview,both,ISFJ,50,0.68,0.0,0.32,2.4933101517864566e-09
mbti,gemini_3_1_pro_preview,both,INTJ,50,0.1,0.0,0.9,2.4933101517864566e-09
mbti,gemini_3_1_pro_preview,both,ENTJ,50,0.26,0.0,0.74,2.4933101517864566e-09
mbti,gemma-2-9b-it,static,ISFJ,25,0.0,0.0,1.0,
mbti,gemma-2-9b-it,static,INTJ,25,0.0,0.0,1.0,
mbti,gemma-2-9b-it,static,ENTJ,25,0.0,0.0,1.0,
mbti,gemma-2-9b-it,memory,ISFJ,25,0.0,0.0,1.0,
mbti,gemma-2-9b-it,memory,INTJ,25,0.0,0.0,1.0,
mbti,gemma-2-9b-it,memory,ENTJ,25,0.0,0.0,1.0,
mbti,gemma-2-9b-it,both,ISFJ,50,0.0,0.0,1.0,
mbti,gemma-2-9b-it,both,INTJ,50,0.0,0.0,1.0,
mbti,gemma-2-9b-it,both,ENTJ,50,0.0,0.0,1.0,
mbti,gemma-3-4b-it,static,ISFJ,19,0.0,0.0,1.0,1.1898037065469945e-10
mbti,gemma-3-4b-it,static,INTJ,16,0.0,0.0,1.0,1.1898037065469945e-10
mbti,gemma-3-4b-it,static,ENTJ,19,0.8947368421052632,0.0,0.10526315789473684,1.1898037065469945e-10
mbti,gemma-3-4b-it,memory,ISFJ,19,0.0,0.0,1.0,8.675416066002839e-10
mbti,gemma-3-4b-it,memory,INTJ,16,0.75,0.0,0.25,8.675416066002839e-10
mbti,gemma-3-4b-it,memory,ENTJ,19,1.0,0.0,0.0,8.675416066002839e-10
mbti,gemma-3-4b-it,both,ISFJ,38,0.0,0.0,1.0,6.460479836731841e-16
mbti,gemma-3-4b-it,both,INTJ,32,0.375,0.0,0.625,6.460479836731841e-16
mbti,gemma-3-4b-it,both,ENTJ,38,0.9473684210526315,0.0,0.05263157894736842,6.460479836731841e-16
mbti,gpt_4_1,static,ISFJ,25,0.0,0.0,1.0,0.014620185850393881
mbti,gpt_4_1,static,INTJ,25,0.0,0.0,1.0,0.014620185850393881
mbti,gpt_4_1,static,ENTJ,25,0.16,0.0,0.84,0.014620185850393881
mbti,gpt_4_1,memory,ISFJ,25,0.0,0.0,1.0,
mbti,gpt_4_1,memory,INTJ,25,0.0,0.0,1.0,
mbti,gpt_4_1,memory,ENTJ,25,0.0,0.0,1.0,
mbti,gpt_4_1,both,ISFJ,50,0.0,0.0,1.0,0.016414518833052383
mbti,gpt_4_1,both,INTJ,50,0.0,0.0,1.0,0.016414518833052383
mbti,gpt_4_1,both,ENTJ,50,0.08,0.0,0.92,0.016414518833052383
mbti,gpt_4_1_mini,static,ISFJ,25,0.28,0.0,0.72,0.000443599586207427
mbti,gpt_4_1_mini,static,INTJ,25,0.0,0.0,1.0,0.000443599586207427
mbti,gpt_4_1_mini,static,ENTJ,25,0.0,0.0,1.0,0.000443599586207427
mbti,gpt_4_1_mini,memory,ISFJ,25,0.0,0.0,1.0,
mbti,gpt_4_1_mini,memory,INTJ,25,0.0,0.0,1.0,
mbti,gpt_4_1_mini,memory,ENTJ,25,0.0,0.0,1.0,
mbti,gpt_4_1_mini,both,ISFJ,50,0.14,0.0,0.86,0.000647328060904927
mbti,gpt_4_1_mini,both,INTJ,50,0.0,0.0,1.0,0.000647328060904927
mbti,gpt_4_1_mini,both,ENTJ,50,0.0,0.0,1.0,0.000647328060904927
mbti,gpt_4o,static,ISFJ,25,0.0,0.0,1.0,
mbti,gpt_4o,static,INTJ,25,0.0,0.0,1.0,
mbti,gpt_4o,static,ENTJ,25,0.0,0.0,1.0,
mbti,gpt_4o,memory,ISFJ,25,0.0,0.0,1.0,
mbti,gpt_4o,memory,INTJ,25,0.0,0.0,1.0,
mbti,gpt_4o,memory,ENTJ,25,0.0,0.0,1.0,
mbti,gpt_4o,both,ISFJ,50,0.0,0.0,1.0,
mbti,gpt_4o,both,INTJ,50,0.0,0.0,1.0,
mbti,gpt_4o,both,ENTJ,50,0.0,0.0,1.0,
mbti,gpt_4o_mini,static,ISFJ,25,0.0,0.0,1.0,
mbti,gpt_4o_mini,static,INTJ,25,0.0,0.0,1.0,
mbti,gpt_4o_mini,static,ENTJ,25,0.0,0.0,1.0,
mbti,gpt_4o_mini,memory,ISFJ,25,0.0,0.0,1.0,0.00044359958620742736
mbti,gpt_4o_mini,memory,INTJ,25,0.0,0.0,1.0,0.00044359958620742736
mbti,gpt_4o_mini,memory,ENTJ,25,0.28,0.0,0.72,0.00044359958620742736
mbti,gpt_4o_mini,both,ISFJ,50,0.0,0.0,1.0,0.0006473280609049271
mbti,gpt_4o_mini,both,INTJ,50,0.0,0.0,1.0,0.0006473280609049271
mbti,gpt_4o_mini,both,ENTJ,50,0.14,0.0,0.86,0.0006473280609049271
mbti,gpt_5_4,static,ISFJ,25,0.12,0.0,0.88,0.0439369336234074
mbti,gpt_5_4,static,INTJ,25,0.0,0.0,1.0,0.0439369336234074
mbti,gpt_5_4,static,ENTJ,25,0.0,0.0,1.0,0.0439369336234074
mbti,gpt_5_4,memory,ISFJ,25,0.0,0.0,1.0,
mbti,gpt_5_4,memory,INTJ,25,0.0,0.0,1.0,
mbti,gpt_5_4,memory,ENTJ,25,0.0,0.0,1.0,
mbti,gpt_5_4,both,ISFJ,50,0.06,0.0,0.94,0.04683031685241959
mbti,gpt_5_4,both,INTJ,50,0.0,0.0,1.0,0.04683031685241959
mbti,gpt_5_4,both,ENTJ,50,0.0,0.0,1.0,0.04683031685241959
mbti,gpt_5_4_mini,static,ISFJ,25,0.08,0.0,0.92,1.5674665097727875e-05
mbti,gpt_5_4_mini,static,INTJ,25,0.16,0.0,0.84,1.5674665097727875e-05
mbti,gpt_5_4_mini,static,ENTJ,25,0.64,0.0,0.36,1.5674665097727875e-05
mbti,gpt_5_4_mini,memory,ISFJ,25,0.04,0.0,0.96,0.00036911150990685945
mbti,gpt_5_4_mini,memory,INTJ,25,0.56,0.0,0.44,0.00036911150990685945
mbti,gpt_5_4_mini,memory,ENTJ,25,0.36,0.0,0.64,0.00036911150990685945
mbti,gpt_5_4_mini,both,ISFJ,50,0.06,0.0,0.94,6.9043341628588e-06
mbti,gpt_5_4_mini,both,INTJ,50,0.36,0.0,0.64,6.9043341628588e-06
mbti,gpt_5_4_mini,both,ENTJ,50,0.5,0.0,0.5,6.9043341628588e-06
mbti,gpt_5_mini,static,ISFJ,25,1.0,0.0,0.0,0.0439369336234074
mbti,gpt_5_mini,static,INTJ,25,0.88,0.0,0.12,0.0439369336234074
mbti,gpt_5_mini,static,ENTJ,25,1.0,0.0,0.0,0.0439369336234074
mbti,gpt_5_mini,memory,ISFJ,25,0.04,0.0,0.96,1.7739768888318137e-07
mbti,gpt_5_mini,memory,INTJ,25,0.8,0.0,0.2,1.7739768888318137e-07
mbti,gpt_5_mini,memory,ENTJ,25,0.6,0.0,0.4,1.7739768888318137e-07
mbti,gpt_5_mini,both,ISFJ,50,0.52,0.0,0.48,0.0005315663462362067
mbti,gpt_5_mini,both,INTJ,50,0.84,0.0,0.16,0.0005315663462362067
mbti,gpt_5_mini,both,ENTJ,50,0.8,0.0,0.2,0.0005315663462362067
mbti,POOLED,static,ISFJ,444,0.29954954954954954,0.0,0.7004504504504504,0.00010042367118313134
mbti,POOLED,static,INTJ,441,0.21768707482993196,0.0,0.782312925170068,0.00010042367118313134
mbti,POOLED,static,ENTJ,444,0.34684684684684686,0.0,0.6531531531531531,0.00010042367118313134
mbti,POOLED,memory,ISFJ,444,0.21171171171171171,0.0,0.7882882882882883,0.005415293515954834
mbti,POOLED,memory,INTJ,441,0.2698412698412698,0.0,0.7301587301587301,0.005415293515954834
mbti,POOLED,memory,ENTJ,444,0.3063063063063063,0.0,0.6936936936936937,0.005415293515954834
mbti,POOLED,both,ISFJ,888,0.25563063063063063,0.0,0.7443693693693694,0.00013521292087740523
mbti,POOLED,both,INTJ,882,0.2437641723356009,0.0,0.7562358276643991,0.00013521292087740523
mbti,POOLED,both,ENTJ,888,0.32657657657657657,0.0,0.6734234234234234,0.00013521292087740523
ocean,claude-sonnet-4-6,static,O1_conservative,15,0.9333333333333333,0.0,0.06666666666666667,3.441127666339741e-05
ocean,claude-sonnet-4-6,static,O2_aggressive,15,0.8666666666666667,0.0,0.13333333333333333,3.441127666339741e-05
ocean,claude-sonnet-4-6,static,O3_conservative,5,0.0,0.0,1.0,3.441127666339741e-05
ocean,claude-sonnet-4-6,static,O3_aggressive,5,1.0,0.0,0.0,3.441127666339741e-05
ocean,claude-sonnet-4-6,memory,O1_conservative,15,0.8666666666666667,0.0,0.13333333333333333,0.0004492312897974796
ocean,claude-sonnet-4-6,memory,O2_aggressive,15,0.8,0.0,0.2,0.0004492312897974796
ocean,claude-sonnet-4-6,memory,O3_conservative,5,0.0,0.0,1.0,0.0004492312897974796
ocean,claude-sonnet-4-6,memory,O3_aggressive,5,1.0,0.0,0.0,0.0004492312897974796
ocean,claude-sonnet-4-6,both,O1_conservative,30,0.9,0.0,0.1,7.867608185430235e-09
ocean,claude-sonnet-4-6,both,O2_aggressive,30,0.8333333333333334,0.0,0.16666666666666666,7.867608185430235e-09
ocean,claude-sonnet-4-6,both,O3_conservative,10,0.0,0.0,1.0,7.867608185430235e-09
ocean,claude-sonnet-4-6,both,O3_aggressive,10,1.0,0.0,0.0,7.867608185430235e-09
ocean,gemini-2.5-flash,static,O1_conservative,15,0.0,0.0,1.0,4.657476451107795e-05
ocean,gemini-2.5-flash,static,O2_aggressive,15,0.0,0.0,1.0,4.657476451107795e-05
ocean,gemini-2.5-flash,static,O3_conservative,5,0.0,0.0,1.0,4.657476451107795e-05
ocean,gemini-2.5-flash,static,O3_aggressive,5,0.6,0.0,0.4,4.657476451107795e-05
ocean,gemini-2.5-flash,memory,O1_conservative,15,0.0,0.0,1.0,3.762628228931111e-07
ocean,gemini-2.5-flash,memory,O2_aggressive,15,0.06666666666666667,0.0,0.9333333333333333,3.762628228931111e-07
ocean,gemini-2.5-flash,memory,O3_conservative,5,0.0,0.0,1.0,3.762628228931111e-07
ocean,gemini-2.5-flash,memory,O3_aggressive,5,1.0,0.0,0.0,3.762628228931111e-07
ocean,gemini-2.5-flash,both,O1_conservative,30,0.0,0.0,1.0,9.716062517065526e-12
ocean,gemini-2.5-flash,both,O2_aggressive,30,0.03333333333333333,0.0,0.9666666666666667,9.716062517065526e-12
ocean,gemini-2.5-flash,both,O3_conservative,10,0.0,0.0,1.0,9.716062517065526e-12
ocean,gemini-2.5-flash,both,O3_aggressive,10,0.8,0.0,0.2,9.716062517065526e-12
ocean,gpt-4o-mini,static,O1_conservative,15,0.0,0.0,1.0,4.073424601204238e-05
ocean,gpt-4o-mini,static,O2_aggressive,15,0.5333333333333333,0.0,0.4666666666666667,4.073424601204238e-05
ocean,gpt-4o-mini,static,O3_conservative,5,0.0,0.0,1.0,4.073424601204238e-05
ocean,gpt-4o-mini,static,O3_aggressive,5,1.0,0.0,0.0,4.073424601204238e-05
ocean,gpt-4o-mini,memory,O1_conservative,15,0.0,0.0,1.0,0.01856613546304325
ocean,gpt-4o-mini,memory,O2_aggressive,15,0.4,0.0,0.6,0.01856613546304325
ocean,gpt-4o-mini,memory,O3_conservative,5,0.0,0.0,1.0,0.01856613546304325
ocean,gpt-4o-mini,memory,O3_aggressive,5,0.4,0.0,0.6,0.01856613546304325
ocean,gpt-4o-mini,both,O1_conservative,30,0.0,0.0,1.0,1.0400601185689511e-06
ocean,gpt-4o-mini,both,O2_aggressive,30,0.4666666666666667,0.0,0.5333333333333333,1.0400601185689511e-06
ocean,gpt-4o-mini,both,O3_conservative,10,0.0,0.0,1.0,1.0400601185689511e-06
ocean,gpt-4o-mini,both,O3_aggressive,10,0.7,0.0,0.3,1.0400601185689511e-06
ocean,POOLED,static,O1_conservative,45,0.3111111111111111,0.0,0.6888888888888889,9.884136226939445e-06
ocean,POOLED,static,O2_aggressive,45,0.4666666666666667,0.0,0.5333333333333333,9.884136226939445e-06
ocean,POOLED,static,O3_conservative,15,0.0,0.0,1.0,9.884136226939445e-06
ocean,POOLED,static,O3_aggressive,15,0.8666666666666667,0.0,0.13333333333333333,9.884136226939445e-06
ocean,POOLED,memory,O1_conservative,45,0.28888888888888886,0.0,0.7111111111111111,4.9309812934202015e-05
ocean,POOLED,memory,O2_aggressive,45,0.4222222222222222,0.0,0.5777777777777777,4.9309812934202015e-05
ocean,POOLED,memory,O3_conservative,15,0.0,0.0,1.0,4.9309812934202015e-05
ocean,POOLED,memory,O3_aggressive,15,0.8,0.0,0.2,4.9309812934202015e-05
ocean,POOLED,both,O1_conservative,90,0.3,0.0,0.7,1.738782488114524e-10
ocean,POOLED,both,O2_aggressive,90,0.4444444444444444,0.0,0.5555555555555556,1.738782488114524e-10
ocean,POOLED,both,O3_conservative,30,0.0,0.0,1.0,1.738782488114524e-10
ocean,POOLED,both,O3_aggressive,30,0.8333333333333334,0.0,0.16666666666666666,1.738782488114524e-10
