model,persona,agent_type,scenario,n_runs,seed,discount,path_variant,n_rows,n_fallback,fallback_frac,mean_cash_share,point_mas_v1,point_mas_v2,band_mas_v2,rel_mas,rg_v1,rg_v1_n,coverage_0.03,rg_0.03,rg_0.03_n,rg_action_0.03,rg_action_0.03_n,coverage_action_0.03,coverage_0.05,rg_0.05,rg_0.05_n,rg_action_0.05,rg_action_0.05_n,coverage_action_0.05,coverage_0.08,rg_0.08,rg_0.08_n,rg_action_0.08,rg_action_0.08_n,coverage_action_0.08,final_value,return_pct,max_drawdown_pct,trade_count,zero_trade,effective_trade_count,turnover,fallback_hold_rows,cash_share_day1,floor_rg_v1,ceil_rg_v1,norm_rg_v1,norm_degenerate_rg_v1,bl_always_hold_rg_v1,bl_random_rg_v1,bl_buy_day1_hold_rg_v1,bl_mco_0.05_rg_v1,floor_rg_0.03,ceil_rg_0.03,norm_rg_0.03,norm_degenerate_rg_0.03,floor_rg_0.05,ceil_rg_0.05,norm_rg_0.05,norm_degenerate_rg_0.05,bl_always_hold_rg_0.05,bl_random_rg_0.05,bl_buy_day1_hold_rg_0.05,bl_mco_0.05_rg_0.05,floor_rg_0.08,ceil_rg_0.08,norm_rg_0.08,norm_degenerate_rg_0.08,floor_rg_action_0.03,ceil_rg_action_0.03,norm_rg_action_0.03,norm_degenerate_rg_action_0.03,floor_rg_action_0.05,ceil_rg_action_0.05,norm_rg_action_0.05,norm_degenerate_rg_action_0.05,floor_rg_action_0.08,ceil_rg_action_0.08,norm_rg_action_0.08,norm_degenerate_rg_action_0.08,floor_return_pct,ceil_return_pct,norm_return_pct,norm_degenerate_return_pct,bl_always_hold_return_pct,bl_random_return_pct,bl_buy_day1_hold_return_pct,bl_mco_0.05_return_pct,floor_point_mas_v1,ceil_point_mas_v1,norm_point_mas_v1,norm_degenerate_point_mas_v1,floor_point_mas_v2,ceil_point_mas_v2,norm_point_mas_v2,norm_degenerate_point_mas_v2,floor_band_mas_v2,ceil_band_mas_v2,norm_band_mas_v2,norm_degenerate_band_mas_v2,beats_k_rg_v1,beats_n_rg_v1,beats_k_rg_0.05,beats_n_rg_0.05,beats_k_return_pct,beats_n_return_pct,beats_k_point_mas_v1,beats_n_point_mas_v1,beats_k_point_mas_v2,beats_n_point_mas_v2,beats_k_band_mas_v2,beats_n_band_mas_v2,beats_k_max_drawdown_pct,beats_n_max_drawdown_pct
Llama-3.1-8B-Instruct,INTJ,static,crash,15,481.8,0.9066666666666666,0.0,200.0,0.0,0.0,0.18747011962411855,0.3441545841742636,0.3441545841742636,0.25896661119953174,0.8125298803758815,98.76666666666667,200.0,0.9510000000000001,98.74686035080822,190.2,100.0,27.133333333333333,0.13566666666666669,0.8263333333333333,98.9363801589162,165.26666666666668,100.0,24.533333333333335,0.12266666666666667,0.554,99.02470622370521,110.8,100.0,16.066666666666666,0.08033333333333334,6705.413254548037,-32.94586745451963,-39.49082272555808,27.8,0.0,27.733333333333334,0.9999354026247061,0.0,1.0,100.0,93.2,,1.0,0.03333333333333333,63.29666666666666,100.0,93.2,100.0,93.05973381222364,,1.0,100.0,92.84135867692659,,1.0,0.0,63.515728676978675,100.0,92.84135867692659,100.0,95.61026498847518,,1.0,100.0,62.169941830114105,,1.0,89.29201666102304,62.169941830114105,1.9712960438022584,0.8,75.32015428264049,81.31024804818291,1.120865246435436,0.5333333333333333,0.0,-23.40266854191017,,1.0,0.0,-20.448496675639326,-38.312434921335495,-23.40266854191017,0.5,2.5535129566378604e-18,0.31169083165147277,0.0,0.5,2.5535129566378604e-18,0.31169083165147277,0.0,0.4,0.0,0.3525834720011707,0.0,7.8,11.0,7.666666666666667,11.0,2.6,11.0,7.266666666666667,11.0,7.266666666666667,11.0,7.266666666666667,11.0,3.0,11.0
Llama-3.1-8B-Instruct,INTJ,static,flat,5,481.8,,0.6,200.0,0.0,0.0,0.18016872874031428,0.3776387118956353,0.3776387118956353,0.2875501786001725,0.8198312712596858,90.1,200.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,10959.747421168062,9.597474211680609,-20.471898437114696,36.4,0.0,30.8,0.9999937414161177,0.0,1.0,99.7,50.8,,1.0,50.8,66.35,99.7,50.8,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,15.711665111563672,0.0,,1.0,0.0,7.167191253774142,14.052669714325333,0.0,0.5,9.992007221626408e-19,0.24472257620872936,0.0,0.5,9.992007221626408e-19,0.24472257620872936,0.0,0.4,0.0,0.28112455349956866,0.0,8.0,11.0,,0.0,6.8,11.0,8.2,11.0,8.2,11.0,8.2,11.0,2.4,11.0
Llama-3.1-8B-Instruct,ISFJ,memory,bull_trap,5,481.8,,0.0,200.0,0.0,0.0,0.881369915597244,0.11863008440275599,0.08629677000276728,0.005847773229406609,0.11863008440275599,97.2,200.0,0.59,97.63122108979364,118.0,33.71428571428571,3.8,0.019,0.579,97.75706950843066,115.8,33.71428571428571,3.8,0.019,0.568,97.70973769274175,113.6,33.71428571428571,3.8,0.019,11022.747739635855,10.227477396358564,-1.125824548875618,4.8,0.0,3.4,0.5712758457584799,0.0,1.0,99.7,79.3,,1.0,79.8,67.72,99.7,79.3,100.0,98.81768672341781,,1.0,100.0,99.13637985325826,,1.0,100.0,68.35912172119069,100.0,99.13637985325826,100.0,100.0,,1.0,62.593069743202236,0.0,,1.0,53.27032587958521,0.0,,1.0,53.25486617562318,,,1.0,119.76528319175335,6.31844914832498,,1.0,0.0,44.81461419729551,119.76528319175335,6.31844914832498,1.0,0.0,0.881369915597244,0.0,0.8,1.298960938811433e-17,0.8921290374965409,0.0,0.7,0.0,0.9916460382437048,0.0,9.0,11.0,2.2,11.0,5.6,11.0,5.4,11.0,10.0,11.0,10.0,11.0,5.6,11.0
Llama-3.1-8B-Instruct,ISFJ,memory,crash,15,481.8,0.9066666666666666,0.0,200.0,0.0,0.0,0.9120702430762464,0.08792975692375368,0.11207024307624627,0.018869981307314713,0.08792975692375368,96.5,200.0,0.9510000000000001,96.52785163921928,190.2,100.0,1.3333333333333333,0.006666666666666667,0.8263333333333333,96.39580729473,165.26666666666668,100.0,1.0,0.005,0.554,97.12868317531856,110.8,100.0,0.5333333333333333,0.0026666666666666666,9568.22127151929,-4.317787284807085,-5.258284497902938,1.4666666666666666,0.0,1.3333333333333333,0.13,0.0,1.0,100.0,94.93333333333334,,1.0,0.03333333333333333,63.29666666666666,100.0,94.93333333333334,100.0,94.83058092012243,,1.0,100.0,94.77620347636982,,1.0,0.0,63.515728676978675,100.0,94.77620347636982,100.0,96.54041268532141,,1.0,100.0,62.046864576013576,,1.0,89.29201666102304,62.046864576013576,,0.8,75.32015428264049,77.7338500087093,1.3203921967411034,0.6666666666666666,0.0,-11.811578969712974,,1.0,0.0,-20.448496675639326,-38.312434921335495,-11.811578969712974,1.0,0.0,0.9120702430762464,0.0,0.8,0.0,0.8599121961546922,0.0,0.7,0.0,0.9730428838466932,0.0,7.0,11.0,6.8,11.0,7.133333333333334,11.0,7.533333333333333,11.0,9.333333333333334,11.0,9.0,11.0,7.6,11.0
Llama-3.1-8B-Instruct,ISFJ,memory,flat,5,481.8,,0.6,200.0,0.0,0.0,0.8168427889231389,0.18315721107686106,0.12948692897557862,0.04340610879161526,0.18315721107686106,97.7,200.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,10127.522729801121,1.2752272980112245,-4.338546084284554,1.8,0.0,1.2,0.19,0.0,1.0,99.7,50.8,,1.0,50.8,66.35,99.7,50.8,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,15.711665111563672,0.0,,1.0,0.0,7.167191253774142,14.052669714325333,0.0,1.0,0.0,0.816842788923139,0.0,0.8,1.7652546091539986e-17,0.8381413387805268,0.0,0.7,0.0,0.9379912731548353,0.0,9.4,11.0,,0.0,5.6,11.0,5.4,11.0,9.0,11.0,9.0,11.0,5.8,11.0
Llama-3.1-8B-Instruct,ISFJ,static,bull_trap,5,481.8,,0.0,200.0,0.0,0.0,0.8236769731796901,0.17632302682030984,0.07300963926256757,0.006501490112747281,0.17632302682030984,98.2,200.0,0.59,99.49150107674534,118.0,25.0,0.6,0.003,0.579,99.65517241379311,115.8,25.0,0.6,0.003,0.568,99.64909580607926,113.6,25.0,0.6,0.003,11587.739736428153,15.877397364281544,-1.7216638906525141,2.0,0.0,2.0,0.20014515662650606,0.0,1.0,99.7,79.3,,1.0,79.8,67.72,99.7,79.3,100.0,98.81768672341781,,1.0,100.0,99.13637985325826,,1.0,100.0,68.35912172119069,100.0,99.13637985325826,100.0,100.0,,1.0,62.593069743202236,0.0,,1.0,53.27032587958521,0.0,,1.0,53.25486617562318,,,1.0,119.76528319175335,6.31844914832498,,1.0,0.0,44.81461419729551,119.76528319175335,6.31844914832498,1.0,0.0,0.8236769731796901,0.0,0.8,1.298960938811433e-17,0.9087379509217905,0.0,0.7,0.0,0.9907121569817896,0.0,9.0,11.0,3.0,11.0,6.4,11.0,5.0,11.0,10.0,11.0,10.0,11.0,5.4,11.0
Llama-3.1-8B-Instruct,ISFJ,static,crash,15,481.8,0.9066666666666666,0.0,200.0,0.0,0.0,0.8192438338998012,0.1807561661001989,0.0915202227544539,0.01404740908135761,0.1807561661001989,97.23333333333333,200.0,0.9510000000000001,97.20416486407764,190.2,100.0,4.0,0.02,0.8263333333333333,97.37135171959874,165.26666666666668,100.0,3.466666666666667,0.017333333333333333,0.554,97.95588831411948,110.8,100.0,2.466666666666667,0.012333333333333333,9314.866900300869,-6.851330996991314,-9.362290706300506,4.0,0.0,4.0,0.3385783,0.0,1.0,100.0,94.93333333333334,,1.0,0.03333333333333333,63.29666666666666,100.0,94.93333333333334,100.0,94.83058092012243,,1.0,100.0,94.77620347636982,,1.0,0.0,63.515728676978675,100.0,94.77620347636982,100.0,96.54041268532141,,1.0,100.0,62.046864576013576,,1.0,89.29201666102304,62.046864576013576,7.785944874225606,0.8,75.32015428264049,77.7338500087093,1.225012193882101,0.6666666666666666,0.0,-11.811578969712974,,1.0,0.0,-20.448496675639326,-38.312434921335495,-11.811578969712974,1.0,0.0,0.8192438338998012,0.0,0.8,0.0,0.8855997215569327,0.0,0.7,0.0,0.9799322727409177,0.0,7.133333333333334,11.0,7.0,11.0,6.6,11.0,6.6,11.0,9.666666666666666,11.0,9.0,11.0,6.866666666666666,11.0
Llama-3.1-8B-Instruct,ISFJ,static,flat,5,481.8,,0.6,200.0,0.0,0.0,0.7422313238705895,0.25776867612941046,0.13019392859373496,0.0546609908629281,0.25776867612941046,97.7,200.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,10342.043766671688,3.420437666716883,-6.933580656606518,4.0,0.0,4.0,0.40967200000000004,0.0,1.0,99.7,50.8,,1.0,50.8,66.35,99.7,50.8,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,15.711665111563672,0.0,,1.0,0.0,7.167191253774142,14.052669714325333,0.0,1.0,0.0,0.7422313238705895,0.0,0.8,1.7652546091539986e-17,0.8372575892578313,0.0,0.7,0.0,0.9219128701958169,0.0,9.0,11.0,,0.0,8.2,11.0,5.2,11.0,10.0,11.0,9.0,11.0,5.2,11.0
Qwen2.5-7B-Instruct,ENTJ,memory,bull_trap,5,481.8,,0.0,200.0,0.0,0.0,0.028999999999999998,0.21739999999999998,0.1232,0.023200000000000005,0.9709999999999999,23.0,200.0,0.59,4.062491486426578,118.0,3.723713506995241,117.6,0.588,0.579,3.9776164549304296,115.8,3.6330049261083746,115.4,0.577,0.568,4.083552579127801,113.6,3.7298043354713,113.2,0.5660000000000001,21982.741844638833,119.82741844638831,-9.090062118514599,195.0,0.0,12.2,17.799590404277204,0.0,0.0,99.7,79.3,,1.0,79.8,67.72,99.7,79.3,100.0,98.81768672341781,,1.0,100.0,99.13637985325826,,1.0,100.0,68.35912172119069,100.0,99.13637985325826,100.0,100.0,,1.0,62.593069743202236,0.0,,1.0,53.27032587958521,0.0,,1.0,53.25486617562318,,,1.0,119.76528319175335,63.278909526485634,,1.0,0.0,44.81461419729551,119.76528319175335,63.278909526485634,0.8,8.992806499463768e-18,0.7282500000000001,0.0,0.9000000000000001,6.036837696399288e-18,0.8631111111111112,0.0,0.8,0.0,0.9709999999999999,0.0,1.0,11.0,0.6,11.0,9.8,11.0,7.0,11.0,7.0,11.0,7.0,11.0,2.0,11.0
Qwen2.5-7B-Instruct,ENTJ,memory,crash,15,481.8,0.9066666666666666,0.0,200.0,0.0,0.0,0.2903333333333334,0.37420000000000003,0.33226666666666665,0.23226666666666668,0.7096666666666667,64.53333333333333,200.0,0.9510000000000001,63.63934393497204,190.2,62.65621285052939,185.26666666666668,0.9263333333333333,0.8263333333333333,61.074814250100026,165.26666666666668,59.95233235831804,161.0,0.805,0.554,56.69738590108629,110.8,55.3757790174157,108.0,0.5399999999999999,5418.79940944926,-45.8120059055074,-52.232561646118896,195.0,0.0,103.2,74.10665700423148,0.0,0.0,100.0,99.8,,1.0,0.03333333333333333,63.29666666666666,100.0,99.8,100.0,99.76690695226766,,1.0,100.0,100.0,,1.0,0.0,63.515728676978675,100.0,100.0,100.0,100.0,,1.0,100.0,100.0,,1.0,89.29201666102304,100.0,0.09285663347628574,0.8,75.32015428264049,100.0,,1.0,0.0,-38.0199552066869,,1.0,0.0,-20.448496675639326,-38.312434921335495,-38.0199552066869,0.8,6.781612308751998e-18,0.53225,0.0,0.9000000000000002,3.987551030112021e-18,0.6308148148148149,0.0,0.8,0.0,0.7096666666666668,0.0,4.733333333333333,11.0,4.466666666666667,11.0,1.1333333333333333,11.0,5.0,11.0,5.0,11.0,5.0,11.0,0.9333333333333333,11.0
