[refdist_fresh] 1/864 (15 s; ETA 12909 s)
[refdist_fresh] 96/864 (35 s; ETA 276 s)
[refdist_fresh] 97/864 (35 s; ETA 275 s)
[refdist_fresh] 98/864 (35 s; ETA 273 s)
[refdist_fresh] 99/864 (35 s; ETA 270 s)
[refdist_fresh] 100/864 (35 s; ETA 267 s)
[refdist_fresh] 101/864 (35 s; ETA 266 s)
[refdist_fresh] 102/864 (35 s; ETA 264 s)
[refdist_fresh] 103/864 (35 s; ETA 262 s)
[refdist_fresh] 104/864 (35 s; ETA 259 s)
[refdist_fresh] 105/864 (36 s; ETA 258 s)
[refdist_fresh] 106/864 (36 s; ETA 256 s)
[refdist_fresh] 107/864 (36 s; ETA 254 s)
[refdist_fresh] 108/864 (36 s; ETA 252 s)
[refdist_fresh] 109/864 (36 s; ETA 252 s)
[refdist_fresh] 110/864 (36 s; ETA 250 s)
[refdist_fresh] 111/864 (36 s; ETA 247 s)
[refdist_fresh] 112/864 (37 s; ETA 245 s)
[refdist_fresh] 113/864 (37 s; ETA 244 s)
[refdist_fresh] 114/864 (37 s; ETA 242 s)
[refdist_fresh] 115/864 (37 s; ETA 240 s)
[refdist_fresh] 116/864 (37 s; ETA 238 s)
[refdist_fresh] 117/864 (37 s; ETA 238 s)
[refdist_fresh] 118/864 (37 s; ETA 236 s)
[refdist_fresh] 119/864 (37 s; ETA 233 s)
[refdist_fresh] 120/864 (37 s; ETA 232 s)
[refdist_fresh] 121/864 (38 s; ETA 231 s)
[refdist_fresh] 122/864 (38 s; ETA 229 s)
[refdist_fresh] 123/864 (38 s; ETA 228 s)
[refdist_fresh] 124/864 (38 s; ETA 226 s)
[refdist_fresh] 125/864 (38 s; ETA 225 s)
[refdist_fresh] 126/864 (38 s; ETA 224 s)
[refdist_fresh] 127/864 (38 s; ETA 222 s)
[refdist_fresh] 128/864 (38 s; ETA 220 s)
[refdist_fresh] 129/864 (39 s; ETA 222 s)
[refdist_fresh] 130/864 (39 s; ETA 220 s)
[refdist_fresh] 131/864 (39 s; ETA 219 s)
[refdist_fresh] 132/864 (39 s; ETA 217 s)
[refdist_fresh] 133/864 (40 s; ETA 220 s)
[refdist_fresh] 134/864 (40 s; ETA 218 s)
[refdist_fresh] 135/864 (40 s; ETA 216 s)
[refdist_fresh] 136/864 (40 s; ETA 215 s)
[refdist_fresh] 137/864 (41 s; ETA 217 s)
[refdist_fresh] 138/864 (41 s; ETA 215 s)
[refdist_fresh] 139/864 (41 s; ETA 213 s)
[refdist_fresh] 140/864 (41 s; ETA 212 s)
[refdist_fresh] 141/864 (42 s; ETA 214 s)
[refdist_fresh] 142/864 (42 s; ETA 213 s)
[refdist_fresh] 143/864 (42 s; ETA 211 s)
[refdist_fresh] 144/864 (42 s; ETA 210 s)
[refdist_fresh] 145/864 (43 s; ETA 212 s)
[refdist_fresh] 146/864 (43 s; ETA 211 s)
[refdist_fresh] 147/864 (43 s; ETA 209 s)
[refdist_fresh] 148/864 (43 s; ETA 208 s)
[refdist_fresh] 149/864 (44 s; ETA 210 s)
[refdist_fresh] 150/864 (44 s; ETA 208 s)
[refdist_fresh] 151/864 (44 s; ETA 207 s)
[refdist_fresh] 152/864 (44 s; ETA 208 s)
[refdist_fresh] 153/864 (45 s; ETA 207 s)
[refdist_fresh] 154/864 (45 s; ETA 206 s)
[refdist_fresh] 155/864 (45 s; ETA 205 s)
[refdist_fresh] 156/864 (45 s; ETA 206 s)
[refdist_fresh] 157/864 (46 s; ETA 205 s)
[refdist_fresh] 158/864 (46 s; ETA 204 s)
[refdist_fresh] 159/864 (46 s; ETA 202 s)
[refdist_fresh] 160/864 (46 s; ETA 204 s)
[refdist_fresh] 161/864 (47 s; ETA 205 s)
[refdist_fresh] 162/864 (47 s; ETA 204 s)
[refdist_fresh] 163/864 (47 s; ETA 203 s)
[refdist_fresh] 164/864 (48 s; ETA 204 s)
[refdist_fresh] 165/864 (49 s; ETA 207 s)
[refdist_fresh] 166/864 (49 s; ETA 205 s)
[refdist_fresh] 167/864 (49 s; ETA 204 s)
[refdist_fresh] 168/864 (50 s; ETA 206 s)
[refdist_fresh] 169/864 (50 s; ETA 206 s)
[refdist_fresh] 170/864 (50 s; ETA 205 s)
[refdist_fresh] 171/864 (50 s; ETA 204 s)
[refdist_fresh] 172/864 (51 s; ETA 206 s)
[refdist_fresh] 173/864 (51 s; ETA 205 s)
[refdist_fresh] 174/864 (52 s; ETA 207 s)
[refdist_fresh] 175/864 (52 s; ETA 206 s)
[refdist_fresh] 176/864 (53 s; ETA 206 s)
[refdist_fresh] 177/864 (53 s; ETA 206 s)
[refdist_fresh] 178/864 (54 s; ETA 206 s)
[refdist_fresh] 179/864 (54 s; ETA 205 s)
[refdist_fresh] 180/864 (55 s; ETA 207 s)
[refdist_fresh] 181/864 (55 s; ETA 207 s)
[refdist_fresh] 182/864 (55 s; ETA 208 s)
[refdist_fresh] 183/864 (55 s; ETA 206 s)
[refdist_fresh] 184/864 (56 s; ETA 208 s)
[refdist_fresh] 185/864 (56 s; ETA 207 s)
[refdist_fresh] 186/864 (57 s; ETA 208 s)
[refdist_fresh] 187/864 (57 s; ETA 206 s)
[refdist_fresh] 188/864 (58 s; ETA 208 s)
[refdist_fresh] 189/864 (59 s; ETA 209 s)
[refdist_fresh] 190/864 (59 s; ETA 209 s)
[refdist_fresh] 191/864 (59 s; ETA 208 s)
[refdist_fresh] 192/864 (59 s; ETA 207 s)
[refdist_fresh] 193/864 (59 s; ETA 207 s)
[refdist_fresh] 194/864 (59 s; ETA 205 s)
[refdist_fresh] 195/864 (60 s; ETA 204 s)
[refdist_fresh] 196/864 (60 s; ETA 203 s)
[refdist_fresh] 197/864 (60 s; ETA 203 s)
[refdist_fresh] 198/864 (60 s; ETA 202 s)
[refdist_fresh] 199/864 (60 s; ETA 201 s)
[refdist_fresh] 200/864 (60 s; ETA 200 s)
[refdist_fresh] 201/864 (60 s; ETA 199 s)
[refdist_fresh] 202/864 (60 s; ETA 198 s)
[refdist_fresh] 203/864 (61 s; ETA 197 s)
[refdist_fresh] 204/864 (61 s; ETA 196 s)
[refdist_fresh] 205/864 (61 s; ETA 196 s)
[refdist_fresh] 206/864 (61 s; ETA 195 s)
[refdist_fresh] 207/864 (61 s; ETA 194 s)
[refdist_fresh] 208/864 (61 s; ETA 193 s)
[refdist_fresh] 209/864 (61 s; ETA 193 s)
[refdist_fresh] 210/864 (62 s; ETA 192 s)
[refdist_fresh] 211/864 (62 s; ETA 190 s)
[refdist_fresh] 212/864 (62 s; ETA 190 s)
[refdist_fresh] 213/864 (62 s; ETA 190 s)
[refdist_fresh] 214/864 (62 s; ETA 189 s)
[refdist_fresh] 215/864 (62 s; ETA 187 s)
[refdist_fresh] 216/864 (62 s; ETA 187 s)
[refdist_fresh] 217/864 (63 s; ETA 187 s)
[refdist_fresh] 218/864 (63 s; ETA 185 s)
[refdist_fresh] 219/864 (63 s; ETA 184 s)
[refdist_fresh] 220/864 (63 s; ETA 184 s)
[refdist_fresh] 221/864 (63 s; ETA 184 s)
[refdist_fresh] 222/864 (63 s; ETA 183 s)
[refdist_fresh] 223/864 (63 s; ETA 182 s)
[refdist_fresh] 224/864 (63 s; ETA 181 s)
[refdist_fresh] 225/864 (64 s; ETA 182 s)
[refdist_fresh] 226/864 (64 s; ETA 181 s)
[refdist_fresh] 227/864 (64 s; ETA 180 s)
[refdist_fresh] 228/864 (64 s; ETA 179 s)
[refdist_fresh] 229/864 (65 s; ETA 181 s)
[refdist_fresh] 230/864 (65 s; ETA 180 s)
[refdist_fresh] 231/864 (65 s; ETA 179 s)
[refdist_fresh] 232/864 (66 s; ETA 178 s)
[refdist_fresh] 233/864 (66 s; ETA 180 s)
[refdist_fresh] 234/864 (66 s; ETA 179 s)
[refdist_fresh] 235/864 (66 s; ETA 178 s)
[refdist_fresh] 236/864 (67 s; ETA 177 s)
[refdist_fresh] 237/864 (68 s; ETA 179 s)
[refdist_fresh] 238/864 (68 s; ETA 178 s)
[refdist_fresh] 239/864 (68 s; ETA 177 s)
[refdist_fresh] 240/864 (68 s; ETA 176 s)
[refdist_fresh] 241/864 (69 s; ETA 178 s)
[refdist_fresh] 242/864 (69 s; ETA 177 s)
[refdist_fresh] 243/864 (69 s; ETA 176 s)
[refdist_fresh] 244/864 (69 s; ETA 175 s)
[refdist_fresh] 245/864 (70 s; ETA 177 s)
[refdist_fresh] 246/864 (70 s; ETA 176 s)
[refdist_fresh] 247/864 (70 s; ETA 175 s)
[refdist_fresh] 248/864 (70 s; ETA 174 s)
[refdist_fresh] 249/864 (71 s; ETA 175 s)
[refdist_fresh] 250/864 (71 s; ETA 174 s)
[refdist_fresh] 251/864 (71 s; ETA 174 s)
[refdist_fresh] 252/864 (71 s; ETA 173 s)
[refdist_fresh] 253/864 (72 s; ETA 174 s)
[refdist_fresh] 254/864 (72 s; ETA 174 s)
[refdist_fresh] 255/864 (72 s; ETA 173 s)
[refdist_fresh] 256/864 (72 s; ETA 172 s)
[refdist_fresh] 257/864 (74 s; ETA 174 s)
[refdist_fresh] 258/864 (74 s; ETA 174 s)
[refdist_fresh] 259/864 (74 s; ETA 173 s)
[refdist_fresh] 260/864 (74 s; ETA 172 s)
[refdist_fresh] 261/864 (76 s; ETA 175 s)
[refdist_fresh] 262/864 (76 s; ETA 175 s)
[refdist_fresh] 263/864 (76 s; ETA 174 s)
[refdist_fresh] 264/864 (76 s; ETA 174 s)
[refdist_fresh] 265/864 (78 s; ETA 175 s)
[refdist_fresh] 266/864 (78 s; ETA 174 s)
[refdist_fresh] 267/864 (78 s; ETA 175 s)
[refdist_fresh] 268/864 (78 s; ETA 174 s)
[refdist_fresh] 269/864 (79 s; ETA 175 s)
[refdist_fresh] 270/864 (80 s; ETA 176 s)
[refdist_fresh] 271/864 (80 s; ETA 176 s)
[refdist_fresh] 272/864 (80 s; ETA 175 s)
[refdist_fresh] 273/864 (81 s; ETA 175 s)
[refdist_fresh] 274/864 (82 s; ETA 176 s)
[refdist_fresh] 275/864 (82 s; ETA 176 s)
[refdist_fresh] 276/864 (82 s; ETA 175 s)
[refdist_fresh] 277/864 (83 s; ETA 177 s)
[refdist_fresh] 278/864 (84 s; ETA 177 s)
[refdist_fresh] 279/864 (84 s; ETA 177 s)
[refdist_fresh] 280/864 (84 s; ETA 176 s)
[refdist_fresh] 281/864 (85 s; ETA 177 s)
[refdist_fresh] 282/864 (86 s; ETA 177 s)
[refdist_fresh] 283/864 (86 s; ETA 177 s)
[refdist_fresh] 284/864 (86 s; ETA 176 s)
[refdist_fresh] 285/864 (88 s; ETA 178 s)
[refdist_fresh] 286/864 (88 s; ETA 178 s)
[refdist_fresh] 287/864 (88 s; ETA 178 s)
[refdist_fresh] 288/864 (88 s; ETA 177 s)
[refdist_fresh] 289/864 (89 s; ETA 177 s)
[refdist_fresh] 290/864 (89 s; ETA 176 s)
[refdist_fresh] 291/864 (89 s; ETA 175 s)
[refdist_fresh] 292/864 (89 s; ETA 174 s)
[refdist_fresh] 293/864 (89 s; ETA 174 s)
[refdist_fresh] 294/864 (90 s; ETA 174 s)
[refdist_fresh] 295/864 (90 s; ETA 173 s)
[refdist_fresh] 296/864 (90 s; ETA 172 s)
[refdist_fresh] 297/864 (90 s; ETA 172 s)
[refdist_fresh] 298/864 (90 s; ETA 171 s)
[refdist_fresh] 299/864 (90 s; ETA 170 s)
[refdist_fresh] 300/864 (90 s; ETA 170 s)
[refdist_fresh] 301/864 (91 s; ETA 169 s)
[refdist_fresh] 302/864 (91 s; ETA 169 s)
[refdist_fresh] 303/864 (91 s; ETA 168 s)
[refdist_fresh] 304/864 (91 s; ETA 167 s)
[refdist_fresh] 305/864 (91 s; ETA 167 s)
[refdist_fresh] 306/864 (91 s; ETA 166 s)
[refdist_fresh] 307/864 (91 s; ETA 166 s)
[refdist_fresh] 308/864 (91 s; ETA 165 s)
[refdist_fresh] 309/864 (92 s; ETA 165 s)
[refdist_fresh] 310/864 (92 s; ETA 164 s)
[refdist_fresh] 311/864 (92 s; ETA 163 s)
[refdist_fresh] 312/864 (92 s; ETA 163 s)
[refdist_fresh] 313/864 (92 s; ETA 163 s)
[refdist_fresh] 314/864 (92 s; ETA 162 s)
[refdist_fresh] 315/864 (93 s; ETA 161 s)
[refdist_fresh] 316/864 (93 s; ETA 161 s)
[refdist_fresh] 317/864 (93 s; ETA 161 s)
[refdist_fresh] 318/864 (93 s; ETA 160 s)
[refdist_fresh] 319/864 (93 s; ETA 159 s)
[refdist_fresh] 320/864 (93 s; ETA 159 s)
[refdist_fresh] 321/864 (94 s; ETA 160 s)
[refdist_fresh] 322/864 (95 s; ETA 159 s)
[refdist_fresh] 323/864 (95 s; ETA 159 s)
[refdist_fresh] 324/864 (95 s; ETA 158 s)
[refdist_fresh] 325/864 (96 s; ETA 159 s)
[refdist_fresh] 326/864 (96 s; ETA 158 s)
[refdist_fresh] 327/864 (96 s; ETA 158 s)
[refdist_fresh] 328/864 (96 s; ETA 158 s)
[refdist_fresh] 329/864 (97 s; ETA 158 s)
[refdist_fresh] 330/864 (97 s; ETA 157 s)
[refdist_fresh] 331/864 (98 s; ETA 157 s)
[refdist_fresh] 332/864 (98 s; ETA 157 s)
[refdist_fresh] 333/864 (99 s; ETA 157 s)
[refdist_fresh] 334/864 (99 s; ETA 157 s)
[refdist_fresh] 335/864 (99 s; ETA 156 s)
[refdist_fresh] 336/864 (99 s; ETA 156 s)
[refdist_fresh] 337/864 (100 s; ETA 156 s)
[refdist_fresh] 338/864 (100 s; ETA 155 s)
[refdist_fresh] 339/864 (100 s; ETA 155 s)
[refdist_fresh] 340/864 (100 s; ETA 154 s)
[refdist_fresh] 341/864 (101 s; ETA 155 s)
[refdist_fresh] 342/864 (101 s; ETA 154 s)
[refdist_fresh] 343/864 (101 s; ETA 154 s)
[refdist_fresh] 344/864 (101 s; ETA 153 s)
[refdist_fresh] 345/864 (102 s; ETA 153 s)
[refdist_fresh] 346/864 (102 s; ETA 153 s)
[refdist_fresh] 347/864 (102 s; ETA 152 s)
[refdist_fresh] 348/864 (102 s; ETA 151 s)
[refdist_fresh] 349/864 (103 s; ETA 152 s)
[refdist_fresh] 350/864 (103 s; ETA 151 s)
[refdist_fresh] 351/864 (103 s; ETA 151 s)
[refdist_fresh] 352/864 (103 s; ETA 150 s)
[refdist_fresh] 353/864 (105 s; ETA 152 s)
[refdist_fresh] 354/864 (105 s; ETA 151 s)
[refdist_fresh] 355/864 (105 s; ETA 150 s)
[refdist_fresh] 356/864 (105 s; ETA 150 s)
[refdist_fresh] 357/864 (107 s; ETA 151 s)
[refdist_fresh] 358/864 (107 s; ETA 151 s)
[refdist_fresh] 359/864 (107 s; ETA 150 s)
[refdist_fresh] 360/864 (107 s; ETA 150 s)
[refdist_fresh] 361/864 (108 s; ETA 151 s)
[refdist_fresh] 362/864 (108 s; ETA 150 s)
[refdist_fresh] 363/864 (108 s; ETA 150 s)
[refdist_fresh] 364/864 (108 s; ETA 149 s)
[refdist_fresh] 365/864 (111 s; ETA 152 s)
[refdist_fresh] 366/864 (111 s; ETA 151 s)
[refdist_fresh] 367/864 (111 s; ETA 150 s)
[refdist_fresh] 368/864 (111 s; ETA 150 s)
[refdist_fresh] 369/864 (113 s; ETA 152 s)
[refdist_fresh] 370/864 (113 s; ETA 151 s)
[refdist_fresh] 371/864 (113 s; ETA 150 s)
[refdist_fresh] 372/864 (113 s; ETA 150 s)
[refdist_fresh] 373/864 (115 s; ETA 152 s)
[refdist_fresh] 374/864 (116 s; ETA 151 s)
[refdist_fresh] 375/864 (116 s; ETA 151 s)
[refdist_fresh] 376/864 (116 s; ETA 150 s)
[refdist_fresh] 377/864 (117 s; ETA 152 s)
[refdist_fresh] 378/864 (118 s; ETA 151 s)
[refdist_fresh] 379/864 (118 s; ETA 151 s)
[refdist_fresh] 380/864 (118 s; ETA 150 s)
[refdist_fresh] 381/864 (120 s; ETA 152 s)
[refdist_fresh] 382/864 (120 s; ETA 152 s)
[refdist_fresh] 383/864 (120 s; ETA 151 s)
[refdist_fresh] 384/864 (121 s; ETA 151 s)
[refdist_fresh] 385/864 (121 s; ETA 150 s)
[refdist_fresh] 386/864 (121 s; ETA 150 s)
[refdist_fresh] 387/864 (121 s; ETA 149 s)
[refdist_fresh] 388/864 (121 s; ETA 149 s)
[refdist_fresh] 389/864 (121 s; ETA 148 s)
[refdist_fresh] 390/864 (122 s; ETA 148 s)
[refdist_fresh] 391/864 (122 s; ETA 147 s)
[refdist_fresh] 392/864 (122 s; ETA 147 s)
[refdist_fresh] 393/864 (122 s; ETA 146 s)
[refdist_fresh] 394/864 (122 s; ETA 146 s)
[refdist_fresh] 395/864 (122 s; ETA 145 s)
[refdist_fresh] 396/864 (123 s; ETA 145 s)
[refdist_fresh] 397/864 (123 s; ETA 144 s)
[refdist_fresh] 398/864 (123 s; ETA 144 s)
[refdist_fresh] 399/864 (123 s; ETA 144 s)
[refdist_fresh] 400/864 (123 s; ETA 143 s)
[refdist_fresh] 401/864 (123 s; ETA 142 s)
[refdist_fresh] 402/864 (124 s; ETA 142 s)
[refdist_fresh] 403/864 (124 s; ETA 142 s)
[refdist_fresh] 404/864 (124 s; ETA 141 s)
[refdist_fresh] 405/864 (124 s; ETA 140 s)
[refdist_fresh] 406/864 (124 s; ETA 140 s)
[refdist_fresh] 407/864 (124 s; ETA 140 s)
[refdist_fresh] 408/864 (125 s; ETA 139 s)
[refdist_fresh] 409/864 (125 s; ETA 139 s)
[refdist_fresh] 410/864 (125 s; ETA 138 s)
[refdist_fresh] 411/864 (125 s; ETA 138 s)
[refdist_fresh] 412/864 (125 s; ETA 137 s)
[refdist_fresh] 413/864 (125 s; ETA 137 s)
[refdist_fresh] 414/864 (126 s; ETA 137 s)
[refdist_fresh] 415/864 (126 s; ETA 136 s)
[refdist_fresh] 416/864 (126 s; ETA 135 s)
[refdist_fresh] 417/864 (127 s; ETA 136 s)
[refdist_fresh] 418/864 (127 s; ETA 135 s)
[refdist_fresh] 419/864 (127 s; ETA 135 s)
[refdist_fresh] 420/864 (127 s; ETA 134 s)
[refdist_fresh] 421/864 (128 s; ETA 135 s)
[refdist_fresh] 422/864 (129 s; ETA 135 s)
[refdist_fresh] 423/864 (129 s; ETA 134 s)
[refdist_fresh] 424/864 (129 s; ETA 134 s)
[refdist_fresh] 425/864 (130 s; ETA 134 s)
[refdist_fresh] 426/864 (130 s; ETA 134 s)
[refdist_fresh] 427/864 (130 s; ETA 133 s)
[refdist_fresh] 428/864 (130 s; ETA 133 s)
[refdist_fresh] 429/864 (131 s; ETA 133 s)
[refdist_fresh] 430/864 (132 s; ETA 133 s)
[refdist_fresh] 431/864 (132 s; ETA 132 s)
[refdist_fresh] 432/864 (132 s; ETA 132 s)
[refdist_fresh] 433/864 (133 s; ETA 132 s)
[refdist_fresh] 434/864 (133 s; ETA 132 s)
[refdist_fresh] 435/864 (133 s; ETA 131 s)
[refdist_fresh] 436/864 (134 s; ETA 131 s)
[refdist_fresh] 437/864 (134 s; ETA 131 s)
[refdist_fresh] 438/864 (135 s; ETA 131 s)
[refdist_fresh] 439/864 (135 s; ETA 130 s)
[refdist_fresh] 440/864 (135 s; ETA 130 s)
[refdist_fresh] 441/864 (135 s; ETA 130 s)
[refdist_fresh] 442/864 (136 s; ETA 130 s)
[refdist_fresh] 443/864 (136 s; ETA 129 s)
[refdist_fresh] 444/864 (136 s; ETA 129 s)
[refdist_fresh] 445/864 (137 s; ETA 129 s)
[refdist_fresh] 446/864 (137 s; ETA 129 s)
[refdist_fresh] 447/864 (138 s; ETA 129 s)
[refdist_fresh] 448/864 (138 s; ETA 128 s)
[refdist_fresh] 449/864 (139 s; ETA 128 s)
[refdist_fresh] 450/864 (140 s; ETA 129 s)
[refdist_fresh] 451/864 (141 s; ETA 129 s)
[refdist_fresh] 452/864 (141 s; ETA 129 s)
[refdist_fresh] 453/864 (142 s; ETA 129 s)
[refdist_fresh] 454/864 (143 s; ETA 129 s)
[refdist_fresh] 455/864 (144 s; ETA 130 s)
[refdist_fresh] 456/864 (144 s; ETA 129 s)
[refdist_fresh] 457/864 (145 s; ETA 129 s)
[refdist_fresh] 458/864 (146 s; ETA 129 s)
[refdist_fresh] 459/864 (146 s; ETA 129 s)
[refdist_fresh] 460/864 (147 s; ETA 129 s)
[refdist_fresh] 461/864 (148 s; ETA 129 s)
[refdist_fresh] 462/864 (149 s; ETA 129 s)
[refdist_fresh] 463/864 (149 s; ETA 129 s)
[refdist_fresh] 464/864 (149 s; ETA 129 s)
[refdist_fresh] 465/864 (151 s; ETA 129 s)
[refdist_fresh] 466/864 (151 s; ETA 129 s)
[refdist_fresh] 467/864 (152 s; ETA 129 s)
[refdist_fresh] 468/864 (152 s; ETA 129 s)
[refdist_fresh] 469/864 (154 s; ETA 130 s)
[refdist_fresh] 470/864 (154 s; ETA 129 s)
[refdist_fresh] 471/864 (155 s; ETA 129 s)
[refdist_fresh] 472/864 (155 s; ETA 129 s)
[refdist_fresh] 473/864 (156 s; ETA 129 s)
[refdist_fresh] 474/864 (156 s; ETA 129 s)
[refdist_fresh] 475/864 (157 s; ETA 128 s)
[refdist_fresh] 476/864 (158 s; ETA 128 s)
[refdist_fresh] 477/864 (159 s; ETA 129 s)
[refdist_fresh] 478/864 (159 s; ETA 129 s)
[refdist_fresh] 479/864 (160 s; ETA 129 s)
[refdist_fresh] 480/864 (160 s; ETA 128 s)
[refdist_fresh] 481/864 (160 s; ETA 128 s)
[refdist_fresh] 482/864 (161 s; ETA 127 s)
[refdist_fresh] 483/864 (161 s; ETA 127 s)
[refdist_fresh] 484/864 (161 s; ETA 126 s)
[refdist_fresh] 485/864 (161 s; ETA 126 s)
[refdist_fresh] 486/864 (162 s; ETA 126 s)
[refdist_fresh] 487/864 (162 s; ETA 125 s)
[refdist_fresh] 488/864 (162 s; ETA 125 s)
[refdist_fresh] 489/864 (162 s; ETA 124 s)
[refdist_fresh] 490/864 (163 s; ETA 124 s)
[refdist_fresh] 491/864 (163 s; ETA 124 s)
[refdist_fresh] 492/864 (163 s; ETA 123 s)
[refdist_fresh] 493/864 (163 s; ETA 123 s)
[refdist_fresh] 494/864 (164 s; ETA 123 s)
[refdist_fresh] 495/864 (164 s; ETA 122 s)
[refdist_fresh] 496/864 (164 s; ETA 122 s)
[refdist_fresh] 497/864 (164 s; ETA 121 s)
[refdist_fresh] 498/864 (165 s; ETA 121 s)
