ticker,excluded,reason,full_history,left_index,n_rows,first,last,set
CIEN,False,,True,False,6539,2000-01-03,2025-12-31,A
CINF,False,,True,False,6539,2000-01-03,2025-12-31,A
CL,False,,True,False,6539,2000-01-03,2025-12-31,A
CLF,False,,True,False,6539,2000-01-03,2025-12-31,A
CLX,False,,True,False,6539,2000-01-03,2025-12-31,A
CMCSA,False,,True,False,6539,2000-01-03,2025-12-31,A
CME,False,,False,False,5804,2002-12-06,2025-12-31,B
CMG,False,,False,False,5015,2006-01-26,2025-12-31,B
CMI,False,,True,False,6539,2000-01-03,2025-12-31,A
CMS,False,,True,False,6539,2000-01-03,2025-12-31,A
CNC,False,,False,True,6051,2001-12-13,2025-12-31,B
CNP,False,,True,False,6539,2000-01-03,2025-12-31,A
CNX,False,,True,False,6539,2000-01-03,2025-12-31,A
CNXT,True,reuse_flag,False,True,2878,2014-07-24,2025-12-31,
COF,False,,True,False,6539,2000-01-03,2025-12-31,A
COMS,True,reuse_flag,False,True,4372,2008-08-15,2025-12-31,
COO,False,,True,False,6539,2000-01-03,2025-12-31,A
COP,False,,True,False,6539,2000-01-03,2025-12-31,A
COR,False,,True,False,6539,2000-01-03,2025-12-31,A
COST,False,,True,False,6539,2000-01-03,2025-12-31,A
COTY,False,,False,False,3158,2013-06-13,2025-12-31,B
CPAY,False,,False,False,3784,2010-12-15,2025-12-31,B
CPB,False,,True,False,6539,2000-01-03,2025-12-31,A
CPRI,False,,False,False,3531,2011-12-15,2025-12-31,B
CPRT,False,,True,False,6539,2000-01-03,2025-12-31,A
CPT,False,,True,False,6539,2000-01-03,2025-12-31,A
CPWR,True,reuse_flag,False,True,4799,2006-12-04,2025-12-31,
CR,False,,False,False,693,2023-03-29,2025-12-31,
CRL,False,,False,False,6419,2000-06-23,2025-12-31,B
CRM,False,,False,False,5417,2004-06-23,2025-12-31,B
CRWD,False,,False,False,1649,2019-06-12,2025-12-31,B
CSCO,False,,True,False,6539,2000-01-03,2025-12-31,A
CSGP,False,,True,False,6539,2000-01-03,2025-12-31,A
CSR,False,,True,True,6539,2000-01-03,2025-12-31,A
CSX,False,,True,False,6539,2000-01-03,2025-12-31,A
CTAS,False,,True,False,6539,2000-01-03,2025-12-31,A
CTSH,False,,True,False,6539,2000-01-03,2025-12-31,A
CTVA,False,,False,False,1661,2019-05-24,2025-12-31,B
CVG,True,reuse_flag,True,False,6407,2000-01-04,2025-12-31,
CVS,False,,True,False,6539,2000-01-03,2025-12-31,A
CVX,False,,True,False,6539,2000-01-03,2025-12-31,A
CZR,False,,False,False,2837,2014-09-22,2025-12-31,B
D,False,,True,False,6539,2000-01-03,2025-12-31,A
DAL,False,,False,False,4697,2007-05-03,2025-12-31,B
DD,False,,True,True,6539,2000-01-03,2025-12-31,A
DDS,False,,True,False,6539,2000-01-03,2025-12-31,A
DE,False,,True,False,6539,2000-01-03,2025-12-31,A
DECK,False,,True,False,6539,2000-01-03,2025-12-31,A
DELL,True,reuse_flag,False,True,2357,2016-08-17,2025-12-31,
DG,True,reuse_flag,False,True,4057,2009-11-13,2025-12-31,
DGX,False,,True,False,6539,2000-01-03,2025-12-31,A
DHI,False,,True,False,6539,2000-01-03,2025-12-31,A
DHR,False,,True,False,6539,2000-01-03,2025-12-31,A
DIS,False,,True,False,6539,2000-01-03,2025-12-31,A
DLR,False,,False,False,5327,2004-10-29,2025-12-31,B
DLTR,False,,True,False,6539,2000-01-03,2025-12-31,A
DLX,False,,True,False,6539,2000-01-03,2025-12-31,A
DOC,False,,True,False,6539,2000-01-03,2025-12-31,A
DOV,False,,True,False,6539,2000-01-03,2025-12-31,A
DOW,True,reuse_flag,False,True,1707,2019-03-20,2025-12-31,
DPZ,False,,False,False,5404,2004-07-13,2025-12-31,B
DRI,False,,True,False,6539,2000-01-03,2025-12-31,A
DTE,False,,True,False,6539,2000-01-03,2025-12-31,A
DUK,False,,True,False,6539,2000-01-03,2025-12-31,A
DV,False,,False,False,1181,2021-04-21,2025-12-31,
DVA,False,,True,False,6539,2000-01-03,2025-12-31,A
DVN,False,,True,False,6539,2000-01-03,2025-12-31,A
DXC,False,,True,False,6539,2000-01-03,2025-12-31,A
DXCM,False,,False,False,5213,2005-04-14,2025-12-31,B
DYN,True,reuse_flag,False,True,1329,2020-09-17,2025-12-31,
EBAY,False,,True,False,6539,2000-01-03,2025-12-31,A
EC,True,reuse_flag,False,True,4349,2008-09-18,2025-12-31,
ECL,False,,True,False,6539,2000-01-03,2025-12-31,A
ED,False,,True,False,6539,2000-01-03,2025-12-31,A
EFU,True,reuse_flag,False,True,4575,2007-10-25,2025-12-31,
EFX,False,,True,False,6539,2000-01-03,2025-12-31,A
EG,False,,True,False,6539,2000-01-03,2025-12-31,A
EHC,True,reuse_flag,True,False,6539,2000-01-03,2025-12-31,
EIX,False,,True,False,6539,2000-01-03,2025-12-31,A
EL,False,,True,False,6539,2000-01-03,2025-12-31,A
ELV,False,,False,False,6082,2001-10-30,2025-12-31,B
EMC,True,reuse_flag,False,True,661,2023-05-15,2025-12-31,
EMN,False,,True,False,6539,2000-01-03,2025-12-31,A
EMR,False,,True,False,6539,2000-01-03,2025-12-31,A
ENPH,False,,False,False,3459,2012-03-30,2025-12-31,B
EOG,False,,True,False,6539,2000-01-03,2025-12-31,A
EP,True,reuse_flag,True,True,6539,2000-01-03,2025-12-31,
EPAM,False,,False,False,3495,2012-02-08,2025-12-31,B
EQ,True,reuse_flag,False,True,1814,2018-10-12,2025-12-31,
EQIX,False,,False,False,6385,2000-08-11,2025-12-31,B
EQT,False,,True,False,6539,2000-01-03,2025-12-31,A
ERIE,False,,True,False,6539,2000-01-03,2025-12-31,A
ES,False,,True,False,6539,2000-01-03,2025-12-31,A
ESS,False,,True,False,6539,2000-01-03,2025-12-31,A
ETN,False,,True,False,6539,2000-01-03,2025-12-31,A
ETR,False,,True,False,6539,2000-01-03,2025-12-31,A
ETS,True,reuse_flag,False,True,92,2025-08-21,2025-12-31,
ETSY,False,,False,False,2695,2015-04-16,2025-12-31,B
EVRG,False,,True,False,6539,2000-01-03,2025-12-31,A
EW,False,,False,False,6481,2000-03-27,2025-12-31,B
EXC,False,,True,False,6539,2000-01-03,2025-12-31,A
EXPD,False,,True,False,6539,2000-01-03,2025-12-31,A
EXPE,False,,False,False,5145,2005-07-21,2025-12-31,B
EXR,False,,False,False,5380,2004-08-16,2025-12-31,B
F,False,,True,False,6539,2000-01-03,2025-12-31,A
FANG,False,,False,False,3323,2012-10-12,2025-12-31,B
FAST,False,,True,False,6539,2000-01-03,2025-12-31,A
FB,True,reuse_flag,False,False,131,2025-06-26,2025-12-31,
FCPT,False,,False,False,2550,2015-11-10,2025-12-31,B
FCX,False,,True,False,6539,2000-01-03,2025-12-31,A
FDS,False,,True,False,6539,2000-01-03,2025-12-31,A
FDX,False,,True,False,6539,2000-01-03,2025-12-31,A
FE,False,,True,False,6539,2000-01-03,2025-12-31,A
FFIV,False,,True,False,6539,2000-01-03,2025-12-31,A
FHN,False,,True,False,6539,2000-01-03,2025-12-31,A
FICO,False,,True,False,6539,2000-01-03,2025-12-31,A
FIS,False,,False,False,6170,2001-06-20,2025-12-31,B
FISV,False,,True,False,6538,2000-01-03,2025-12-31,A
FITB,False,,True,False,6539,2000-01-03,2025-12-31,A
FLR,False,,False,False,6307,2000-12-01,2025-12-31,B
FLS,False,,True,False,6539,2000-01-03,2025-12-31,A
FMC,False,,True,False,6539,2000-01-03,2025-12-31,A
FMCC,True,reuse_flag,True,False,6539,2000-01-03,2025-12-31,
FNMA,True,reuse_flag,True,False,6539,2000-01-03,2025-12-31,
FOSL,False,,True,False,6539,2000-01-03,2025-12-31,A
FOX,False,,False,False,1712,2019-03-13,2025-12-31,B
FOXA,False,,False,False,1713,2019-03-12,2025-12-31,B
FRT,False,,True,False,6539,2000-01-03,2025-12-31,A
FSLR,False,,False,False,4809,2006-11-17,2025-12-31,B
FTI,False,,False,True,6173,2001-06-15,2025-12-31,B
FTNT,False,,False,False,4054,2009-11-18,2025-12-31,B
FTV,False,,False,False,2388,2016-07-05,2025-12-31,B
G,True,reuse_flag,False,True,4634,2007-08-02,2025-12-31,
GD,False,,True,False,6539,2000-01-03,2025-12-31,A
GDDY,False,,False,False,2706,2015-03-31,2025-12-31,B
GE,False,,True,False,6539,2000-01-03,2025-12-31,A
GEHC,False,,False,False,763,2022-12-15,2025-12-31,
GEN,False,,True,False,6539,2000-01-03,2025-12-31,A
GENZ,True,reuse_flag,False,True,4514,2008-01-24,2025-12-31,
GEV,False,,False,False,443,2024-03-27,2025-12-31,
GHC,False,,True,False,6539,2000-01-03,2025-12-31,A
GILD,False,,True,False,6539,2000-01-03,2025-12-31,A
GIS,False,,True,False,6539,2000-01-03,2025-12-31,A
GL,False,,True,False,6539,2000-01-03,2025-12-31,A
GLW,False,,True,False,6539,2000-01-03,2025-12-31,A
GM,False,,False,False,3802,2010-11-18,2025-12-31,B
GME,True,reuse_flag,False,False,6010,2002-02-13,2025-12-31,
GNRC,False,,False,False,3997,2010-02-11,2025-12-31,B
GNW,False,,False,False,5436,2004-05-25,2025-12-31,B
GOOG,False,,False,False,5377,2004-08-19,2025-12-31,B
GOOGL,False,,False,False,5377,2004-08-19,2025-12-31,B
GP,True,reuse_flag,False,True,1342,2020-08-28,2025-12-31,
GPC,False,,True,False,6539,2000-01-03,2025-12-31,A
GPN,False,,False,False,6278,2001-01-16,2025-12-31,B
GRMN,False,,False,False,6302,2000-12-08,2025-12-31,B
GS,False,,True,False,6539,2000-01-03,2025-12-31,A
GT,False,,True,False,6539,2000-01-03,2025-12-31,A
GTE,True,reuse_flag,False,True,5038,2005-12-21,2025-12-31,
GWW,False,,True,False,6539,2000-01-03,2025-12-31,A
H,True,reuse_flag,False,True,4063,2009-11-05,2025-12-31,
HAL,False,,True,False,6539,2000-01-03,2025-12-31,A
HAS,False,,True,False,6539,2000-01-03,2025-12-31,A
HBAN,False,,True,False,6539,2000-01-03,2025-12-31,A
HCA,True,reuse_flag,False,True,3726,2011-03-10,2025-12-31,
HD,False,,True,False,6539,2000-01-03,2025-12-31,A
HIG,True,reuse_flag,True,False,6539,2000-01-03,2025-12-31,
HII,False,,False,False,3718,2011-03-22,2025-12-31,B
HLT,True,reuse_flag,False,True,3031,2013-12-12,2025-12-31,
HOG,False,,True,False,6539,2000-01-03,2025-12-31,A
HON,False,,True,False,6539,2000-01-03,2025-12-31,A
HP,False,,True,False,6539,2000-01-03,2025-12-31,A
HPE,False,,False,False,2566,2015-10-19,2025-12-31,B
HPQ,False,,True,False,6539,2000-01-03,2025-12-31,A
HRB,False,,True,False,6539,2000-01-03,2025-12-31,A
HRL,False,,True,False,6539,2000-01-03,2025-12-31,A
HSIC,False,,True,False,6539,2000-01-03,2025-12-31,A
HST,False,,True,False,6539,2000-01-03,2025-12-31,A
HSY,False,,True,False,6539,2000-01-03,2025-12-31,A
HUBB,False,,True,False,6539,2000-01-03,2025-12-31,A
HUM,False,,True,False,6539,2000-01-03,2025-12-31,A
HWM,False,,False,False,2304,2016-11-01,2025-12-31,B
IBM,False,,True,False,6539,2000-01-03,2025-12-31,A
ICE,False,,False,False,5062,2005-11-16,2025-12-31,B
IDXX,False,,True,False,6539,2000-01-03,2025-12-31,A
IEX,False,,True,False,6539,2000-01-03,2025-12-31,A
IFF,False,,True,False,6539,2000-01-03,2025-12-31,A
ILMN,False,,False,False,6395,2000-07-28,2025-12-31,B
INCY,False,,True,False,6539,2000-01-03,2025-12-31,A
INFO,True,reuse_flag,False,False,307,2024-10-10,2025-12-31,
INTC,False,,True,False,6539,2000-01-03,2025-12-31,A
INTU,False,,True,False,6539,2000-01-03,2025-12-31,A
INVH,False,,False,False,2242,2017-02-01,2025-12-31,B
IP,False,,True,False,6539,2000-01-03,2025-12-31,A
IPGP,False,,False,False,4792,2006-12-13,2025-12-31,B
IQV,False,,False,False,3182,2013-05-09,2025-12-31,B
IR,False,,False,False,2172,2017-05-12,2025-12-31,B
IRM,False,,True,False,6539,2000-01-03,2025-12-31,A
ISRG,False,,False,False,6424,2000-06-16,2025-12-31,B
IT,False,,True,False,6539,2000-01-03,2025-12-31,A
ITT,False,,True,False,6539,2000-01-03,2025-12-31,A
ITW,False,,True,False,6539,2000-01-03,2025-12-31,A
IVZ,False,,True,False,6539,2000-01-03,2025-12-31,A
J,False,,True,False,6539,2000-01-03,2025-12-31,A
JAVA,True,reuse_flag,False,True,1065,2021-10-05,2025-12-31,
JBHT,False,,True,False,6539,2000-01-03,2025-12-31,A
JBL,False,,True,False,6539,2000-01-03,2025-12-31,A
JCI,False,,True,True,6539,2000-01-03,2025-12-31,A
JEF,False,,True,False,6539,2000-01-03,2025-12-31,A
JKHY,False,,True,False,6539,2000-01-03,2025-12-31,A
JNJ,False,,True,False,6539,2000-01-03,2025-12-31,A
JPM,False,,True,True,6539,2000-01-03,2025-12-31,A
KBH,False,,True,False,6539,2000-01-03,2025-12-31,A
KDP,False,,False,False,4442,2008-05-07,2025-12-31,B
KEY,False,,True,False,6539,2000-01-03,2025-12-31,A
KEYS,False,,False,False,2817,2014-10-20,2025-12-31,B
KG,False,,False,True,4443,2008-05-06,2025-12-31,B
KHC,False,,False,False,2640,2015-07-06,2025-12-31,B
KIM,False,,True,False,6539,2000-01-03,2025-12-31,A
KKR,False,,False,False,3891,2010-07-15,2025-12-31,B
KLAC,False,,True,False,6539,2000-01-03,2025-12-31,A
KMB,False,,True,False,6539,2000-01-03,2025-12-31,A
KMI,True,reuse_flag,False,True,3744,2011-02-11,2025-12-31,
KMX,False,,True,False,6539,2000-01-03,2025-12-31,A
KO,False,,True,False,6539,2000-01-03,2025-12-31,A
KR,False,,True,False,6539,2000-01-03,2025-12-31,A
KSS,False,,True,False,6539,2000-01-03,2025-12-31,A
KVUE,False,,False,False,668,2023-05-04,2025-12-31,
L,False,,True,False,6539,2000-01-03,2025-12-31,A
LB,False,,False,False,379,2024-06-28,2025-12-31,
LDOS,False,,False,False,4832,2006-10-17,2025-12-31,B
LEG,False,,True,False,6539,2000-01-03,2025-12-31,A
LEN,False,,True,False,6539,2000-01-03,2025-12-31,A
LH,False,,True,False,6539,2000-01-03,2025-12-31,A
LHX,False,,True,False,6539,2000-01-03,2025-12-31,A
LII,False,,True,False,6539,2000-01-03,2025-12-31,A
LIN,False,,True,False,6539,2000-01-03,2025-12-31,A
LKQ,False,,False,False,5596,2003-10-06,2025-12-31,B
LLY,False,,True,False,6539,2000-01-03,2025-12-31,A
LMT,False,,True,False,6539,2000-01-03,2025-12-31,A
LNC,False,,True,False,6539,2000-01-03,2025-12-31,A
LNT,False,,True,False,6539,2000-01-03,2025-12-31,A
LOW,False,,True,False,6539,2000-01-03,2025-12-31,A
LPX,False,,True,False,6539,2000-01-03,2025-12-31,A
LRCX,False,,True,False,6539,2000-01-03,2025-12-31,A
LU,True,reuse_flag,False,True,1298,2020-10-30,2025-12-31,
LULU,False,,False,False,4638,2007-07-27,2025-12-31,B
LUMN,False,,True,False,6539,2000-01-03,2025-12-31,A
LUV,False,,True,False,6539,2000-01-03,2025-12-31,A
LVS,False,,False,False,5295,2004-12-15,2025-12-31,B
LW,False,,False,False,2297,2016-11-10,2025-12-31,B
LYB,False,,False,False,3945,2010-04-28,2025-12-31,B
LYV,False,,False,False,5038,2005-12-21,2025-12-31,B
M,False,,True,False,6539,2000-01-03,2025-12-31,A
MA,False,,False,False,4932,2006-05-25,2025-12-31,B
MAA,False,,True,False,6539,2000-01-03,2025-12-31,A
MAC,False,,True,False,6539,2000-01-03,2025-12-31,A
MAR,False,,True,False,6539,2000-01-03,2025-12-31,A
MAS,False,,True,False,6539,2000-01-03,2025-12-31,A
MAT,False,,True,False,6539,2000-01-03,2025-12-31,A
MBC,False,,False,False,767,2022-12-09,2025-12-31,
MBI,False,,True,False,6539,2000-01-03,2025-12-31,A
MCD,False,,True,False,6539,2000-01-03,2025-12-31,A
MCHP,False,,True,False,6539,2000-01-03,2025-12-31,A
MCK,False,,True,False,6539,2000-01-03,2025-12-31,A
MCO,False,,True,False,6539,2000-01-03,2025-12-31,A
MDLZ,False,,False,False,6175,2001-06-13,2025-12-31,B
MDT,False,,True,False,6539,2000-01-03,2025-12-31,A
MEDI,True,reuse_flag,False,True,782,2022-11-17,2025-12-31,
MET,False,,False,False,6474,2000-04-05,2025-12-31,B
META,False,,False,False,3425,2012-05-18,2025-12-31,B
MGM,False,,True,False,6539,2000-01-03,2025-12-31,A
MHK,False,,True,False,6539,2000-01-03,2025-12-31,A
MI,True,reuse_flag,False,True,2539,2015-11-25,2025-12-31,
MIR,True,reuse_flag,False,True,1348,2020-08-20,2025-12-31,
MKC,False,,True,False,6539,2000-01-03,2025-12-31,A
MKTX,False,,False,False,5322,2004-11-05,2025-12-31,B
MLM,False,,True,False,6539,2000-01-03,2025-12-31,A
MMI,True,reuse_flag,False,True,3060,2013-10-31,2025-12-31,
MMM,False,,True,False,6539,2000-01-03,2025-12-31,A
MNST,False,,True,False,6539,2000-01-03,2025-12-31,A
MO,False,,True,False,6539,2000-01-03,2025-12-31,A
MOH,False,,False,False,5662,2003-07-02,2025-12-31,B
MOS,False,,True,False,6539,2000-01-03,2025-12-31,A
MPC,False,,False,False,3652,2011-06-24,2025-12-31,B
MPWR,False,,False,False,5312,2004-11-19,2025-12-31,B
MRK,False,,True,False,6539,2000-01-03,2025-12-31,A
MRNA,False,,False,False,1776,2018-12-07,2025-12-31,B
MS,False,,True,False,6539,2000-01-03,2025-12-31,A
MSCI,False,,False,False,4560,2007-11-15,2025-12-31,B
MSFT,False,,True,False,6539,2000-01-03,2025-12-31,A
MSI,False,,True,False,6539,2000-01-03,2025-12-31,A
MTB,False,,True,False,6539,2000-01-03,2025-12-31,A
MTCH,False,,True,False,6539,2000-01-03,2025-12-31,A
MTD,False,,True,False,6539,2000-01-03,2025-12-31,A
MTG,False,,True,False,6539,2000-01-03,2025-12-31,A
MTW,False,,True,False,6539,2000-01-03,2025-12-31,A
MU,False,,True,False,6539,2000-01-03,2025-12-31,A
MUR,False,,True,False,6539,2000-01-03,2025-12-31,A
NAVI,False,,False,False,2945,2014-04-17,2025-12-31,B
NBR,False,,True,False,6539,2000-01-03,2025-12-31,A
NC,False,,True,False,6539,2000-01-03,2025-12-31,A
NCLH,False,,False,False,3258,2013-01-18,2025-12-31,B
NDAQ,False,,False,False,5915,2002-07-01,2025-12-31,B
NDSN,False,,True,False,6539,2000-01-03,2025-12-31,A
NE,False,,False,False,1147,2021-06-09,2025-12-31,
NEE,False,,True,False,6539,2000-01-03,2025-12-31,A
NEM,False,,True,False,6539,2000-01-03,2025-12-31,A
NFLX,False,,False,False,5941,2002-05-23,2025-12-31,B
NI,False,,True,False,6539,2000-01-03,2025-12-31,A
NKE,False,,True,False,6539,2000-01-03,2025-12-31,A
NKTR,True,reuse_flag,True,False,6539,2000-01-03,2025-12-31,
NOC,False,,True,False,6539,2000-01-03,2025-12-31,A
NOV,False,,True,False,6539,2000-01-03,2025-12-31,A
NOW,False,,False,False,3396,2012-06-29,2025-12-31,B
NRG,False,,False,False,5556,2003-12-02,2025-12-31,B
NSC,False,,True,False,6539,2000-01-03,2025-12-31,A
NSI,True,reuse_flag,False,True,518,2023-12-07,2025-12-31,
NTAP,False,,True,False,6539,2000-01-03,2025-12-31,A
NTRS,False,,True,False,6539,2000-01-03,2025-12-31,A
NUE,False,,True,False,6539,2000-01-03,2025-12-31,A
NVDA,False,,True,False,6539,2000-01-03,2025-12-31,A
NVR,False,,True,False,6539,2000-01-03,2025-12-31,A
NWL,False,,True,False,6539,2000-01-03,2025-12-31,A
NWS,False,,False,False,3154,2013-06-19,2025-12-31,B
NWSA,False,,False,False,3154,2013-06-19,2025-12-31,B
NXPI,False,,False,False,3875,2010-08-06,2025-12-31,B
NYT,False,,True,False,6539,2000-01-03,2025-12-31,A
O,False,,True,False,6539,2000-01-03,2025-12-31,A
ODFL,False,,True,False,6539,2000-01-03,2025-12-31,A
OGN,False,,False,False,1164,2021-05-14,2025-12-31,
OI,False,,True,False,6539,2000-01-03,2025-12-31,A
OKE,False,,True,False,6539,2000-01-03,2025-12-31,A
