Model,Persona,Agent_Type,Scenario,Seed,Crash_Discount,T,Final_Value,Return_Pct,Max_Drawdown_Pct,Trade_Count,Rationality_Score,Avg_Buy_PE,MAS_Deviation,Avg_Cash_Pct,Cideal,Status
claude-sonnet-4-6,ISFJ,static,bull_trap,42,0.92,800,66587.64,565.88,-11.67,11,99.5,15.0,0.9898,1.0,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,bull_trap,42,0.92,800,52007.93,420.08,-9.99,28,99.0,28.8,0.7214,27.9,1.0,PASS
claude-sonnet-4-6,INTJ,static,bull_trap,42,0.92,800,60852.36,508.52,-10.67,79,95.4,57.0,0.4399,12.6,0.5,PASS
claude-sonnet-4-6,ENTJ,memory,bull_trap,456,0.92,800,58775.25,487.75,-10.38,202,86.1,36.9,0.2371,15.9,0.2,PASS
claude-sonnet-4-6,INTJ,memory,bull_trap,42,0.92,800,51372.97,413.73,-11.92,126,95.8,57.5,0.429,21.1,0.5,PASS
claude-sonnet-4-6,ENTJ,static,bull_trap,456,0.92,800,33494.76,234.95,-14.17,319,89.0,41.8,0.2585,32.4,0.2,PASS
claude-sonnet-4-6,ISFJ,memory,bull_trap,123,0.92,800,51729.34,417.29,-12.33,32,98.6,33.3,0.7396,26.0,1.0,PASS
claude-sonnet-4-6,ISFJ,static,bull_trap,123,0.92,800,65317.92,553.18,-12.32,12,99.5,15.0,0.9902,1.0,1.0,PASS
claude-sonnet-4-6,INTJ,static,bull_trap,123,0.92,800,57033.66,470.34,-12.29,50,97.4,51.1,0.4407,12.6,0.5,PASS
claude-sonnet-4-6,INTJ,memory,bull_trap,123,0.92,800,21345.94,113.46,-12.33,270,93.9,43.7,0.393,39.1,0.5,PASS
claude-sonnet-4-6,ISFJ,static,bull_trap,456,0.92,800,63689.0,536.89,-14.43,10,99.5,15.0,0.9833,1.7,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,bull_trap,456,0.92,800,48998.65,389.99,-13.34,40,98.2,37.4,0.6601,34.0,1.0,PASS
claude-sonnet-4-6,ENTJ,memory,bull_trap,789,0.92,800,54962.18,449.62,-9.28,164,85.8,39.6,0.2489,14.9,0.2,PASS
claude-sonnet-4-6,INTJ,static,bull_trap,456,0.92,800,60199.44,501.99,-14.53,62,95.9,52.9,0.4363,9.9,0.5,PASS
claude-sonnet-4-6,ENTJ,static,bull_trap,789,0.92,800,31605.96,216.06,-8.21,299,89.5,44.5,0.2595,32.0,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,bull_trap,999,0.92,800,57738.27,477.38,-10.05,205,83.6,43.9,0.2754,22.4,0.2,PASS
claude-sonnet-4-6,INTJ,memory,bull_trap,456,0.92,800,24912.22,149.12,-14.53,242,94.8,33.1,0.4117,32.5,0.5,PASS
claude-sonnet-4-6,ENTJ,static,bull_trap,999,0.92,800,26492.2,164.92,-13.16,321,89.0,44.2,0.2502,34.9,0.2,PASS
claude-sonnet-4-6,ISFJ,static,bull_trap,789,0.92,800,64971.98,549.72,-8.28,12,99.4,14.9,0.9799,2.0,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,bull_trap,789,0.92,800,51087.4,410.87,-8.27,36,98.9,32.8,0.6817,31.8,1.0,PASS
claude-sonnet-4-6,INTJ,static,bull_trap,789,0.92,800,60024.6,500.25,-8.29,69,95.5,53.2,0.4323,12.0,0.5,PASS
claude-sonnet-4-6,INTJ,memory,bull_trap,789,0.92,800,50030.27,400.3,-8.29,103,96.6,48.6,0.4102,21.1,0.5,PASS
claude-sonnet-4-6,ISFJ,static,bull_trap,999,0.92,800,58573.24,485.73,-14.78,12,99.4,15.0,0.9859,1.4,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,bull_trap,999,0.92,800,47051.55,370.52,-14.13,69,96.0,47.8,0.695,30.5,1.0,PASS
claude-sonnet-4-6,INTJ,static,bull_trap,999,0.92,800,19556.69,95.57,-14.8,71,96.8,52.5,0.4156,35.2,0.5,PASS
claude-sonnet-4-6,INTJ,memory,bull_trap,999,0.92,800,20287.27,102.87,-14.79,245,93.9,47.6,0.401,34.6,0.5,PASS
claude-sonnet-4-6,ENTJ,static,crash,42,0.85,800,2184.79,-78.15,-89.12,227,81.6,12.7,0.1815,30.8,0.2,PASS
claude-sonnet-4-6,ENTJ,static,crash,42,0.92,800,1736.59,-82.63,-89.82,187,86.0,13.5,0.2205,18.8,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,crash,42,0.85,800,362.69,-96.37,-96.79,254,49.2,13.5,0.515,70.0,0.2,PASS
claude-sonnet-4-6,ENTJ,static,crash,42,0.95,800,1705.32,-82.95,-89.74,168,86.6,13.8,0.1941,21.2,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,crash,42,0.92,800,493.9,-95.06,-95.27,267,50.1,14.2,0.5042,69.3,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,crash,42,0.95,800,1094.78,-89.05,-90.37,245,51.7,14.4,0.4911,66.9,0.2,PASS
claude-sonnet-4-6,ISFJ,static,crash,42,0.85,800,889.44,-91.11,-95.17,13,100.0,12.3,0.9671,3.3,1.0,PASS
claude-sonnet-4-6,ISFJ,static,crash,42,0.92,800,894.28,-91.06,-94.77,13,100.0,13.3,0.9706,2.9,1.0,PASS
claude-sonnet-4-6,ISFJ,static,crash,42,0.95,800,895.63,-91.04,-94.65,12,100.0,14.0,0.9765,2.3,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,42,0.85,800,931.14,-90.69,-94.87,14,100.0,12.5,0.8891,11.1,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,42,0.92,800,962.53,-90.37,-94.32,14,100.0,13.3,0.8502,15.0,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,42,0.95,800,956.48,-90.44,-94.23,15,100.0,13.8,0.8759,12.4,1.0,PASS
claude-sonnet-4-6,INTJ,static,crash,42,0.85,800,881.63,-91.18,-95.23,9,100.0,12.6,0.4812,1.9,0.5,PASS
claude-sonnet-4-6,INTJ,static,crash,42,0.92,800,894.41,-91.06,-94.8,8,100.0,13.6,0.48,2.1,0.5,PASS
claude-sonnet-4-6,INTJ,static,crash,42,0.95,800,898.26,-91.02,-94.65,9,100.0,14.1,0.4834,1.7,0.5,PASS
claude-sonnet-4-6,ENTJ,static,crash,123,0.85,800,369.48,-96.31,-97.76,216,84.2,13.2,0.1607,28.7,0.2,PASS
claude-sonnet-4-6,ENTJ,static,crash,123,0.92,800,419.7,-95.8,-97.17,170,87.5,14.1,0.1635,27.8,0.2,PASS
claude-sonnet-4-6,INTJ,memory,crash,42,0.85,800,878.05,-91.22,-95.25,10,100.0,12.6,0.4863,1.4,0.5,PASS
claude-sonnet-4-6,ENTJ,static,crash,123,0.95,800,731.27,-92.69,-95.03,200,85.9,14.0,0.1964,28.7,0.2,PASS
claude-sonnet-4-6,INTJ,memory,crash,42,0.92,800,888.47,-91.12,-94.85,10,100.0,13.7,0.4804,2.0,0.5,PASS
claude-sonnet-4-6,INTJ,memory,crash,42,0.95,800,884.69,-91.15,-94.71,8,100.0,14.1,0.4849,1.5,0.5,PASS
claude-sonnet-4-6,ENTJ,memory,crash,123,0.92,800,657.83,-93.42,-93.6,260,52.8,14.2,0.5044,69.6,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,crash,123,0.85,800,372.26,-96.28,-96.42,273,48.5,13.4,0.5069,69.4,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,crash,123,0.95,800,924.5,-90.76,-91.3,252,53.8,14.4,0.5034,69.5,0.2,PASS
claude-sonnet-4-6,ISFJ,static,crash,123,0.85,800,809.6,-91.9,-95.18,13,100.0,12.5,0.967,3.3,1.0,PASS
claude-sonnet-4-6,ISFJ,static,crash,123,0.92,800,830.96,-91.69,-94.71,12,100.0,13.7,0.9578,4.2,1.0,PASS
claude-sonnet-4-6,ISFJ,static,crash,123,0.95,800,833.32,-91.67,-94.58,13,100.0,14.1,0.962,3.8,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,123,0.85,800,854.04,-91.46,-94.85,14,100.0,12.5,0.8848,11.5,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,123,0.92,800,872.8,-91.27,-94.41,14,100.0,13.7,0.8782,12.2,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,123,0.95,800,873.88,-91.26,-94.28,14,100.0,14.1,0.8831,11.7,1.0,PASS
claude-sonnet-4-6,INTJ,static,crash,123,0.85,800,809.97,-91.9,-95.19,11,100.0,12.4,0.4818,1.9,0.5,PASS
claude-sonnet-4-6,ENTJ,static,crash,456,0.85,800,1322.85,-86.77,-92.71,205,84.0,12.9,0.1819,26.5,0.2,PASS
claude-sonnet-4-6,ENTJ,static,crash,456,0.92,800,1184.86,-88.15,-91.51,212,83.5,13.7,0.1808,32.1,0.2,PASS
claude-sonnet-4-6,INTJ,static,crash,123,0.92,800,816.2,-91.84,-94.84,9,100.0,13.6,0.4851,1.6,0.5,PASS
claude-sonnet-4-6,INTJ,static,crash,123,0.95,800,826.68,-91.73,-94.65,10,100.0,13.7,0.4831,1.7,0.5,PASS
claude-sonnet-4-6,ENTJ,static,crash,456,0.95,800,1645.76,-83.54,-89.84,200,84.9,14.0,0.1936,30.9,0.2,PASS
claude-sonnet-4-6,INTJ,memory,crash,123,0.85,800,801.09,-91.99,-95.25,10,100.0,12.5,0.4889,1.2,0.5,PASS
claude-sonnet-4-6,INTJ,memory,crash,123,0.95,800,818.64,-91.81,-94.68,9,100.0,14.2,0.4815,1.9,0.5,PASS
claude-sonnet-4-6,INTJ,memory,crash,123,0.92,800,815.72,-91.84,-94.85,10,100.0,13.7,0.4838,1.7,0.5,PASS
claude-sonnet-4-6,ENTJ,memory,crash,456,0.85,800,171.64,-98.28,-98.49,280,51.2,13.4,0.5167,70.1,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,crash,456,0.95,800,713.31,-92.87,-93.51,286,55.0,14.4,0.5083,69.3,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,crash,456,0.92,800,284.67,-97.15,-97.46,290,52.0,14.2,0.5022,68.7,0.2,PASS
claude-sonnet-4-6,ISFJ,static,crash,456,0.92,800,855.0,-91.45,-95.22,13,100.0,13.7,0.9675,3.2,1.0,PASS
claude-sonnet-4-6,ISFJ,static,crash,456,0.85,800,846.33,-91.54,-95.61,13,100.0,12.6,0.9673,3.3,1.0,PASS
claude-sonnet-4-6,ISFJ,static,crash,456,0.95,800,858.47,-91.42,-95.06,13,100.0,14.0,0.968,3.2,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,456,0.85,800,928.58,-90.71,-95.06,13,100.0,12.6,0.8365,16.4,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,456,0.92,800,905.68,-90.94,-94.82,15,100.0,13.8,0.8777,12.2,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,crash,456,0.95,800,1033.09,-89.67,-92.32,20,99.5,13.6,0.6687,33.1,1.0,PASS
claude-sonnet-4-6,INTJ,static,crash,456,0.92,800,845.64,-91.54,-95.3,10,100.0,13.8,0.4867,1.4,0.5,PASS
claude-sonnet-4-6,INTJ,static,crash,456,0.85,800,841.01,-91.59,-95.69,10,100.0,12.0,0.4888,1.2,0.5,PASS
claude-sonnet-4-6,INTJ,static,crash,456,0.95,800,859.56,-91.4,-95.09,9,100.0,14.1,0.4784,2.2,0.5,PASS
claude-sonnet-4-6,INTJ,memory,crash,456,0.85,800,835.13,-91.65,-95.72,11,100.0,12.6,0.4857,1.5,0.5,PASS
claude-sonnet-4-6,ENTJ,static,crash,789,0.95,800,1827.45,-81.73,-89.83,211,83.1,14.1,0.197,30.6,0.2,PASS
claude-sonnet-4-6,ENTJ,static,crash,789,0.92,800,1736.52,-82.63,-90.59,185,83.6,13.8,0.2172,29.9,0.2,PASS
claude-sonnet-4-6,ENTJ,static,crash,789,0.85,800,2772.18,-72.28,-87.62,191,84.8,12.8,0.1985,28.7,0.2,PASS
claude-sonnet-4-6,INTJ,memory,crash,456,0.92,800,846.16,-91.54,-95.31,10,100.0,13.8,0.4884,1.2,0.5,PASS
claude-sonnet-4-6,INTJ,memory,crash,456,0.95,800,850.1,-91.5,-95.12,9,100.0,14.1,0.4849,1.5,0.5,PASS
claude-sonnet-4-6,ENTJ,memory,crash,789,0.85,800,242.15,-97.58,-98.61,258,50.2,13.4,0.5056,69.1,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,crash,789,0.92,800,391.84,-96.08,-96.89,271,53.1,14.2,0.4965,68.6,0.2,PASS
