design,window_start,surrogate_seed,n,r2,S_persona,S_directive,S_market,S_start,S_state,seconds
B_common_start_with_references,1,0,2400,0.9693926052517118,0.978950459198212,3.201775674146796e-06,0.021046339026113695,0.0,0.0,528.063752412796
B_common_start_with_references,1,1,2400,0.9693462776222481,0.9799160245283403,6.361732990961712e-06,0.02007761373866891,0.0,0.0,531.2430441379547
B_common_start_with_references,1,2,2400,0.9693985598249419,0.9790752803050088,1.6202295847141356e-05,0.020908517399144264,1.0150261489063694e-18,0.0,533.6481082439423
B_common_start_with_references,1,3,2400,0.9693816069070733,0.9787894573561732,5.352589317375578e-06,0.021205190054509493,0.0,0.0,544.2601022720337
B_common_start_with_references,1,4,2400,0.9693477783483697,0.9795032802999433,1.3317828078692747e-05,0.020483401871978037,0.0,0.0,532.0365400314331
B_common_start_with_references,1,5,2400,0.9692718048016403,0.9795462897440947,9.392236080484027e-06,0.02044431801982477,0.0,0.0,531.5381104946136
B_common_start_with_references,1,6,2400,0.9693017972460192,0.9793070750996077,2.8757204536259627e-06,0.02069004917993876,0.0,0.0,484.5668251514435
B_common_start_with_references,1,7,2400,0.9693034254558012,0.9792967366253227,9.79720605734973e-06,0.02069346616861991,0.0,0.0,481.25898003578186
B_common_start_with_references,1,8,2400,0.9694127222570955,0.9789332331452373,4.638126455924649e-06,0.021062128728306876,0.0,0.0,474.9784643650055
B_common_start_with_references,1,9,2400,0.9692469116945814,0.9790409997788361,1.230623709172479e-05,0.020946693984072243,0.0,0.0,469.7891309261322
B_common_start_with_references,26,0,2400,0.9704895021906049,0.9750772322189581,1.1132602123607253e-05,0.02491163517891866,0.0,0.0,217.84374356269836
B_common_start_with_references,26,1,2400,0.9704126911495717,0.9749712896870077,6.284246991059319e-06,0.025022426066001174,0.0,0.0,217.22978687286377
B_common_start_with_references,26,2,2400,0.9703360087327197,0.9747856102025189,1.5964483758838646e-05,0.02519842531372231,0.0,0.0,216.92224502563477
B_common_start_with_references,26,3,2400,0.9704476899600227,0.9748814832933762,2.2749670670720483e-05,0.025095767035953315,0.0,0.0,220.31657361984253
B_common_start_with_references,26,4,2400,0.970523276264806,0.9742772048443322,1.9617709270098747e-05,0.02570317744639796,0.0,0.0,215.54146337509155
B_common_start_with_references,26,5,2400,0.9704101835259387,0.9752281147003286,2.7609536490532862e-05,0.024744275763180935,0.0,0.0,218.51107788085938
B_common_start_with_references,26,6,2400,0.9704492047219441,0.9745208251729914,2.0204925676672973e-05,0.025458969901331997,0.0,0.0,190.40266680717468
B_common_start_with_references,26,7,2400,0.9704023746311867,0.9748889346654616,2.4846032524082486e-05,0.025086219302014306,1.0974781278948074e-18,0.0,187.38262224197388
B_common_start_with_references,26,8,2400,0.9704134389848068,0.9749830159852945,1.7372794334035033e-05,0.024999611220371313,0.0,0.0,170.91226935386658
B_common_start_with_references,26,9,2400,0.9703959216631489,0.974482689742837,1.5001527455779648e-05,0.025502308729707143,0.0,0.0,169.1078667640686
