scenario,seed,persona,policy,theta,phase7,phase6,abs_diff
flat,0,ENTJ,rule_rsi,0.05,0.04656398829011231,0.0465639882901123,6.938893903907228e-18
flat,0,ENTJ,rule_rsi,0.08,0.0365709405861148,0.0365709405861148,0.0
flat,0,ENTJ,rule_rsi,0.12,0.03434370238104556,0.0343437023810455,6.245004513516506e-17
flat,0,ENTJ,rule_rsi,0.2,0.02825462046077629,0.0282546204607762,9.020562075079397e-17
flat,0,INTJ,L5_full_level_free,0.03,0.017563589897959347,0.0175635898979593,4.5102810375396984e-17
flat,0,INTJ,L5_full_level_free,0.05,0.014043395238748837,0.0140433952387488,3.642919299551295e-17
flat,0,INTJ,L5_full_level_free,0.08,0.011095152066655085,0.011095152066655,8.500145032286355e-17
flat,0,INTJ,L5_full_level_free,0.12,0.009415433669411428,0.0094154336694114,2.7755575615628914e-17
flat,0,INTJ,L5_full_level_free,0.2,0.0026530431646531964,0.0026530431646531,9.627715291671279e-17
flat,0,INTJ,L5_level_free,0.03,0.020218749497489155,0.0202187494974891,5.551115123125783e-17
flat,0,INTJ,L5_level_free,0.05,0.01642458190808864,0.0164245819080886,3.8163916471489756e-17
flat,0,INTJ,L5_level_free,0.08,0.013892630111753596,0.0138926301117535,9.540979117872439e-17
flat,0,INTJ,L5_level_free,0.12,0.0128345735023096,0.0128345735023096,0.0
flat,0,INTJ,L5_level_free,0.2,0.005251802274645107,0.0052518022746451,6.938893903907228e-18
flat,0,INTJ,always_hold,0.03,0.17133708388027136,0.1713370838802713,5.551115123125783e-17
flat,0,INTJ,always_hold,0.05,0.1754815447317202,0.1754815447317202,0.0
flat,0,INTJ,always_hold,0.08,0.1785200482958051,0.1785200482958051,0.0
flat,0,INTJ,always_hold,0.12,0.1779225579162632,0.1779225579162632,0.0
flat,0,INTJ,always_hold,0.2,0.1844378714261032,0.1844378714261032,0.0
flat,0,INTJ,band_hi,0.03,0.2000066973485981,0.2000066973485981,0.0
flat,0,INTJ,band_hi,0.05,0.1999930814952818,0.1999930814952818,0.0
flat,0,INTJ,band_hi,0.08,0.19973762643266738,0.1997376264326673,8.326672684688674e-17
flat,0,INTJ,band_hi,0.12,0.19981671522122912,0.1998167152212291,2.7755575615628914e-17
flat,0,INTJ,band_hi,0.2,0.19977868769252977,0.1997786876925297,5.551115123125783e-17
flat,0,INTJ,band_lo,0.03,0.003150699983008838,0.0031506999830088,3.7730235602495554e-17
flat,0,INTJ,band_lo,0.05,0.002893800607567778,0.0028938006075677,7.806255641895632e-17
flat,0,INTJ,band_lo,0.08,0.0028340249151856713,0.0028340249151856,7.112366251504909e-17
flat,0,INTJ,band_lo,0.12,0.002737232319595467,0.0027372323195954,6.678685382510707e-17
flat,0,INTJ,band_lo,0.2,0.0026538252287726157,0.0026538252287726,1.5612511283791264e-17
flat,0,INTJ,constant_mix,0.03,0.0999499200932562,0.0999499200932562,0.0
flat,0,INTJ,constant_mix,0.05,0.09996937249872524,0.0999693724987252,4.163336342344337e-17
flat,0,INTJ,constant_mix,0.08,0.09970893522036794,0.0997089352203679,4.163336342344337e-17
flat,0,INTJ,constant_mix,0.12,0.09983890749918277,0.0998389074991827,6.938893903907228e-17
flat,0,INTJ,constant_mix,0.2,0.09981100265273654,0.0998110026527365,4.163336342344337e-17
flat,0,INTJ,mandate_conditional_oracle,0.03,0.0038432882817791654,0.0038432882817791,6.548581121812447e-17
flat,0,INTJ,mandate_conditional_oracle,0.05,0.0028709010798489893,0.0028709010798489,8.933825901280557e-17
flat,0,INTJ,mandate_conditional_oracle,0.08,0.0028340249151876567,0.0028340249151876,5.681219383824043e-17
flat,0,INTJ,mandate_conditional_oracle,0.12,0.0027372323195978907,0.0027372323195978,9.063930161978817e-17
flat,0,INTJ,mandate_conditional_oracle,0.2,0.0026538252287726027,0.0026538252287726,2.6020852139652106e-18
flat,0,INTJ,rule_analyst,0.03,0.003150699983008838,0.0031506999830088,3.7730235602495554e-17
flat,0,INTJ,rule_analyst,0.05,0.002893800607567778,0.0028938006075677,7.806255641895632e-17
flat,0,INTJ,rule_analyst,0.08,0.0028340249151856713,0.0028340249151856,7.112366251504909e-17
flat,0,INTJ,rule_analyst,0.12,0.002737232319595467,0.0027372323195954,6.678685382510707e-17
flat,0,INTJ,rule_analyst,0.2,0.0026538252287726157,0.0026538252287726,1.5612511283791264e-17
flat,0,INTJ,rule_p_sma50,0.03,0.07297311816073666,0.0729731181607366,6.938893903907228e-17
flat,0,INTJ,rule_p_sma50,0.05,0.07097469904938479,0.0709746990493847,8.326672684688674e-17
flat,0,INTJ,rule_p_sma50,0.08,0.06341722656170144,0.0634172265617014,4.163336342344337e-17
flat,0,INTJ,rule_p_sma50,0.12,0.055036858200575876,0.0550368582005758,7.632783294297951e-17
flat,0,INTJ,rule_p_sma50,0.2,0.018115797139346794,0.0181157971393467,9.367506770274758e-17
flat,0,INTJ,rule_rsi,0.03,0.05420385974298932,0.0542038597429893,2.0816681711721685e-17
flat,0,INTJ,rule_rsi,0.05,0.05128778311588823,0.0512877831158882,3.469446951953614e-17
flat,0,INTJ,rule_rsi,0.08,0.0417949488472811,0.0417949488472811,0.0
flat,0,INTJ,rule_rsi,0.12,0.04029206408380426,0.0402920640838042,5.551115123125783e-17
flat,0,INTJ,rule_rsi,0.2,0.03429118017942183,0.0342911801794218,2.7755575615628914e-17
flat,0,ISFJ,L5_full_level_free,0.03,0.017808549316695416,0.0178085493166954,1.734723475976807e-17
flat,0,ISFJ,L5_full_level_free,0.05,0.01407206485964212,0.0140720648596421,2.0816681711721685e-17
flat,0,ISFJ,L5_full_level_free,0.08,0.01114333684125341,0.0111433368412534,8.673617379884035e-18
flat,0,ISFJ,L5_full_level_free,0.12,0.009500417317845716,0.0095004173178457,1.5612511283791264e-17
flat,0,ISFJ,L5_full_level_free,0.2,0.002664145465833471,0.0026641454658334,7.068998164605489e-17
flat,0,ISFJ,L5_level_free,0.03,0.02050170191671795,0.0205017019167179,4.85722573273506e-17
flat,0,ISFJ,L5_level_free,0.05,0.016510419622816613,0.0165104196228166,1.3877787807814457e-17
flat,0,ISFJ,L5_level_free,0.08,0.014007977402185687,0.0140079774021856,8.673617379884035e-17
flat,0,ISFJ,L5_level_free,0.12,0.013001644670096279,0.0130016446700962,7.806255641895632e-17
flat,0,ISFJ,L5_level_free,0.2,0.005309638649871509,0.0053096386498715,9.540979117872439e-18
flat,0,ISFJ,always_hold,0.03,0.1415715187923869,0.1415715187923869,0.0
flat,0,ISFJ,always_hold,0.05,0.14395397786996353,0.1439539778699635,2.7755575615628914e-17
flat,0,ISFJ,always_hold,0.08,0.14565267448777852,0.1456526744877785,2.7755575615628914e-17
flat,0,ISFJ,always_hold,0.12,0.14540200953709237,0.1454020095370923,5.551115123125783e-17
flat,0,ISFJ,always_hold,0.2,0.14895075598642907,0.148950755986429,5.551115123125783e-17
flat,0,ISFJ,band_hi,0.03,0.19999610929550515,0.1999961092955051,5.551115123125783e-17
flat,0,ISFJ,band_hi,0.05,0.19983567754063886,0.1998356775406388,5.551115123125783e-17
flat,0,ISFJ,band_hi,0.08,0.19949824244268147,0.1994982424426814,5.551115123125783e-17
flat,0,ISFJ,band_hi,0.12,0.1996605788819906,0.1996605788819906,0.0
flat,0,ISFJ,band_hi,0.2,0.20083233888363444,0.2008323388836344,5.551115123125783e-17
flat,0,ISFJ,band_lo,0.03,0.0030653718887815895,0.0030653718887815,8.933825901280557e-17
flat,0,ISFJ,band_lo,0.05,0.0028818937194575404,0.0028818937194575,4.0332320816460765e-17
flat,0,ISFJ,band_lo,0.08,0.0028770514079566488,0.0028770514079566,4.85722573273506e-17
flat,0,ISFJ,band_lo,0.12,0.0027652154688839834,0.0027652154688839,8.326672684688674e-17
flat,0,ISFJ,band_lo,0.2,0.0026138058975336124,0.0026138058975336,1.2576745200831851e-17
flat,0,ISFJ,constant_mix,0.03,0.10058469015631175,0.1005846901563117,4.163336342344337e-17
flat,0,ISFJ,constant_mix,0.05,0.10061763308617892,0.1006176330861789,2.7755575615628914e-17
flat,0,ISFJ,constant_mix,0.08,0.10065866332377484,0.1006586633237748,4.163336342344337e-17
flat,0,ISFJ,constant_mix,0.12,0.1003540416301146,0.1003540416301146,0.0
flat,0,ISFJ,constant_mix,0.2,0.10050533405075832,0.1005053340507583,1.3877787807814457e-17
flat,0,ISFJ,mandate_conditional_oracle,0.03,0.0037238870498314245,0.0037238870498314,2.47198095326695e-17
flat,0,ISFJ,mandate_conditional_oracle,0.05,0.002862027271765559,0.0028620272717655,5.898059818321144e-17
flat,0,ISFJ,mandate_conditional_oracle,0.08,0.0028770514079558035,0.0028770514079558,3.469446951953614e-18
flat,0,ISFJ,mandate_conditional_oracle,0.12,0.0027652154688829526,0.0027652154688829,5.2475385148298415e-17
flat,0,ISFJ,mandate_conditional_oracle,0.2,0.0026138058975335994,0.0026138058975335,9.93129189996722e-17
flat,0,ISFJ,rule_analyst,0.03,0.0030653718887815895,0.0030653718887815,8.933825901280557e-17
flat,0,ISFJ,rule_analyst,0.05,0.0028818937194575404,0.0028818937194575,4.0332320816460765e-17
flat,0,ISFJ,rule_analyst,0.08,0.0028770514079566488,0.0028770514079566,4.85722573273506e-17
flat,0,ISFJ,rule_analyst,0.12,0.0027652154688839834,0.0027652154688839,8.326672684688674e-17
flat,0,ISFJ,rule_analyst,0.2,0.0026138058975336124,0.0026138058975336,1.2576745200831851e-17
flat,0,ISFJ,rule_p_sma50,0.03,0.07309734531696126,0.0730973453169612,5.551115123125783e-17
flat,0,ISFJ,rule_p_sma50,0.05,0.07146653550524217,0.0714665355052421,6.938893903907228e-17
flat,0,ISFJ,rule_p_sma50,0.08,0.06415225279989022,0.0641522527998902,1.3877787807814457e-17
flat,0,ISFJ,rule_p_sma50,0.12,0.05569664180050684,0.0556966418005068,4.163336342344337e-17
flat,0,ISFJ,rule_p_sma50,0.2,0.018127176709704842,0.0181271767097048,4.163336342344337e-17
flat,0,ISFJ,rule_rsi,0.03,0.054115742897184585,0.0541157428971845,8.326672684688674e-17
flat,0,ISFJ,rule_rsi,0.05,0.05133369766287766,0.0513336976628776,6.245004513516506e-17
flat,0,ISFJ,rule_rsi,0.08,0.04187739937916912,0.0418773993791691,2.0816681711721685e-17
flat,0,ISFJ,rule_rsi,0.12,0.04008938960467712,0.0400893896046771,1.3877787807814457e-17
flat,0,ISFJ,rule_rsi,0.2,0.0342481097195868,0.0342481097195868,0.0
flat,1,ENTJ,L5_full_level_free,0.03,0.06464519925591532,0.0646451992559153,1.3877787807814457e-17
flat,1,ENTJ,L5_full_level_free,0.05,0.09405835272847307,0.094058352728473,6.938893903907228e-17
flat,1,ENTJ,L5_full_level_free,0.08,0.10060322913639523,0.1006032291363952,2.7755575615628914e-17
flat,1,ENTJ,L5_level_free,0.03,0.12570353586835661,0.1257035358683566,2.7755575615628914e-17
flat,1,ENTJ,L5_level_free,0.05,0.09356221702343713,0.0935622170234371,2.7755575615628914e-17
flat,1,ENTJ,L5_level_free,0.08,0.10060322913639523,0.1006032291363952,2.7755575615628914e-17
flat,1,ENTJ,always_hold,0.03,0.09074572067091509,0.090745720670915,8.326672684688674e-17
flat,1,ENTJ,always_hold,0.05,0.09778511207951306,0.097785112079513,5.551115123125783e-17
flat,1,ENTJ,always_hold,0.08,0.10478125477027912,0.1047812547702791,2.7755575615628914e-17
flat,1,ENTJ,band_hi,0.03,0.04400410115007162,0.0440041011500716,2.0816681711721685e-17
flat,1,ENTJ,band_hi,0.05,0.05165657503883925,0.0516565750388392,4.85722573273506e-17
flat,1,ENTJ,band_hi,0.08,0.06898409137041132,0.0689840913704113,2.7755575615628914e-17
flat,1,ENTJ,band_lo,0.03,0.15833333333333333,0.1583333333333333,2.7755575615628914e-17
flat,1,ENTJ,band_lo,0.05,0.15,0.15,0.0
flat,1,ENTJ,band_lo,0.08,0.13333333333333333,0.1333333333333333,2.7755575615628914e-17
flat,1,ENTJ,constant_mix,0.03,0.09776752501483375,0.0977675250148337,5.551115123125783e-17
flat,1,ENTJ,constant_mix,0.05,0.09768622745808324,0.0976862274580832,4.163336342344337e-17
flat,1,ENTJ,constant_mix,0.08,0.10060322913639523,0.1006032291363952,2.7755575615628914e-17
flat,1,ENTJ,mandate_conditional_oracle,0.03,0.022624934385441862,0.0226249343854418,6.245004513516506e-17
flat,1,ENTJ,mandate_conditional_oracle,0.05,0.0015120874604760924,0.001512087460476,9.237402509576498e-17
flat,1,ENTJ,mandate_conditional_oracle,0.08,0.00019628371942546444,0.0001962837194254,6.44287140999511e-17
flat,1,ENTJ,rule_analyst,0.03,0.15833333333333333,0.1583333333333333,2.7755575615628914e-17
flat,1,ENTJ,rule_analyst,0.05,0.15,0.15,0.0
flat,1,ENTJ,rule_analyst,0.08,0.13333333333333333,0.1333333333333333,2.7755575615628914e-17
flat,1,ENTJ,rule_p_sma50,0.03,0.15014412454487994,0.1501441245448799,2.7755575615628914e-17
flat,1,ENTJ,rule_p_sma50,0.05,0.14165837582252025,0.1416583758225202,5.551115123125783e-17
flat,1,ENTJ,rule_p_sma50,0.08,0.10000000000000002,0.1,1.3877787807814457e-17
flat,1,ENTJ,rule_rsi,0.03,0.15416252124459345,0.1541625212445934,5.551115123125783e-17
flat,1,ENTJ,rule_rsi,0.05,0.14165837582252025,0.1416583758225202,5.551115123125783e-17
flat,1,ENTJ,rule_rsi,0.08,0.10000000000000002,0.1,1.3877787807814457e-17
flat,1,INTJ,L5_full_level_free,0.03,0.06493391493152607,0.064933914931526,6.938893903907228e-17
flat,1,INTJ,L5_full_level_free,0.05,0.09367210125668186,0.0936721012566818,6.938893903907228e-17
flat,1,INTJ,L5_full_level_free,0.08,0.10186122893516066,0.1018612289351606,5.551115123125783e-17
flat,1,INTJ,L5_level_free,0.03,0.12773734628687525,0.1277373462868752,5.551115123125783e-17
flat,1,INTJ,L5_level_free,0.05,0.09488253929727454,0.0948825392972745,4.163336342344337e-17
flat,1,INTJ,L5_level_free,0.08,0.10186122893516066,0.1018612289351606,5.551115123125783e-17
flat,1,INTJ,always_hold,0.03,0.07689520751404148,0.0768952075140414,8.326672684688674e-17
flat,1,INTJ,always_hold,0.05,0.09425839278183663,0.0942583927818366,2.7755575615628914e-17
flat,1,INTJ,always_hold,0.08,0.11183735651780329,0.1118373565178032,8.326672684688674e-17
flat,1,INTJ,band_hi,0.03,0.04458973208992705,0.044589732089927,4.85722573273506e-17
flat,1,INTJ,band_hi,0.05,0.05231845124336748,0.0523184512433674,8.326672684688674e-17
flat,1,INTJ,band_hi,0.08,0.07116535482005153,0.0711653548200515,2.7755575615628914e-17
flat,1,INTJ,band_lo,0.03,0.1591468664389329,0.1591468664389329,0.0
flat,1,INTJ,band_lo,0.05,0.14927979452453544,0.1492797945245354,2.7755575615628914e-17
flat,1,INTJ,band_lo,0.08,0.1351401200947269,0.1351401200947269,0.0
flat,1,INTJ,constant_mix,0.03,0.10045480444375861,0.1004548044437586,1.3877787807814457e-17
flat,1,INTJ,constant_mix,0.05,0.09815471825251955,0.0981547182525195,5.551115123125783e-17
flat,1,INTJ,constant_mix,0.08,0.10186122893516066,0.1018612289351606,5.551115123125783e-17
flat,1,INTJ,mandate_conditional_oracle,0.03,0.02139464185071162,0.0213946418507116,2.0816681711721685e-17
flat,1,INTJ,mandate_conditional_oracle,0.05,0.0036903992439873087,0.0036903992439873,8.673617379884035e-18
flat,1,INTJ,mandate_conditional_oracle,0.08,0.004502388029042163,0.0045023880290421,6.331740687315346e-17
flat,1,INTJ,rule_analyst,0.03,0.1591468664389329,0.1591468664389329,0.0
flat,1,INTJ,rule_analyst,0.05,0.14927979452453544,0.1492797945245354,2.7755575615628914e-17
flat,1,INTJ,rule_analyst,0.08,0.1351401200947269,0.1351401200947269,0.0
flat,1,INTJ,rule_p_sma50,0.03,0.1521841321518259,0.1521841321518259,0.0
flat,1,INTJ,rule_p_sma50,0.05,0.14240572165189125,0.1424057216518912,5.551115123125783e-17
flat,1,INTJ,rule_p_sma50,0.08,0.10316002974124401,0.103160029741244,1.3877787807814457e-17
flat,1,INTJ,rule_rsi,0.03,0.15351406387472585,0.1535140638747258,5.551115123125783e-17
flat,1,INTJ,rule_rsi,0.05,0.14166451744053793,0.1416645174405379,2.7755575615628914e-17
flat,1,INTJ,rule_rsi,0.08,0.10316002974124401,0.103160029741244,1.3877787807814457e-17
flat,1,ISFJ,L5_full_level_free,0.03,0.06470603304415908,0.064706033044159,6.938893903907228e-17
flat,1,ISFJ,L5_full_level_free,0.05,0.09505804493344466,0.0950580449334446,6.938893903907228e-17
flat,1,ISFJ,L5_full_level_free,0.08,0.10188983521615629,0.1018898352161562,8.326672684688674e-17
flat,1,ISFJ,L5_level_free,0.03,0.12907738200859195,0.1290773820085919,5.551115123125783e-17
flat,1,ISFJ,L5_level_free,0.05,0.09640115726954489,0.0964011572695448,8.326672684688674e-17
flat,1,ISFJ,L5_level_free,0.08,0.10188983521615629,0.1018898352161562,8.326672684688674e-17
flat,1,ISFJ,always_hold,0.03,0.08624198296994634,0.0862419829699463,4.163336342344337e-17
flat,1,ISFJ,always_hold,0.05,0.0964848240705725,0.0964848240705725,0.0
flat,1,ISFJ,always_hold,0.08,0.10698548799590406,0.106985487995904,5.551115123125783e-17
flat,1,ISFJ,band_hi,0.03,0.044430563896910996,0.0444305638969109,9.71445146547012e-17
flat,1,ISFJ,band_hi,0.05,0.053423813043700974,0.0534238130437009,7.632783294297951e-17
flat,1,ISFJ,band_hi,0.08,0.07115705329865189,0.0711570532986518,9.71445146547012e-17
flat,1,ISFJ,band_lo,0.03,0.16010328177812685,0.1601032817781268,5.551115123125783e-17
flat,1,ISFJ,band_lo,0.05,0.14986197616451669,0.1498619761645166,8.326672684688674e-17
flat,1,ISFJ,band_lo,0.08,0.13488446765168763,0.1348844676516876,2.7755575615628914e-17
flat,1,ISFJ,constant_mix,0.03,0.1006150991528777,0.1006150991528777,0.0
flat,1,ISFJ,constant_mix,0.05,0.09932353871869377,0.0993235387186937,6.938893903907228e-17
flat,1,ISFJ,constant_mix,0.08,0.10188983521615629,0.1018898352161562,8.326672684688674e-17
flat,1,ISFJ,mandate_conditional_oracle,0.03,0.02143713253410477,0.0214371325341047,6.938893903907228e-17
flat,1,ISFJ,mandate_conditional_oracle,0.05,0.003677105515279361,0.0036771055152793,6.071532165918825e-17
flat,1,ISFJ,mandate_conditional_oracle,0.08,0.0047006324202793675,0.0047006324202793,6.765421556309548e-17
flat,1,ISFJ,rule_analyst,0.03,0.16010328177812685,0.1601032817781268,5.551115123125783e-17
flat,1,ISFJ,rule_analyst,0.05,0.14986197616451669,0.1498619761645166,8.326672684688674e-17
flat,1,ISFJ,rule_analyst,0.08,0.13488446765168763,0.1348844676516876,2.7755575615628914e-17
flat,1,ISFJ,rule_p_sma50,0.03,0.15224071812035986,0.1522407181203598,5.551115123125783e-17
flat,1,ISFJ,rule_p_sma50,0.05,0.14202793977367534,0.1420279397736753,2.7755575615628914e-17
flat,1,ISFJ,rule_p_sma50,0.08,0.09978901827852671,0.0997890182785267,1.3877787807814457e-17
flat,1,ISFJ,rule_rsi,0.03,0.15453280368843123,0.1545328036884312,2.7755575615628914e-17
flat,1,ISFJ,rule_rsi,0.05,0.1415439830474895,0.1415439830474895,0.0
flat,1,ISFJ,rule_rsi,0.08,0.09978901827852671,0.0997890182785267,1.3877787807814457e-17
flat,2,ENTJ,L5_full_level_free,0.03,0.10165812077497431,0.1016581207749743,1.3877787807814457e-17
flat,2,ENTJ,L5_full_level_free,0.05,0.083447319470971,0.083447319470971,0.0
flat,2,ENTJ,L5_level_free,0.03,0.07421671024251099,0.0742167102425109,8.326672684688674e-17
flat,2,ENTJ,L5_level_free,0.05,0.03876864603043721,0.0387686460304372,1.3877787807814457e-17
flat,2,ENTJ,always_hold,0.03,0.1107879225057606,0.1107879225057606,0.0
flat,2,ENTJ,always_hold,0.05,0.12308175018012885,0.1230817501801288,4.163336342344337e-17
flat,2,ENTJ,band_hi,0.03,0.06960757033737609,0.069607570337376,9.71445146547012e-17
flat,2,ENTJ,band_hi,0.05,0.0387686460304369,0.0387686460304369,0.0
flat,2,ENTJ,band_lo,0.03,0.13255813953488366,0.1325581395348836,5.551115123125783e-17
flat,2,ENTJ,band_lo,0.05,0.1636363636363637,0.1636363636363637,0.0
flat,2,ENTJ,constant_mix,0.03,0.09824361972847591,0.0982436197284759,1.3877787807814457e-17
flat,2,ENTJ,constant_mix,0.05,0.09853866036745867,0.0985386603674586,6.938893903907228e-17
flat,2,ENTJ,mandate_conditional_oracle,0.03,0.031727570794170726,0.0317275707941707,2.7755575615628914e-17
flat,2,ENTJ,mandate_conditional_oracle,0.05,0.003191603672855568,0.0031916036728555,6.808789643208968e-17
flat,2,ENTJ,rule_analyst,0.03,0.07084802736568901,0.070848027365689,1.3877787807814457e-17
flat,2,ENTJ,rule_analyst,0.05,0.011256927245779104,0.0112569272457791,3.469446951953614e-18
flat,2,ENTJ,rule_p_sma50,0.03,0.08328785612835063,0.0832878561283506,2.7755575615628914e-17
flat,2,ENTJ,rule_p_sma50,0.05,0.09227454367195388,0.0922745436719538,8.326672684688674e-17
flat,2,ENTJ,rule_rsi,0.03,0.08334997484612823,0.0833499748461282,2.7755575615628914e-17
flat,2,ENTJ,rule_rsi,0.05,0.09227454367195388,0.0922745436719538,8.326672684688674e-17
flat,2,INTJ,L5_full_level_free,0.03,0.10085493340744496,0.1008549334074449,5.551115123125783e-17
flat,2,INTJ,L5_full_level_free,0.05,0.08229901403918466,0.0822990140391846,5.551115123125783e-17
flat,2,INTJ,L5_level_free,0.03,0.0741363161862284,0.0741363161862284,0.0
flat,2,INTJ,L5_level_free,0.05,0.03899389091594743,0.0389938909159474,3.469446951953614e-17
flat,2,INTJ,always_hold,0.03,0.1355180921336035,0.1355180921336035,0.0
flat,2,INTJ,always_hold,0.05,0.1758496491661398,0.1758496491661398,0.0
flat,2,INTJ,band_hi,0.03,0.06947390777772096,0.0694739077777209,5.551115123125783e-17
flat,2,INTJ,band_hi,0.05,0.03899389091594741,0.0389938909159474,1.3877787807814457e-17
flat,2,INTJ,band_lo,0.03,0.13350719479847026,0.1335071947984702,5.551115123125783e-17
flat,2,INTJ,band_lo,0.05,0.16395545297816136,0.1639554529781613,5.551115123125783e-17
flat,2,INTJ,constant_mix,0.03,0.09902510453576181,0.0990251045357618,1.3877787807814457e-17
flat,2,INTJ,constant_mix,0.05,0.09935347180380188,0.0993534718038018,8.326672684688674e-17
flat,2,INTJ,mandate_conditional_oracle,0.03,0.03385752327802825,0.0338575232780282,4.85722573273506e-17
flat,2,INTJ,mandate_conditional_oracle,0.05,0.0034954898201275523,0.0034954898201275,5.2475385148298415e-17
flat,2,INTJ,rule_analyst,0.03,0.07282702395196185,0.0728270239519618,4.163336342344337e-17
flat,2,INTJ,rule_analyst,0.05,0.013169323324919352,0.0131693233249193,5.204170427930421e-17
flat,2,INTJ,rule_p_sma50,0.03,0.08311665436602515,0.0831166543660251,5.551115123125783e-17
flat,2,INTJ,rule_p_sma50,0.05,0.09246439516895864,0.0924643951689586,4.163336342344337e-17
flat,2,INTJ,rule_rsi,0.03,0.08267183930841268,0.0826718393084126,8.326672684688674e-17
flat,2,INTJ,rule_rsi,0.05,0.0917442726258134,0.0917442726258134,0.0
flat,2,ISFJ,L5_full_level_free,0.03,0.10124469126440135,0.1012446912644013,4.163336342344337e-17
flat,2,ISFJ,L5_full_level_free,0.05,0.08278114457400453,0.0827811445740045,2.7755575615628914e-17
flat,2,ISFJ,L5_level_free,0.03,0.07417716825103492,0.0741771682510349,1.3877787807814457e-17
