Final_Value,Return_Pct,Max_Drawdown_Pct,Trade_Count,Rationality_Score,Avg_Buy_PE,MAS_Deviation,Avg_Cash_Pct,Cideal,Model,Persona,Injection_Frequency,Agent_Type,Scenario,Seed,Injections_Applied,Steps_Logged,Status
11702.3,17.02,-12.7,56,85.5,15.0,0.19,22.7,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,25,freq_k25,flat,123,8,200,PASS
11360.34,13.6,-21.11,82,79.0,15.0,0.2262,24.5,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,25,freq_k25,flat,456,8,200,PASS
9170.5,-8.29,-28.48,2,100.0,15.0,1.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,25,freq_k25,flat,42,8,200,PASS
10660.05,6.6,-10.42,2,100.0,15.0,0.6231,37.7,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,25,freq_k25,flat,123,8,200,PASS
10568.08,5.68,-18.68,1,99.5,15.0,0.5501,45.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,25,freq_k25,flat,456,8,200,PASS
9812.45,-1.88,-19.6,9,97.5,15.0,0.4163,10.4,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,25,freq_k25,flat,42,8,200,PASS
11704.74,17.05,-11.08,20,95.5,15.0,0.1651,50.1,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,25,freq_k25,flat,123,8,200,PASS
9545.53,-4.54,-21.59,21,95.0,15.0,0.1761,53.9,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,25,freq_k25,flat,456,8,200,PASS
9388.79,-6.11,-24.04,44,86.5,15.0,0.1979,32.3,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,100,freq_k100,flat,42,2,200,PASS
12499.37,24.99,-14.36,47,88.5,15.0,0.2142,24.1,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,100,freq_k100,flat,123,2,200,PASS
11865.95,18.66,-18.23,79,78.0,15.0,0.2251,30.4,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,100,freq_k100,flat,456,2,200,PASS
9584.57,-4.15,-16.62,2,99.5,15.0,0.5814,41.9,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,100,freq_k100,flat,42,2,200,PASS
10797.64,7.98,-19.3,2,100.0,15.0,1.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,100,freq_k100,flat,123,2,200,PASS
10568.08,5.68,-18.68,1,99.5,15.0,0.5501,45.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,100,freq_k100,flat,456,2,200,PASS
9722.32,-2.78,-19.45,10,97.0,15.0,0.2668,23.8,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,100,freq_k100,flat,42,2,200,PASS
12741.52,27.42,-6.61,19,95.0,15.0,0.2833,67.4,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,100,freq_k100,flat,123,2,200,PASS
10146.42,1.46,-15.38,17,96.5,15.0,0.217,66.7,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,100,freq_k100,flat,456,2,200,PASS
8872.44,-11.28,-27.57,50,84.0,15.0,0.1702,26.1,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,INF,freq_kINF,flat,42,0,200,PASS
12385.46,23.85,-12.82,38,91.5,15.0,0.1387,24.4,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,INF,freq_kINF,flat,123,0,200,PASS
11703.71,17.04,-21.86,54,86.0,15.0,0.1817,24.8,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,INF,freq_kINF,flat,456,0,200,PASS
9170.5,-8.29,-28.48,2,100.0,15.0,1.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,INF,freq_kINF,flat,42,0,200,PASS
10797.64,7.98,-19.3,2,100.0,15.0,1.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,INF,freq_kINF,flat,123,0,200,PASS
10568.08,5.68,-18.68,1,99.5,15.0,0.5501,45.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,INF,freq_kINF,flat,456,0,200,PASS
9394.17,-6.06,-25.73,16,95.5,15.0,0.3739,12.6,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,INF,freq_kINF,flat,42,0,200,PASS
13433.46,34.33,-8.23,17,96.0,15.0,0.2759,55.0,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,INF,freq_kINF,flat,123,0,200,PASS
9823.96,-1.76,-11.69,15,98.0,15.0,0.3185,80.1,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,INF,freq_kINF,flat,456,0,200,PASS
