seed,det_len,panic_len,front_load,delta,D_V,setup_len,schedule_mode,rejected,depth,duration,rise,onset_lag_before_event
281044,20,18,0.3984009137659701,0.7587521603251371,0.263647093620513,96,v21,0,-0.4959278399685231,105.0,45.0,-3.0
281045,15,47,0.5476637336707398,0.8739414069116594,0.24137393410549807,81,v21,0,-0.5484608665764579,83.0,76.0,18.0
281046,18,37,0.3126725513890132,0.7434070895039653,0.1632194566121445,60,v21,0,-0.5598198172328752,112.0,74.0,27.0
281047,15,48,0.359538026711318,0.7130424296957082,0.11695208914666222,74,v21,0,-0.45148347941127487,57.0,59.0,11.0
281048,25,16,0.12889270624242746,0.7069256888866493,0.2870594425866111,105,v21,0,-0.6571229047761165,115.0,111.0,19.0
281049,8,16,0.5580402589653285,0.7500105243326798,0.10207689612062221,67,v21,0,-0.4967038660873434,43.0,37.0,6.0
281050,22,87,0.37000752663428993,0.9682182472365473,0.2928337975164374,81,v21,0,,,,
281051,19,35,0.43226067838234433,0.7660355171315546,0.13847630035520841,81,v21,0,,,,
281052,14,55,0.5498641252791553,0.8017903819355062,0.2683754381669118,73,v21,0,,,,
281053,14,76,0.1290012826401956,0.7831696978162805,0.1223033277260013,54,v21,0,-0.437236251516524,118.0,61.0,5.0
281054,15,36,0.27631162404509113,0.9080478074551045,0.27663014059031465,58,v21,0,-0.5490677013046787,62.0,50.0,12.0
281055,5,58,0.30790956123562047,0.6704292178726554,0.28284338869989234,57,v21,0,-0.500413787268454,75.0,20.0,13.0
281056,12,76,0.44993050442319404,0.6749007189393046,0.16711532335570037,84,v21,0,,,,
281057,23,44,0.34040025503328525,0.8628322832572757,0.25584164917689506,57,v21,0,-0.4445027654627718,60.0,85.0,11.0
281058,13,90,0.12987261604678757,0.8091950872833464,0.2032168689304445,86,v21,0,-0.5305926354912022,98.0,52.0,-6.0
281059,24,69,0.42986269025279467,0.8823963199863322,0.2507257364384632,97,v21,0,,,,
281060,6,27,0.5625570367142853,0.7378422283357602,0.19157956848596355,103,v21,0,-0.4460975617123989,70.0,51.0,23.0
281061,24,38,0.3009468983238113,0.8153431074220483,0.2506296648070058,88,v21,0,-0.6091616169967718,49.0,6.0,-38.0
281062,6,71,0.5373038496341429,0.7498081601419678,0.21386822860151233,76,v21,0,-0.4073617761375732,79.0,27.0,0.0
281063,5,72,0.23160217522177337,0.8182503782239281,0.16265769160527233,78,v21,0,-0.60413703228571,77.0,87.0,18.0
281064,9,32,0.11838050452993215,0.7893284759180477,0.24611904780660362,72,v21,0,-0.5819798269271348,108.0,87.0,40.0
281065,16,66,0.3802214372488561,0.84894679618514,0.21779110200426205,108,v21,0,,,,
281066,17,34,0.18630877777219515,0.7336060112400985,0.219286878370338,71,v21,0,-0.5489721735728792,77.0,57.0,9.0
281067,7,60,0.43107235385245957,0.6352740114856597,0.2134637787966714,90,v21,0,-0.48255810735507654,15.0,24.0,0.0
281068,14,35,0.12204949152996016,0.6440047179344921,0.1279286548383483,54,v21,0,-0.4574862557154412,46.0,35.0,-11.0
281069,5,36,0.36581332961255325,0.7243657505953316,0.14379061424854703,92,v21,0,-0.428261241646988,30.0,42.0,15.0
281070,6,39,0.14355494117689843,0.649894958265981,0.1550059527743246,78,v21,0,-0.4671564305202155,55.0,41.0,-3.0
281071,3,84,0.4141963338242126,0.6552557916325437,0.12144260799066918,69,v21,0,-0.5441072619821015,79.0,34.0,-1.0
281072,6,97,0.1324000308955134,0.6134151293769622,0.16111791547298043,63,v21,0,,,,
281073,12,46,0.2951375249361503,0.7333622926470038,0.19319878179439626,86,v21,0,-0.45570492187568323,55.0,33.0,-1.0
281074,4,16,0.3576354902394393,0.8138745263899435,0.16493150394873815,97,v21,0,-0.4589641382894297,91.0,77.0,57.0
281075,11,31,0.45084658201773686,0.6962638874715563,0.10998555681206773,104,v21,0,-0.5257828257511059,67.0,57.0,13.0
281076,8,35,0.265767453639846,0.931132171601706,0.2629144459795717,83,v21,0,-0.38304284042205905,74.0,52.0,12.0
281077,4,79,0.43620248108528675,0.895387716213778,0.29336597593694813,66,v21,0,-0.6035813150701956,58.0,63.0,-1.0
281078,6,89,0.27653891562672545,0.8201583617595231,0.2462509478354429,50,v21,0,-0.49846871376868307,111.0,70.0,24.0
281079,11,15,0.17801793737639005,0.7545297484824233,0.12688926547995974,103,v21,0,-0.45250423832123765,73.0,56.0,22.0
281080,6,19,0.4365504380682559,0.81127188926806,0.1656509998928401,90,v21,0,-0.48201835580607255,67.0,90.0,15.0
281081,13,94,0.20314909869690626,0.6954916377727745,0.1998368072040901,83,v21,0,-0.41510790817876997,109.0,83.0,-4.0
281082,3,21,0.18933276410511912,0.8557486188712838,0.19797488226479582,76,v21,0,-0.4157242698590411,34.0,24.0,4.0
281083,7,16,0.45489681963132317,0.8327614710478823,0.19026108791930268,76,v21,0,-0.48771382009532527,94.0,71.0,48.0
281084,3,101,0.3439100363646565,0.8800756788174374,0.2417608737018305,86,v21,0,-0.651095834790918,103.0,105.0,8.0
281085,7,38,0.22671284252353202,0.5243690569209729,0.11588143504538317,97,v21,0,,,,
281086,8,95,0.4068239445166779,0.7443569804822671,0.16423783607042106,53,v21,0,-0.59533226825274,119.0,94.0,-5.0
281087,5,28,0.11918772816524706,0.893304370523836,0.28792997878200266,105,v21,1,,,,
281088,20,89,0.3290802326691434,0.7768802461408875,0.18642645586054515,63,v21,0,,,,
281089,10,31,0.4246590776356383,0.8307932430315821,0.29273551276364085,94,v21,1,-0.5634066518226217,111.0,85.0,59.0
281090,8,16,0.17846842875506586,0.5990441204006252,0.20340958363990536,72,v21,0,-0.513591936350487,73.0,78.0,53.0
281091,22,47,0.5065496162003521,0.8210749963036281,0.20030917910895935,71,v21,0,-0.5344465848402145,85.0,48.0,-4.0
281092,13,17,0.37191997498544854,0.8740929385313568,0.2281194113294365,75,v21,0,-0.40739731448507466,51.0,87.0,-4.0
281093,8,36,0.12652223579601865,0.6796189183820992,0.19672636721626477,83,v21,0,-0.5645887723300871,110.0,109.0,62.0
281094,8,46,0.27623860309145915,0.5197538422307114,0.10982698113413109,66,v21,0,-0.6468175448245291,114.0,90.0,61.0
281095,6,74,0.47968403431843776,0.7716501754290235,0.21349425696940746,110,v21,0,-0.5934470398365517,104.0,89.0,8.0
281096,6,17,0.4298908426865056,0.6278760752111109,0.1584282088462457,52,v21,0,-0.5043280724134688,117.0,140.0,11.0
281097,5,66,0.39742262080369095,0.6655223293738272,0.19614180903473843,66,v21,0,-0.5386863108675775,83.0,57.0,0.0
281098,9,92,0.25515380394900106,0.9049942954676311,0.29985517424673236,66,v21,0,-0.49979999462317726,43.0,38.0,0.0
281099,6,25,0.5698912668761698,0.9025850603873663,0.299070897224085,98,v21,0,-0.5774063386508642,120.0,57.0,37.0
281100,3,19,0.4597050081322151,0.7003488860827467,0.22239513694486446,88,v21,0,-0.5510001820651874,120.0,124.0,45.0
281101,22,16,0.26040573249497107,0.6521232616902394,0.26585376385759235,89,v21,0,-0.6695326766824476,88.0,110.0,15.0
281102,13,21,0.3819598121757616,0.7181357550472578,0.13944129303339137,105,v21,0,-0.6229184382095679,117.0,97.0,60.0
281103,4,95,0.23726219064925808,0.9140588626822709,0.2858211133281781,86,v21,0,-0.5411879730311067,75.0,88.0,46.0
281104,12,17,0.1387224707997432,0.5708464667182253,0.16789112445183685,110,v21,0,-0.5003750896824093,29.0,29.0,-6.0
281105,15,26,0.24386699969366285,0.625638986004591,0.14365273792656647,103,v21,0,,,,
281106,23,98,0.18775030349782604,0.5912165005471143,0.1853239504541727,58,v21,0,,,,
281107,6,91,0.5025651958575721,0.7823639318866613,0.27352090779379257,74,v21,0,-0.6006277377592293,91.0,94.0,-1.0
281108,24,16,0.10828611789677661,0.8488595822583512,0.22096255463453524,74,v21,0,-0.46433065039510346,79.0,79.0,-11.0
281109,4,18,0.3488250904943444,0.7260211786342792,0.2506831940362025,74,v21,0,-0.6008613531677576,53.0,32.0,13.0
281110,3,28,0.3014669311515373,0.592863275188981,0.10440098040364479,92,v21,0,-0.5924362740931063,42.0,23.0,3.0
281111,3,30,0.15455938759606513,0.7744454456674995,0.14521478689639916,57,v21,0,,,,
281112,15,65,0.40397559318242277,0.7947271385071574,0.2046854132941231,110,v21,0,-0.42134224151116584,83.0,52.0,4.0
281113,12,47,0.2231551835800048,0.768521548583885,0.14100444543846397,51,v21,0,-0.4349910262383163,62.0,29.0,-4.0
281114,12,54,0.20230766642074735,0.7471916692711223,0.22069034764633488,50,v21,0,-0.6427270729946888,66.0,81.0,18.0
281115,6,16,0.17642275544929364,0.8048752636432692,0.21453163332998246,57,v21,0,-0.41858851160081467,35.0,20.0,-1.0
281116,6,97,0.2740504121897154,0.8246285519610204,0.20213743955021435,62,v21,0,-0.5876634141903803,111.0,94.0,12.0
281117,5,42,0.3392775250446015,0.6803537901979843,0.14867643428994887,80,v21,0,-0.5505809136537634,65.0,22.0,-1.0
281118,9,57,0.32477030285179825,0.8681266240348742,0.2610087008638336,72,v21,0,-0.37646238146712707,68.0,38.0,0.0
281119,5,78,0.30353788847060653,0.7796329046645207,0.28210420222715704,52,v21,0,-0.5644072456151958,75.0,38.0,10.0
281120,5,20,0.37804617868064616,0.5844863147857265,0.1411345996370543,67,v21,0,,,,
281121,4,32,0.3121086246928747,0.8326491106925054,0.22233595445213422,68,v21,0,-0.46216808726147607,78.0,54.0,34.0
281122,6,93,0.20900020551609785,0.8322914654012012,0.21296588143121936,91,v21,0,-0.457010408440625,77.0,64.0,39.0
281123,8,48,0.2763504204981794,0.762840928751002,0.1115566608322431,78,v21,0,-0.5145500334191719,53.0,36.0,-14.0
281124,5,19,0.32671983932786103,0.7722051587761395,0.14009678881036708,63,v21,0,-0.36832865847344853,48.0,55.0,18.0
281125,7,39,0.4003918969902099,0.8451003206382135,0.210187862468465,96,v21,0,,,,
281126,4,28,0.21586149994893508,0.7588423952289494,0.17720139528317774,107,v21,0,-0.43888233994841475,126.0,102.0,82.0
281127,10,17,0.26703292773040016,0.783874662622159,0.12597529402910274,71,v21,0,-0.3000770982930143,46.0,0.0,-78.0
281128,5,31,0.5385333179200648,0.7382888853050495,0.1461560841417336,58,v21,0,-0.3895130155041132,26.0,46.0,-2.0
281129,13,33,0.25597484036697293,0.8385969462322067,0.20216919778712136,105,v21,0,,,,
281130,8,34,0.538225130863727,0.6865063486993689,0.11698289768662117,97,v21,0,-0.41427187141730526,23.0,23.0,-3.0
281131,9,25,0.19677122039359546,0.908122716723856,0.28301251338527506,96,v21,0,-0.5285629628371467,113.0,54.0,23.0
281132,18,16,0.2904191569274741,0.7210220105626108,0.1584787302451002,76,v21,0,-0.4426089357338584,60.0,49.0,14.0
281133,5,29,0.5626025854021033,0.7041043479753601,0.19364596532484085,53,v21,0,-0.5210172055337866,68.0,65.0,34.0
281134,5,36,0.38499492451803474,0.7551514176710264,0.18319712109194658,94,v21,0,-0.5000717229575913,98.0,55.0,36.0
281135,16,17,0.5680890536223282,0.7808433087694164,0.20658141914929704,107,v21,0,-0.44749082363914827,109.0,67.0,31.0
281136,14,20,0.44048064412024984,0.6492287958957319,0.14093315553159702,75,v21,0,-0.5113067589785656,104.0,92.0,51.0
281137,10,55,0.17231004286915913,0.8615690843152812,0.26571438685172755,78,v21,0,-0.4320461647737489,126.0,29.0,2.0
281138,18,81,0.4373532682846478,0.6647256259734476,0.24656128064960028,91,v21,0,-0.5277296123341266,93.0,102.0,-3.0
281139,14,49,0.25573412419280767,0.7446648850416009,0.14029902845025224,73,v21,0,-0.4818689439066156,55.0,97.0,25.0
281140,8,75,0.26568963282955377,0.909910613160428,0.2970284116024423,107,v21,0,-0.5348875051637021,60.0,57.0,2.0
281141,8,47,0.3066961498311975,0.8807536631133135,0.28590672477704737,57,v21,1,,,,
281142,9,34,0.20727621786037068,0.606382792036676,0.22131596018582742,70,v21,0,-0.48751304767531967,61.0,29.0,0.0
281143,22,30,0.20479202706757757,0.643776904245231,0.10592043623645393,50,v21,0,-0.5468184043863928,87.0,82.0,34.0
281144,13,33,0.23442346316977658,0.7867492910623962,0.1895725426809266,81,v21,0,-0.6107499070331877,84.0,73.0,28.0
281145,8,51,0.35452642516353994,0.5774752998787003,0.12581367289596163,56,v21,0,-0.6094527754193437,104.0,97.0,42.0
281146,6,88,0.4146792765658564,0.6671997615659954,0.21865578404103964,52,v21,0,,,,
281147,5,92,0.14976055576239067,0.9313916015795274,0.2656225709115799,93,v21,0,-0.5362582676736268,110.0,120.0,36.0
281148,14,59,0.09258274537875036,0.7611715439033221,0.13552162481292737,110,v21,0,-0.36541423165563836,124.0,118.0,47.0
281149,3,15,0.17814975592231924,0.9456788479817008,0.2892942054791408,73,v21,0,-0.46183118754063324,40.0,37.0,17.0
281150,25,59,0.3572810127186288,0.7638621644042993,0.19077690752234217,106,v21,0,,,,
281151,17,54,0.4422121262817084,0.7887657500534506,0.15044727183746548,95,v21,0,,,,
281152,4,32,0.22441920036879667,0.7968769721079517,0.2897034880291739,70,v21,0,-0.5410276243881528,35.0,22.0,2.0
281153,9,97,0.1693376561597845,0.7992042879828211,0.18407031831606255,76,v21,0,-0.5775630722443736,116.0,135.0,63.0
281154,10,21,0.39284675426153365,0.640969618298556,0.2646832356280477,106,v21,0,,,,
281155,5,22,0.4665157134100756,0.7863658990910934,0.15107559841202417,79,v21,0,-0.5045488201622963,26.0,37.0,-3.0
281156,6,17,0.3622264400394228,0.7490451647220364,0.11443360314044466,110,v21,0,-0.652950924635876,113.0,98.0,65.0
281157,14,97,0.3463554505449225,0.8887468728167498,0.2993702078269349,53,v21,0,-0.4216496959392655,121.0,72.0,19.0
281158,8,31,0.430261765631053,0.6839727127966113,0.17306076129318848,97,v21,0,-0.4896355657288056,75.0,26.0,-2.0
281159,22,39,0.26271337612604095,0.9093670431273868,0.2673720477940492,91,v21,0,-0.5181808341395355,83.0,91.0,37.0
281160,17,47,0.29736167887094317,0.8309290038569739,0.24199225827256723,81,v21,0,-0.5578855591656976,116.0,118.0,53.0
281161,15,81,0.4116449433553559,0.7216694251620343,0.28491895678934376,56,v21,0,-0.5632403103661876,102.0,133.0,38.0
281162,4,29,0.17494028166906297,0.7836667281803313,0.12222635373950493,69,v21,0,-0.3364628954744767,70.0,0.0,-32.0
281163,4,76,0.2567138703086063,0.8265486440523451,0.22345783601937586,110,v21,0,-0.5215618866622338,93.0,107.0,36.0
281164,7,48,0.17467764400821661,0.7995422570213914,0.1565519607894647,96,v21,0,-0.5737847660405437,116.0,124.0,79.0
281165,11,74,0.525377264901418,0.8122931332663083,0.20618375155111685,75,v21,0,,,,
281166,5,60,0.5722993320538069,0.8636773678984875,0.25076937619625195,52,v21,0,-0.5327374848256695,77.0,19.0,-1.0
281167,17,44,0.1406510292873632,0.6034998110629197,0.16599129308405622,55,v21,0,-0.5743762403094061,111.0,110.0,44.0
281168,8,17,0.2780379194266107,0.8479423349866602,0.20889490177820286,74,v21,0,-0.4172028379515046,80.0,75.0,50.0
281169,7,47,0.13057986004794117,0.5629716939449535,0.14176851588692227,70,v21,0,-0.5288960414404162,51.0,56.0,9.0
281170,4,18,0.23401322924944498,0.7060979797768767,0.19152645855403022,63,v21,0,,,,
281171,6,15,0.4392342756090434,0.7513583763640932,0.17099434412187037,96,v21,0,-0.4727429608024001,118.0,113.0,88.0
281172,5,49,0.1526875985249137,0.7276319134860851,0.1271990869206352,80,v21,0,-0.5180723849051114,49.0,16.0,-6.0
281173,7,20,0.397010198751311,0.8255173181943205,0.19950523736219272,74,v21,0,-0.5502530029493358,41.0,37.0,7.0
281174,4,19,0.12960876164357107,0.6095142007224477,0.17188026373578805,77,v21,0,,,,
281175,15,33,0.15035477807012285,0.5794226837386363,0.19656222306668336,106,v21,0,-0.4910531690326687,42.0,37.0,-5.0
281176,18,52,0.371599334914986,0.8610445832908619,0.23367927446106587,68,v21,0,-0.4325623046221765,54.0,59.0,-8.0
281177,7,43,0.18708755883789802,0.8826524575052042,0.23233312928344466,103,v21,0,-0.4838598325928495,40.0,40.0,11.0
281178,10,63,0.28985580716118214,0.7422781850279582,0.17703163991600873,86,v21,0,-0.3996222241810242,94.0,101.0,72.0
281179,13,19,0.23415017926893525,0.6580332400006672,0.1235015079280948,75,v21,0,-0.3947351135055426,37.0,66.0,-1.0
281180,8,16,0.43215814894288473,0.7935934643175948,0.17686397445207652,108,v21,0,-0.594398219840411,79.0,83.0,18.0
281181,17,72,0.45478688664293443,0.8409140653094918,0.28426211673627577,101,v21,0,-0.5398059330616423,97.0,60.0,23.0
281182,4,53,0.5586218185403045,0.7453476267628798,0.12213254561694431,72,v21,0,-0.5164480712345607,119.0,113.0,57.0
281183,4,54,0.4202132685118909,0.6799522346426483,0.11234684474080801,99,v21,0,,,,
281184,4,29,0.3052202406105583,0.6442189054164422,0.1709133128820057,51,v21,0,-0.5027494075181248,110.0,25.0,-1.0
281185,6,92,0.23336976871907583,0.797260009355207,0.1769055381772595,73,v21,0,-0.5426718183186359,44.0,16.0,-49.0
281186,16,80,0.24671985049571626,0.6558701319222583,0.20729364739364503,66,v21,0,-0.6171007296810255,121.0,111.0,16.0
281187,7,28,0.2584046027661098,0.8583167091539948,0.2097823065039507,73,v21,0,-0.3666002138680333,28.0,31.0,0.0
281188,15,71,0.3226391960454217,0.7172837395498912,0.23524578293395285,104,v21,0,-0.5709464946681015,40.0,40.0,-9.0
281189,10,43,0.20022576083357968,0.917634093316572,0.29434127254183506,98,v21,0,-0.62930421466625,94.0,10.0,39.0
281190,24,34,0.4878165291301121,0.6407738376487874,0.2523946648305142,50,v21,0,-0.5263046742447696,63.0,54.0,0.0
281191,8,46,0.24423155324004509,0.5833853894669394,0.1297272861326591,110,v21,0,-0.5043954642153317,48.0,34.0,-1.0
281192,16,64,0.16031667586637977,0.773131747890693,0.16525196420400887,110,v21,0,,,,
281193,8,39,0.14846199856788533,0.6698096901899419,0.20445889037856857,97,v21,0,-0.40682017574919316,25.0,52.0,-2.0
281194,15,63,0.2011059626933831,0.9292801717123165,0.26571257148360683,67,v21,0,-0.3566077878650009,18.0,74.0,-1.0
281195,10,36,0.22085875208792055,0.6792999043055074,0.24529283240883604,62,v21,0,-0.5324894504727598,35.0,90.0,-5.0
281196,4,17,0.3311796481859967,0.808971164796356,0.20043237472563852,62,v21,0,-0.608016346754114,42.0,38.0,12.0
281197,3,17,0.17620204145866286,0.90172334844803,0.24886873414515492,81,v21,0,-0.5019578751074047,65.0,55.0,36.0
281198,4,19,0.28489197901095653,0.6575092983470111,0.1308454984257908,51,v21,0,-0.5283543725652223,59.0,36.0,13.0
281199,8,30,0.4590956610807599,0.6557356534248724,0.11552083561300588,74,v21,0,-0.5885915927003722,85.0,62.0,35.0
281200,15,69,0.3159681216002521,0.8764626229939392,0.23077405690838496,84,v21,0,-0.42785541667733695,69.0,86.0,-1.0
281201,6,17,0.39443379034771653,0.7851866196863577,0.21879141611023895,109,v21,0,,,,
281202,4,91,0.23125479010764965,0.6587337832692401,0.20098962945533236,53,v21,0,-0.42031647834992003,109.0,54.0,0.0
281203,14,54,0.31083594758527316,0.8379851064027098,0.17875601153774873,51,v21,0,-0.5268026605995183,73.0,88.0,21.0
281204,8,40,0.45161433729557027,0.8837430351839134,0.2213013655905834,51,v21,0,-0.4758825114788079,122.0,14.0,-26.0
281205,7,46,0.45713007440973147,0.635913383084598,0.11807767592037277,105,v21,0,-0.5346216658933973,53.0,28.0,-3.0
281206,4,30,0.5186407624013377,0.7706125753711026,0.2531311371021806,57,v21,0,-0.44021031053184734,50.0,34.0,14.0
281207,4,36,0.1498783676897379,0.5394088234289369,0.11125639932387299,64,v21,0,-0.5695432348584888,55.0,30.0,5.0
281208,25,95,0.3237165707480692,0.8325884099943424,0.2514896392632656,70,v21,0,-0.6398145141110344,121.0,38.0,-7.0
281209,3,17,0.3192262699675679,0.7728640554314975,0.2687473314781657,70,v21,0,,,,
281210,21,32,0.12112842357072559,0.8423837232578584,0.19454078752514203,71,v21,0,-0.49871603129280606,123.0,109.0,55.0
281211,4,42,0.2760310012649116,0.7729531096934059,0.22973428940284793,60,v21,0,-0.5720814510687247,54.0,19.0,0.0
281212,5,26,0.12212792293883465,0.792881606141174,0.1460657936507112,74,v21,0,-0.41352846860820014,15.0,17.0,-11.0
281213,9,45,0.18486504029839307,0.7389716691572351,0.12933662449122812,50,v21,0,,,,
281214,8,88,0.34751886970271784,0.6219458707928059,0.2498686133204429,83,v21,1,,,,
281215,15,34,0.38866674779777166,0.764389846497076,0.15774794798286207,109,v21,0,-0.44728339167076137,125.0,114.0,67.0
281216,3,50,0.4682995546473785,0.6848026096093296,0.21704920732495303,77,v21,0,-0.5932341368859156,52.0,91.0,0.0
281217,22,34,0.3122704175257121,0.8508599147512582,0.2187260273950562,92,v21,0,-0.47608711165515327,82.0,82.0,-15.0
281218,24,77,0.24279304374817967,0.8132654847123869,0.23576646037192706,89,v21,0,-0.4802916068261526,91.0,94.0,-6.0
281219,9,41,0.15502594892926308,0.7352237701432929,0.24245269594274313,108,v21,0,-0.561291138335877,121.0,120.0,71.0
281220,20,64,0.09582566873374568,0.6590064103061647,0.2865610708312879,59,v21,0,-0.5688916572864218,113.0,94.0,27.0
281221,7,33,0.2032159323979311,0.8294698924632157,0.2563107288199108,100,v21,0,-0.3774146789257866,50.0,22.0,0.0
281222,5,78,0.21784432303508575,0.547949693483459,0.14660173557217795,57,v21,0,-0.6534554041118855,121.0,81.0,27.0
281223,7,60,0.333317867025781,0.893149728357506,0.26396500026489866,106,v21,0,,,,
281224,4,47,0.1462161008049169,0.8072225497695165,0.23308036968029144,109,v21,0,,,,
281225,6,64,0.29144269130286393,0.9039678512944377,0.2621176412438026,60,v21,0,-0.5374130760527955,116.0,70.0,41.0
281226,12,71,0.20702028904352518,0.7273894176951778,0.12617882736616753,107,v21,0,,,,
281227,5,64,0.3353725367343936,0.7286571281400717,0.10784313440818456,93,v21,0,,,,
281228,4,83,0.3186646347110336,0.6292456672989631,0.1630194870084007,103,v21,0,-0.47772060233862546,59.0,58.0,11.0
281229,11,17,0.3167748658902231,0.924489263083415,0.26946634881694614,54,v21,0,-0.48825780077261494,77.0,61.0,-2.0
281230,14,48,0.27009794491198647,0.7835484855167205,0.1666748019548331,101,v21,0,-0.4750775552773495,67.0,73.0,12.0
