models,seeds_per_cell,tau_over_flash_limit,tau,within_sigma_d,sigma_d,power_alpha_bonf,power_alpha_nominal,label,reference
5,19,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.034887677362907,0.5132635939200066,DESIGN,t with M - 1 df
6,19,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.06551890167499577,0.6364402021959542,DESIGN,t with M - 1 df
8,19,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.16863908902821162,0.8115232474010283,DESIGN,t with M - 1 df
10,19,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.3166923988228012,0.9089766488563745,DESIGN,t with M - 1 df
12,19,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.48093822539789766,0.9582728631166395,DESIGN,t with M - 1 df
14,19,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.6330734073647561,0.9816343610449719,DESIGN,t with M - 1 df
2,19,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.003206494354997324,0.11493707489877943,DESIGN,t with M - 1 df
3,19,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.008210691748170573,0.2532774240502806,DESIGN,t with M - 1 df
4,19,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.020186438337256588,0.42430437821644346,DESIGN,t with M - 1 df
5,19,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.044392473165620235,0.5830359767823146,DESIGN,t with M - 1 df
6,19,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.08542384319505554,0.7110223675429921,DESIGN,t with M - 1 df
8,19,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.22188749809483174,0.8734301756705067,DESIGN,t with M - 1 df
10,19,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.40651413337357745,0.9491783533337214,DESIGN,t with M - 1 df
12,19,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.5925484625641069,0.9808295480975354,DESIGN,t with M - 1 df
14,19,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.7451327194973373,0.9931080916693179,DESIGN,t with M - 1 df
2,19,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.0019187043870014684,0.0689790588719245,DESIGN,t with M - 1 df
3,19,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.003079679417424147,0.10489503174244975,DESIGN,t with M - 1 df
4,19,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.005106719801757895,0.1495867108211368,DESIGN,t with M - 1 df
5,19,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.008238339777829975,0.1977660561751389,DESIGN,t with M - 1 df
6,19,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.012673010441003316,0.24709726411881275,DESIGN,t with M - 1 df
8,19,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.026041406959535704,0.3448186835202194,DESIGN,t with M - 1 df
10,19,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.04599872135275428,0.4373833966135506,DESIGN,t with M - 1 df
12,19,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.07275021783837878,0.5222477251892791,DESIGN,t with M - 1 df
14,19,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.10601439443756779,0.5982396593272693,DESIGN,t with M - 1 df
2,19,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.0019438170691169323,0.06987778399574035,DESIGN,t with M - 1 df
3,19,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.0031652837514920796,0.10759079614999188,DESIGN,t with M - 1 df
4,19,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.005314308442946546,0.15459187553516568,DESIGN,t with M - 1 df
5,19,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.0086607604744069,0.2052422330073985,DESIGN,t with M - 1 df
6,19,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.013431721361385497,0.25701234848565835,DESIGN,t with M - 1 df
8,19,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.027919861913572232,0.359110114475211,DESIGN,t with M - 1 df
10,19,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.04965780985866986,0.45505566229149463,DESIGN,t with M - 1 df
12,19,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.07883258932432513,0.5421803504160928,DESIGN,t with M - 1 df
14,19,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.11505698036637703,0.6193631198079533,DESIGN,t with M - 1 df
2,47,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.005445175172247913,0.19387914821905744,DESIGN,t with M - 1 df
3,47,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.02152060146019758,0.535422017228458,DESIGN,t with M - 1 df
4,47,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.0751395086464056,0.8263305419034289,DESIGN,t with M - 1 df
5,47,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.20064628371036197,0.9511995332968546,DESIGN,t with M - 1 df
6,47,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.39767770314962986,0.9884970821947973,DESIGN,t with M - 1 df
8,47,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.7886521738977931,0.9995320962524004,DESIGN,t with M - 1 df
10,47,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.9585698849228943,0.9999851937066275,DESIGN,t with M - 1 df
12,47,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.9948102948721216,0.9999996000061608,DESIGN,t with M - 1 df
14,47,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.9995340889321557,0.9999999903386446,DESIGN,t with M - 1 df
2,47,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.006222027255094054,0.22086650873444671,DESIGN,t with M - 1 df
3,47,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.027600149886846094,0.6267637518398388,DESIGN,t with M - 1 df
4,47,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.10454631358018028,0.9040702685791056,DESIGN,t with M - 1 df
5,47,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.2834908876734785,0.9834933058550409,DESIGN,t with M - 1 df
6,47,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.5365354230960064,0.9977617718954512,DESIGN,t with M - 1 df
8,47,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9048565741131664,0.9999725867155269,DESIGN,t with M - 1 df
10,47,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9913712802483968,0.9999997550134426,DESIGN,t with M - 1 df
12,47,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9995707489985783,0.9999999981936258,DESIGN,t with M - 1 df
14,47,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9999861607241698,0.9999999999883369,DESIGN,t with M - 1 df
2,47,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.003137178401598648,0.1124711556958485,DESIGN,t with M - 1 df
3,47,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.007892569139992112,0.24481836744464866,DESIGN,t with M - 1 df
4,47,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.01911646179209558,0.4091814975674809,DESIGN,t with M - 1 df
5,47,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.041586896268116354,0.5638839521563257,DESIGN,t with M - 1 df
6,47,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.07952619858039268,0.6910761832886618,DESIGN,t with M - 1 df
8,47,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.2062779202978033,0.8578859174406905,DESIGN,t with M - 1 df
10,47,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.3809118398092668,0.939792177578053,DESIGN,t with M - 1 df
12,47,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.5619871541119607,0.9759673864276275,DESIGN,t with M - 1 df
14,47,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.7159221918063906,0.9908385017350777,DESIGN,t with M - 1 df
2,47,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.003251366267148001,0.1165328438456693,DESIGN,t with M - 1 df
3,47,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.00841939409048183,0.25877685217610735,DESIGN,t with M - 1 df
4,47,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.020896677812740617,0.4340711090678803,DESIGN,t with M - 1 df
5,47,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.04626775329443896,0.5952388327415054,DESIGN,t with M - 1 df
6,47,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.08937335690849271,0.7235134131540432,DESIGN,t with M - 1 df
8,47,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.23225312973778123,0.8827767295489489,DESIGN,t with M - 1 df
10,47,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.4231811432378702,0.9545727304102577,DESIGN,t with M - 1 df
12,47,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.6119070130355281,0.9834931887034496,DESIGN,t with M - 1 df
14,47,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.7630438770824873,0.9942910522281231,DESIGN,t with M - 1 df
2,47,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.0019372775577964668,0.06964375801569567,DESIGN,t with M - 1 df
3,47,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.0031429418614774304,0.10688798976375312,DESIGN,t with M - 1 df
4,47,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.005259961160507188,0.15328631029303189,DESIGN,t with M - 1 df
5,47,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.008549840402907152,0.20329248385294457,DESIGN,t with M - 1 df
6,47,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.013232013442635039,0.2544283262446239,DESIGN,t with M - 1 df
8,47,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.027423867701336577,0.35539432585618475,DESIGN,t with M - 1 df
10,47,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.04869037786834844,0.45047553446396316,DESIGN,t with M - 1 df
12,47,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.07722437204248868,0.537033740337486,DESIGN,t with M - 1 df
14,47,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.11266808254317376,0.6139315930937339,DESIGN,t with M - 1 df
2,47,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.0019478624879362173,0.07002255236431842,DESIGN,t with M - 1 df
3,47,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.0031791223606276145,0.10802584625471358,DESIGN,t with M - 1 df
4,47,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.005348030801291891,0.15540027854248736,DESIGN,t with M - 1 df
5,47,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.00872970217789219,0.20644937105694725,DESIGN,t with M - 1 df
6,47,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.013556018982781463,0.2586115315471626,DESIGN,t with M - 1 df
8,47,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.02822910877462064,0.36140656743655963,DESIGN,t with M - 1 df
10,47,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.05026142600069935,0.45788107519641497,DESIGN,t with M - 1 df
12,47,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.07983601084778211,0.545348383195514,DESIGN,t with M - 1 df
14,47,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.11654672140351442,0.6226986096924308,DESIGN,t with M - 1 df
2,93,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.005890318768584638,0.20937351170354726,DESIGN,t with M - 1 df
3,93,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.024910751111652783,0.5887414030430325,DESIGN,t with M - 1 df
4,93,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.09131454259863868,0.8749545512654043,DESIGN,t with M - 1 df
5,93,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.24665162973310545,0.9731909515612426,DESIGN,t with M - 1 df
6,93,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.47735078362831584,0.9953434092015048,DESIGN,t with M - 1 df
8,93,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.8630681263738523,0.9999024544093674,DESIGN,t with M - 1 df
10,93,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.9824114234531934,0.9999984669698747,DESIGN,t with M - 1 df
12,93,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.9986746777734213,0.999999979827926,DESIGN,t with M - 1 df
14,93,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.9999323609374233,0.9999999997655942,DESIGN,t with M - 1 df
2,93,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.00634630119774333,0.22516011753167264,DESIGN,t with M - 1 df
3,93,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.028643462604349936,0.6405750114321903,DESIGN,t with M - 1 df
4,93,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.10976035289300624,0.9135270963112446,DESIGN,t with M - 1 df
5,93,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.2977742610178805,0.9863525256445519,DESIGN,t with M - 1 df
6,93,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.5583781022333497,0.9983208735458766,DESIGN,t with M - 1 df
8,93,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9177342649651683,0.999983335829674,DESIGN,t with M - 1 df
10,93,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9934984714725706,0.9999998806002923,DESIGN,t with M - 1 df
12,93,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9997253659081438,0.9999999992980515,DESIGN,t with M - 1 df
14,93,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9999926079650687,0.9999999999963926,DESIGN,t with M - 1 df
2,93,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.0032063858723904775,0.1149332164282671,DESIGN,t with M - 1 df
3,93,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.008210189830906245,0.2532641505776566,DESIGN,t with M - 1 df
4,93,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.020184738099811212,0.4242807418796456,DESIGN,t with M - 1 df
5,93,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.044387996054259,0.5830062852148091,DESIGN,t with M - 1 df
6,93,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.08541442052539534,0.7109917656759971,DESIGN,t with M - 1 df
8,93,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.22186268208582652,0.8734069080957411,DESIGN,t with M - 1 df
10,93,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.40647391140733485,0.9491646857083126,DESIGN,t with M - 1 df
12,93,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.5925012330239584,0.9808226733196637,DESIGN,t with M - 1 df
14,93,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.7450884557177998,0.9931049798408436,DESIGN,t with M - 1 df
2,93,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.00326693878680992,0.11708654268854675,DESIGN,t with M - 1 df
3,93,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.008492334398337178,0.2606895764908858,DESIGN,t with M - 1 df
4,93,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.02114642652802519,0.4374555454808188,DESIGN,t with M - 1 df
5,93,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.0469295233852213,0.599436494670286,DESIGN,t with M - 1 df
6,93,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.0907683072216214,0.727770192646856,DESIGN,t with M - 1 df
8,93,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.23589677168143386,0.8858927579725081,DESIGN,t with M - 1 df
10,93,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.4289764825535796,0.9563278521255802,DESIGN,t with M - 1 df
12,93,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.6185389865543879,0.9843377391278871,DESIGN,t with M - 1 df
14,93,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.7690729138417939,0.9946561944664314,DESIGN,t with M - 1 df
2,93,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.0019438071145698283,0.06987742776205105,DESIGN,t with M - 1 df
3,93,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.0031652497155292367,0.10758972589319478,DESIGN,t with M - 1 df
4,93,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.005314225559153593,0.1545898870207836,DESIGN,t with M - 1 df
5,93,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.008660591136707103,0.20523926354538718,DESIGN,t with M - 1 df
6,93,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.013431416216090439,0.2570084140084792,DESIGN,t with M - 1 df
8,93,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.02791910323367318,0.3591044615207806,DESIGN,t with M - 1 df
10,93,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.04965632940129878,0.45504870231038214,DESIGN,t with M - 1 df
12,93,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.07883012827420136,0.5421725399846163,DESIGN,t with M - 1 df
14,93,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.11505332580200443,0.6193548890417031,DESIGN,t with M - 1 df
2,93,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.001949233551108325,0.07007161639846611,DESIGN,t with M - 1 df
3,93,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.0031838155718428847,0.10817334189110295,DESIGN,t with M - 1 df
4,93,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.005359477695390624,0.15567439269646366,DESIGN,t with M - 1 df
5,93,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.008753124224497295,0.2068586630809834,DESIGN,t with M - 1 df
6,93,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.013598276967815162,0.2591536362397915,DESIGN,t with M - 1 df
8,93,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.02833433820047295,0.3621844883781335,DESIGN,t with M - 1 df
10,93,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.05046689618552786,0.45883727125213514,DESIGN,t with M - 1 df
12,93,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.08017757105476074,0.5464193437529259,DESIGN,t with M - 1 df
14,93,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.11705368433688296,0.62382480526341,DESIGN,t with M - 1 df
2,169,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.006135276973457544,0.21786532807018177,DESIGN,t with M - 1 df
3,169,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.0268833863019296,0.6169779647919305,DESIGN,t with M - 1 df
4,169,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.10098926273074071,0.8970117220356404,DESIGN,t with M - 1 df
5,169,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.27366823128125367,0.9812012285473827,DESIGN,t with M - 1 df
6,169,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.5211566092513849,0.9972759205458026,DESIGN,t with M - 1 df
8,169,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.8949974506263504,0.9999614747292342,DESIGN,t with M - 1 df
10,169,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.989541286294468,0.9999995995163832,DESIGN,t with M - 1 df
12,169,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.9994182923387364,0.9999999965518951,DESIGN,t with M - 1 df
14,169,0.5,0.01899110076791385,main_grid_plugin,0.08409404182215811,0.9999787847578576,0.999999999973952,DESIGN,t with M - 1 df
2,169,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.00640595975534962,0.2272188651115505,DESIGN,t with M - 1 df
3,169,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.029151209964538894,0.6471156147616616,DESIGN,t with M - 1 df
4,169,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.11231267515634089,0.9178012894585164,DESIGN,t with M - 1 df
5,169,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.3047144885048923,0.9875640518582964,DESIGN,t with M - 1 df
6,169,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.5687694999215106,0.9985409402572503,DESIGN,t with M - 1 df
8,169,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.923416118248806,0.9999869341939274,DESIGN,t with M - 1 df
10,169,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9943423722722494,0.9999999159588225,DESIGN,t with M - 1 df
12,169,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9997793990725343,0.9999999995576403,DESIGN,t with M - 1 df
14,169,0.5,0.01899110076791385,flash_limit,0.0379822015358277,0.9999945640338339,0.9999999999979639,DESIGN,t with M - 1 df
2,169,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.0032400962904265028,0.11613209366769439,DESIGN,t with M - 1 df
3,169,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.008366771183191598,0.2573939294858516,DESIGN,t with M - 1 df
4,169,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.020716984325999208,0.4316200724351815,DESIGN,t with M - 1 df
5,169,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.045792357639357066,0.5921888569546898,DESIGN,t with M - 1 df
6,169,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.08837163535414048,0.7204075648949004,DESIGN,t with M - 1 df
8,169,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.22963094090670583,0.880480943922223,DESIGN,t with M - 1 df
10,169,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.41899009081069,0.9532656188481018,DESIGN,t with M - 1 df
12,169,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.6070790097749159,0.9828570351074525,DESIGN,t with M - 1 df
14,169,1.0,0.0379822015358277,main_grid_plugin,0.08409404182215811,0.7586202998628595,0.9940127614167557,DESIGN,t with M - 1 df
2,169,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.003274183669787196,0.11734412462378188,DESIGN,t with M - 1 df
3,169,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.008526358936809307,0.26158016595025246,DESIGN,t with M - 1 df
4,169,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.021263194799831277,0.43902914451826514,DESIGN,t with M - 1 df
5,169,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.04723933802288954,0.6013827269469749,DESIGN,t with M - 1 df
6,169,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.09142156305466802,0.7297368086233088,DESIGN,t with M - 1 df
8,169,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.2375999042402951,0.8873203978841665,DESIGN,t with M - 1 df
10,169,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.43167409022936043,0.9571245952468856,DESIGN,t with M - 1 df
12,169,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.6216085543586247,0.984717408306378,DESIGN,t with M - 1 df
14,169,1.0,0.0379822015358277,flash_limit,0.0379822015358277,0.7718447697834202,0.994818696175874,DESIGN,t with M - 1 df
2,169,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.0019468598036809688,0.06998667075497324,DESIGN,t with M - 1 df
3,169,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.003175691109551716,0.10791799580399494,DESIGN,t with M - 1 df
4,169,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.00533966517839526,0.1551998560597516,DESIGN,t with M - 1 df
5,169,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.008712591310065082,0.20615010304874062,DESIGN,t with M - 1 df
6,169,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.013525157040919913,0.2582151163035794,DESIGN,t with M - 1 df
8,169,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.02815228726939723,0.3608375343990433,DESIGN,t with M - 1 df
10,169,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.05011144841580439,0.4571813457637039,DESIGN,t with M - 1 df
12,169,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.07958669667109707,0.5445642899120895,DESIGN,t with M - 1 df
14,169,2.0,0.0759644030716554,main_grid_plugin,0.08409404182215811,0.11617663068411137,0.6218736356540838,DESIGN,t with M - 1 df
2,169,2.0,0.0759644030716554,flash_limit,0.0379822015358277,0.001949865788154221,0.07009424116461199,DESIGN,t with M - 1 df
