file,error
results_v2_pilot\main\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ISFJ__memory__bull_trap__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ISFJ__placebo_directive__bull_trap__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ISFJ__static__bull_trap__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ISFJ__swapped__bull_trap__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__ENTJ__memory__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__ENTJ__placebo_directive__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__ENTJ__static__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__ENTJ__swapped__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__INTJ__memory__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__INTJ__placebo_directive__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__INTJ__static__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__INTJ__swapped__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__ISFJ__memory__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__ISFJ__placebo_directive__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__ISFJ__static__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\crash\seed42\gemini-2.5-flash__ISFJ__swapped__crash_d0.7__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ENTJ__memory__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ENTJ__placebo_directive__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ENTJ__static__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ENTJ__swapped__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__INTJ__memory__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__INTJ__placebo_directive__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__INTJ__static__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__INTJ__swapped__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ISFJ__memory__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ISFJ__placebo_directive__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ISFJ__static__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\main\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ISFJ__swapped__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\smoke\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ENTJ__memory__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\smoke\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ENTJ__static__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\smoke\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ISFJ__memory__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\smoke\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ISFJ__static__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\stateful\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ENTJ__stateful_memory__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\stateful\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__INTJ__stateful_memory__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
results_v2_pilot\stateful\gemini-2.5-flash\flat\seed42\gemini-2.5-flash__ISFJ__stateful_memory__flat__seed42__rep0.csv,FileNotFoundError: engine 'fw_single' needs an accepted SMM estimate at <repo>\envs\v2\params\fw_single_stock.json; none exists (the attempt was rejected: fw_single_stock.REJECTED.json). Use engine 'ar1_fit' (the documented CAL fallback) explicitly.
